"event-id","visible","timestamp","location-long","location-lat","comments","modelled","study-specific-measurement","tag-tech-spec","sensor-type","individual-taxon-canonical-name","tag-local-identifier","individual-local-identifier","study-name","OSU Ocean NPP 0.083deg Monthly NPP","ECMWF Interim Full Daily SFC Sea Ice Cover","ETOPO1 Elevation","ECMWF Interim Full Daily SFC Sea Surface Temperature"
"1940499860","true","2013-01-30 19:42:44.000","7.058542109","-69.78012503","271875.3023-2195697.341","true","1213","1","gps","Thalassoica antarctica","4181987GPS","4181987","At-sea distribution Antarctic Petrel, Antarctica 2012 (data from Descamps et al. 2016)","NaN","0.8689946070457428","-400","271.459716796875"
"1940499861","true","2013-01-30 20:12:44.000","7.070688526","-69.66556509","273915.2793-2208333.49","true","1213","1","gps","Thalassoica antarctica","4181987GPS","4181987","At-sea distribution Antarctic Petrel, Antarctica 2012 (data from Descamps et al. 2016)","79.47398040141819","0.8653776406596013","-1187","271.459716796875"
"1940499862","true","2013-01-30 20:42:44.000","7.019897026","-69.6025249","272817.9896-2215563.253","true","1213","1","gps","Thalassoica antarctica","4181987GPS","4181987","At-sea distribution Antarctic Petrel, Antarctica 2012 (data from Descamps et al. 2016)","79.40880466311268","0.865021854532793","-1542","271.459716796875"
"1940499863","true","2013-01-30 21:12:44.000","6.957500167","-69.49065831","271918.8158-2228264.053","true","1213","1","gps","Thalassoica antarctica","4181987GPS","4181987","At-sea distribution Antarctic Petrel, Antarctica 2012 (data from Descamps et al. 2016)","78.5055773655022","0.8632429035183603","-1771","271.459716796875"
"1940499864","true","2013-01-30 21:42:44.000","6.950096335","-69.48965538","271644.4342-2228410.408","true","1213","1","gps","Thalassoica antarctica","4181987GPS","4181987","At-sea distribution Antarctic Petrel, Antarctica 2012 (data from Descamps et al. 2016)","78.47609105230612","0.8632833739275502","-1771","271.45971679687494"
"1940499865","true","2013-01-30 22:12:44.000","6.94434406","-69.48920456","271426.7993-2228487.671","true","1213","1","gps","Thalassoica antarctica","4181987GPS","4181987","At-sea distribution Antarctic Petrel, Antarctica 2012 (data from Descamps et al. 2016)","78.46538105772353","0.8633203603351598","-1771","271.45971679687494"
"1940499866","true","2013-01-30 22:42:44.000","6.939991559","-69.4888124","271262.8049-2228551.78","true","1213","1","gps","Thalassoica antarctica","4181987GPS","4181987","At-sea distribution Antarctic Petrel, Antarctica 2012 (data from Descamps et al. 2016)","78.45700291943568","0.8633470834954092","-1783","271.45971679687506"
"1940499867","true","2013-01-30 23:12:44.000","6.937637604","-69.48828459","271178.3696-2228621.465","true","1213","1","gps","Thalassoica antarctica","4181987GPS","4181987","At-sea distribution Antarctic Petrel, Antarctica 2012 (data from Descamps et al. 2016)","78.44352487119598","0.8633554641039847","-1783","271.459716796875"
"1940499868","true","2013-01-30 23:42:44.000","6.935287953","-69.4879566","271091.4007-2228668.964","true","1213","1","gps","Thalassoica antarctica","4181987GPS","4181987","At-sea distribution Antarctic Petrel, Antarctica 2012 (data from Descamps et al. 2016)","78.43647973791552","0.8633674857660205","-1783","271.459716796875"
"1940499869","true","2013-01-31 00:12:44.000","6.937309761","-69.49139174","271123.6851-2228278.388","true","1213","1","gps","Thalassoica antarctica","4181987GPS","4181987","At-sea distribution Antarctic Petrel, Antarctica 2012 (data from Descamps et al. 2016)","78.5367950828086","0.8587325662259393","-1783","271.459742702908"
"1940499870","true","2013-01-31 00:42:44.000","6.944079798","-69.48747363","271439.9034-2228680.907","true","1213","1","gps","Thalassoica antarctica","4181987GPS","4181987","At-sea distribution Antarctic Petrel, Antarctica 2012 (data from Descamps et al. 2016)","78.41283200582684","0.8475420635352858","-1771","271.4598037380642"
"1940499871","true","2013-01-31 01:12:44.000","6.946791777","-69.48796243","271538.7877-2228613.842","true","1213","1","gps","Thalassoica antarctica","4181987GPS","4181987","At-sea distribution Antarctic Petrel, Antarctica 2012 (data from Descamps et al. 2016)","78.42574743589205","0.8364792286004202","-1771","271.4598647732205"
"1940499872","true","2013-01-31 01:42:44.000","7.021283814","-69.39217421","275744.5231-2238882.969","true","1213","1","gps","Thalassoica antarctica","4181987GPS","4181987","At-sea distribution Antarctic Petrel, Antarctica 2012 (data from Descamps et al. 2016)","76.33443201707567","0.8219461795746372","-1834","271.45992580837674"
"1940499873","true","2013-01-31 02:12:44.000","7.174927067","-69.20386145","284376.7785-2259023.702","true","1213","1","gps","Thalassoica antarctica","4181987GPS","4181987","At-sea distribution Antarctic Petrel, Antarctica 2012 (data from Descamps et al. 2016)","NaN","0.8025943198955104","-2206","271.459986843533"
"1940499874","true","2013-01-31 02:42:44.000","7.450627092","-69.01684126","297956.4-2278373.2","true","1213","1","gps","Thalassoica antarctica","4181987GPS","4181987","At-sea distribution Antarctic Petrel, Antarctica 2012 (data from Descamps et al. 2016)","NaN","0.7574709008869772","-2913","271.4600478786892"
"1940499875","true","2013-01-31 03:12:44.000","7.687132723","-68.81762617","310341.1993-2299221.722","true","1213","1","gps","Thalassoica antarctica","4181987GPS","4181987","At-sea distribution Antarctic Petrel, Antarctica 2012 (data from Descamps et al. 2016)","71.40352126441556","0.6164935136040537","-3087","271.50235145102573"
"1940499876","true","2013-01-31 03:42:44.000","8.022857289","-68.63693003","326632.5866-2317403.201","true","1213","1","gps","Thalassoica antarctica","4181987GPS","4181987","At-sea distribution Antarctic Petrel, Antarctica 2012 (data from Descamps et al. 2016)","86.39999263581437","0.532554517918985","-3004","271.5364232579494"
"1940499877","true","2013-01-31 04:12:44.000","8.261085723","-68.53231215","337949.4917-2327625.644","true","1213","1","gps","Thalassoica antarctica","4181987GPS","4181987","At-sea distribution Antarctic Petrel, Antarctica 2012 (data from Descamps et al. 2016)","90.16922539252873","0.4381761098570076","-3046","271.5288870579435"
"1940499878","true","2013-01-31 04:42:44.000","8.681417693","-68.37786385","357629.3059-2342198.155","true","1213","1","gps","Thalassoica antarctica","4181987GPS","4181987","At-sea distribution Antarctic Petrel, Antarctica 2012 (data from Descamps et al. 2016)","101.83197922563937","0.3852797358234868","-3433","271.55156644755806"
"1940499879","true","2013-01-31 05:12:44.000","9.101199096","-68.22279559","377530.6918-2356687.041","true","1213","1","gps","Thalassoica antarctica","4181987GPS","4181987","At-sea distribution Antarctic Petrel, Antarctica 2012 (data from Descamps et al. 2016)","97.29405563119721","0.3486736029729576","-3435","271.5964981672765"
"1940499880","true","2013-01-31 05:42:44.000","9.352101441","-68.06573496","390710.931-2372400.172","true","1213","1","gps","Thalassoica antarctica","4181987GPS","4181987","At-sea distribution Antarctic Petrel, Antarctica 2012 (data from Descamps et al. 2016)","97.89287014056836","0.33346174781835025","-3525","271.68580269157525"
"1940499881","true","2013-01-31 06:12:44.000","9.570851182","-67.90668857","402734.3883-2388497.859","true","1213","1","gps","Thalassoica antarctica","4181987GPS","4181987","At-sea distribution Antarctic Petrel, Antarctica 2012 (data from Descamps et al. 2016)","97.24008784241741","0.29317533561582565","-3104","271.78487959224503"
"1940499882","true","2013-01-31 06:42:44.000","9.727342464","-67.72116808","412777.5186-2407928.437","true","1213","1","gps","Thalassoica antarctica","4181987GPS","4181987","At-sea distribution Antarctic Petrel, Antarctica 2012 (data from Descamps et al. 2016)","99.83850138272882","0.25718544103624436","-2953","271.885348919067"
"1940499883","true","2013-01-31 07:12:44.000","9.663243577","-67.53164361","413659.1212-2429388.522","true","1213","1","gps","Thalassoica antarctica","4181987GPS","4181987","At-sea distribution Antarctic Petrel, Antarctica 2012 (data from Descamps et al. 2016)","112.57242814040585","0.2567220116140219","-3433","271.95151349921366"
