"event-id","visible","timestamp","location-long","location-lat","comments","modelled","study-specific-measurement","tag-tech-spec","sensor-type","individual-taxon-canonical-name","tag-local-identifier","individual-local-identifier","study-name","OSU Ocean NPP 0.17deg 8d NPP","VIIRS Ocean Mapped OceanColor 4km Daily Euphotic Depth","ETOPO1 Elevation","OSCAR 1/3deg 5d Surface Currents Zonal Velocity","OSCAR 1/3deg 5d Surface Currents Meridional Velocity","MODIS Ocean Aqua OceanColor 4km Daily Daytime SST"
"1940489699","true","2011-12-13 00:22:57.000","7.231573465","-69.89723462","276859.577-2181898.996","true","1112","1","gps","Thalassoica antarctica","4155777GPS","4155777","At-sea distribution Antarctic Petrel, Antarctica 2012 (data from Descamps et al. 2016)","NaN","NaN","-81","NaN","NaN","NaN"
"1940489700","true","2011-12-13 00:52:57.000","7.25831616","-69.82244958","278932.4841-2190049.297","true","1112","1","gps","Thalassoica antarctica","4155777GPS","4155777","At-sea distribution Antarctic Petrel, Antarctica 2012 (data from Descamps et al. 2016)","177.60169982910156","NaN","-253","NaN","NaN","NaN"
"1940489701","true","2011-12-13 01:22:57.000","7.311297339","-69.71319766","282509.6616-2201888.067","true","1112","1","gps","Thalassoica antarctica","4155777GPS","4155777","At-sea distribution Antarctic Petrel, Antarctica 2012 (data from Descamps et al. 2016)","177.60169982910156","NaN","-377","NaN","NaN","NaN"
"1940489702","true","2011-12-13 01:52:57.000","7.389326812","-69.59585736","287193.4346-2214496.697","true","1112","1","gps","Thalassoica antarctica","4155777GPS","4155777","At-sea distribution Antarctic Petrel, Antarctica 2012 (data from Descamps et al. 2016)","177.60169982910156","NaN","-1105","NaN","NaN","NaN"
"1940489703","true","2011-12-13 02:22:57.000","7.488740201","-69.48424186","292660.4848-2226357.928","true","1112","1","gps","Thalassoica antarctica","4155777GPS","4155777","At-sea distribution Antarctic Petrel, Antarctica 2012 (data from Descamps et al. 2016)","171.9052734375","NaN","-1996","NaN","NaN","NaN"
"1940489704","true","2011-12-13 02:52:57.000","7.58630658","-69.3721707","298104.686-2238271.107","true","1112","1","gps","Thalassoica antarctica","4155777GPS","4155777","At-sea distribution Antarctic Petrel, Antarctica 2012 (data from Descamps et al. 2016)","NaN","NaN","-2058","NaN","NaN","NaN"
"1940489705","true","2011-12-13 03:22:57.000","7.669772191","-69.26240971","303002.6151-2249995.073","true","1112","1","gps","Thalassoica antarctica","4155777GPS","4155777","At-sea distribution Antarctic Petrel, Antarctica 2012 (data from Descamps et al. 2016)","NaN","NaN","-2402","NaN","NaN","NaN"
"1940489706","true","2011-12-13 03:52:57.000","7.706240444","-69.21023808","305216.9352-2255582.883","true","1112","1","gps","Thalassoica antarctica","4155777GPS","4155777","At-sea distribution Antarctic Petrel, Antarctica 2012 (data from Descamps et al. 2016)","NaN","NaN","-2674","NaN","NaN","NaN"
"1940489707","true","2011-12-13 04:22:57.000","7.704901249","-69.20691751","305214-2255958","true","1112","1","gps","Thalassoica antarctica","4155777GPS","4155777","At-sea distribution Antarctic Petrel, Antarctica 2012 (data from Descamps et al. 2016)","NaN","NaN","-2672","NaN","NaN","NaN"
"1940489708","true","2011-12-13 04:52:57.000","7.702407245","-69.20547589","305137.4085-2256131.045","true","1112","1","gps","Thalassoica antarctica","4155777GPS","4155777","At-sea distribution Antarctic Petrel, Antarctica 2012 (data from Descamps et al. 2016)","NaN","NaN","-2672","NaN","NaN","NaN"
