event-id,visible,timestamp,location-long,location-lat,comments,modelled,study-specific-measurement,tag-tech-spec,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name,OSU Ocean NPP 0.083deg Monthly NPP,ECMWF Interim Full Daily SFC Sea Ice Cover,ETOPO1 Elevation,ECMWF Interim Full Daily SFC Sea Surface Temperature
1940520125,TRUE,29:55.0,-1.831945351,-70.015618,-2254955.976,TRUE,1314,1,gps,Thalassoica antarctica,4165869GPS,4165869,"At-sea distribution Antarctic Petrel, Antarctica 2012 (data from Descamps et al. 2016)",44.04749485,0.725233908,-440,271.4602051
1940520126,TRUE,59:55.0,-2.12112835,-69.87425009,-2281949.822,TRUE,1314,1,gps,Thalassoica antarctica,4165869GPS,4165869,"At-sea distribution Antarctic Petrel, Antarctica 2012 (data from Descamps et al. 2016)",41.24673003,0.7225142,-1517,271.4602051
1940520127,TRUE,29:55.0,-2.309875758,-69.79255824,-2298396.129,TRUE,1314,1,gps,Thalassoica antarctica,4165869GPS,4165869,"At-sea distribution Antarctic Petrel, Antarctica 2012 (data from Descamps et al. 2016)",37.06373113,0.711384481,-2298,271.4602051
1940520128,TRUE,59:55.0,-2.48557568,-69.67260404,-2318848.125,TRUE,1314,1,gps,Thalassoica antarctica,4165869GPS,4165869,"At-sea distribution Antarctic Petrel, Antarctica 2012 (data from Descamps et al. 2016)",33.81458599,0.731744142,-2805,271.4602051
1940520129,TRUE,29:55.0,-2.646158709,-69.52795975,-2341682.084,TRUE,1314,1,gps,Thalassoica antarctica,4165869GPS,4165869,"At-sea distribution Antarctic Petrel, Antarctica 2012 (data from Descamps et al. 2016)",31.99155664,0.753147788,-2694,271.4602051
1940520130,TRUE,59:55.0,-2.64921511,-69.48724691,-2346550.064,TRUE,1314,1,gps,Thalassoica antarctica,4165869GPS,4165869,"At-sea distribution Antarctic Petrel, Antarctica 2012 (data from Descamps et al. 2016)",31.36868801,0.761720833,-2925,271.4602051
1940520131,TRUE,29:55.0,-2.655608739,-69.44329726,-2351921.994,TRUE,1314,1,gps,Thalassoica antarctica,4165869GPS,4165869,"At-sea distribution Antarctic Petrel, Antarctica 2012 (data from Descamps et al. 2016)",29.05786358,0.771002247,-3102,271.4602051
1940520132,TRUE,59:55.0,-2.686835559,-69.37520079,-2361048.707,TRUE,1314,1,gps,Thalassoica antarctica,4165869GPS,4165869,"At-sea distribution Antarctic Petrel, Antarctica 2012 (data from Descamps et al. 2016)",25.70440814,0.784786783,-3212,271.4602051
1940520133,TRUE,29:55.0,-2.71879667,-69.30414334,-2370558.25,TRUE,1314,1,gps,Thalassoica antarctica,4165869GPS,4165869,"At-sea distribution Antarctic Petrel, Antarctica 2012 (data from Descamps et al. 2016)",26.21606264,0.798966001,-3251,271.4602051
1940520134,TRUE,59:55.0,-2.769549361,-69.17228479,-2387906.265,TRUE,1314,1,gps,Thalassoica antarctica,4165869GPS,4165869,"At-sea distribution Antarctic Petrel, Antarctica 2012 (data from Descamps et al. 2016)",23.80000166,0.822832162,-3429,271.4602051
