date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
1998270,0,0,3,-76.3,-38.9,0,0,0
1998283,13,16.171,129,-76.16,-39.07,0,0,0
1998284,1,8.087,131,-76.23,-38.985,0,0,0
1998285,1,0,131,-76.23,-38.985,0,0,0
1998286,1,0,131,-76.23,-38.985,0,0,0
1998287,1,0,131,-76.23,-38.985,0,0,0
1998288,1,0,131,-76.23,-38.985,0,0,0
1998289,1,1.072,131,-76.22,-38.983,0,0,0
1998290,1,2.149,131,-76.201,-38.979,0,0,0
1998291,1,2.149,131,-76.182,-38.976,0,0,0
1998292,1,1.072,131,-76.172,-38.974,0,0,0
1998293,1,0,131,-76.172,-38.974,0,0,0
1998294,1,0,131,-76.172,-38.974,0,0,0
1998295,1,0.569,131,-76.17,-38.993,0,0,0
1998296,1,1.14,131,-76.164,-39.03,0,0,0
1998297,1,1.142,131,-76.159,-39.068,0,0,0
1998298,1,0.569,131,-76.157,-39.086,0,0,0
1998299,1,0.494,131,-76.153,-39.095,0,0,0
1998300,1,1.286,131,-76.143,-39.119,0,0,0
1998301,1,1.775,131,-76.129,-39.151,0,0,0
1998302,1,1.966,131,-76.113,-39.187,0,0,0
1998303,1,1.851,131,-76.099,-39.221,0,0,0
1998304,1,1.441,131,-76.088,-39.247,0,0,0
1998305,1,0.724,131,-76.082,-39.261,0,0,0
1998306,1,7.563,129,-76.014,-39.273,0,0,0
1998307,1,0,129,-76.014,-39.273,0,0,0
1998308,1,0,129,-76.014,-39.273,0,0,0
1998309,1,0,129,-76.014,-39.273,0,0,0
1998310,1,0,129,-76.014,-39.273,0,0,0
1998311,1,0,129,-76.014,-39.273,0,0,0
1998312,1,0,129,-76.014,-39.273,0,0,0
1998313,1,0,129,-76.014,-39.273,0,0,0
1998314,1,0,129,-76.014,-39.273,0,0,0
1998315,1,0,129,-76.014,-39.273,0,0,0
1998316,1,0,129,-76.014,-39.273,0,0,0
1998317,1,0,129,-76.014,-39.273,0,0,0
1998318,1,0,129,-76.014,-39.273,0,0,0
1998319,1,0,129,-76.014,-39.273,0,0,0
1998320,1,0,129,-76.014,-39.273,0,0,0
1998321,1,0,129,-76.014,-39.273,0,0,0
1998322,1,0,129,-76.014,-39.273,0,0,0
1998323,1,0,129,-76.014,-39.273,0,0,0
1998324,1,0,129,-76.014,-39.273,0,0,0
1998325,1,0,129,-76.014,-39.273,0,0,0
1998326,1,0,129,-76.014,-39.273,0,0,0
1998327,1,0,129,-76.014,-39.273,0,0,0
1998328,1,0,129,-76.014,-39.273,0,0,0
1998329,1,0,129,-76.014,-39.273,0,0,0
1998330,1,0,129,-76.014,-39.273,0,0,0
1998331,1,0,129,-76.014,-39.273,0,0,0
1998332,1,0,129,-76.014,-39.273,0,0,0
1998333,1,5.078,131,-76.057,-39.336,0,0,0
1998334,1,0.525,131,-76.053,-39.346,0,0,0
1998335,1,0.953,131,-76.045,-39.361,0,0,0
1998336,1,1.19,131,-76.035,-39.381,0,0,0
1998337,1,1.252,131,-76.025,-39.401,0,0,0
1998338,1,1.122,131,-76.016,-39.419,0,0,0
1998339,1,0.809,131,-76.009,-39.431,0,0,0
1998340,1,1.375,131,-75.999,-39.459,0,0,0
1998341,1,3.835,129,-75.967,-39.41,0,0,0
1998342,1,4.282,129,-75.935,-39.502,0,0,0
1998343,1,2.147,129,-75.919,-39.548,0,0,0
1998344,1,0,129,-75.919,-39.548,0,0,0
1998345,1,0,129,-75.919,-39.548,0,0,0
1998346,1,0,129,-75.919,-39.548,0,0,0
1998347,1,0,129,-75.919,-39.548,0,0,0
1998348,1,0,129,-75.919,-39.548,0,0,0
1998349,1,0,129,-75.919,-39.548,0,0,0
1998350,1,0,129,-75.919,-39.548,0,0,0
1998351,1,0,129,-75.919,-39.548,0,0,0
1998352,1,0,129,-75.919,-39.548,0,0,0
1998353,1,0,129,-75.919,-39.548,0,0,0
1998354,1,10.05,131,-76.01,-39.574,0,0,0
1998355,1,10.05,129,-75.919,-39.548,0,0,0
