date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
1998118,0,0,129,-71.61,-59.57,0,0,0
1998119,1,0,129,-71.61,-59.57,0,0,0
1998120,1,0,129,-71.61,-59.57,0,0,0
1998121,1,0,129,-71.61,-59.57,0,0,0
1998122,1,0,129,-71.61,-59.57,0,0,0
1998123,1,7.316,130,-71.555,-59.685,0,0,0
1998124,1,7.316,129,-71.61,-59.57,0,0,0
1998125,1,0,129,-71.61,-59.57,0,0,0
1998126,1,0,129,-71.61,-59.57,0,0,0
1998127,1,5.168,129,-71.565,-59.539,0,0,0
1998128,1,10.325,129,-71.474,-59.476,0,0,0
1998129,1,10.328,129,-71.383,-59.414,0,0,0
1998130,1,5.17,129,-71.337,-59.382,0,0,0
1998131,1,0,129,-71.337,-59.382,0,0,0
1998132,1,0,129,-71.337,-59.382,0,0,0
1998133,1,2.214,129,-71.319,-59.41,0,0,0
1998134,1,4.417,129,-71.284,-59.465,0,0,0
1998135,1,4.419,129,-71.248,-59.52,0,0,0
1998136,1,6.017,129,-71.195,-59.556,0,0,0
1998137,1,7.798,129,-71.125,-59.575,0,0,0
1998138,1,7.798,129,-71.055,-59.594,0,0,0
1998139,1,3.899,129,-71.02,-59.603,0,0,0
1998140,1,0,129,-71.02,-59.603,0,0,0
1998141,1,0,129,-71.02,-59.603,0,0,0
1998142,1,0,129,-71.02,-59.603,0,0,0
1998143,1,0,129,-71.02,-59.603,0,0,0
1998144,1,12.679,130,-70.96,-59.902,0,0,0
1998145,1,10.266,129,-70.996,-59.64,0,0,0
1998146,1,5.921,129,-70.949,-59.715,0,0,0
1998147,1,5.934,129,-70.901,-59.789,0,0,0
1998148,1,2.969,129,-70.877,-59.827,0,0,0
1998149,1,0,129,-70.877,-59.827,0,0,0
1998150,1,0,129,-70.877,-59.827,0,0,0
1998151,1,0,129,-70.877,-59.827,0,0,0
1998152,1,0,129,-70.877,-59.827,0,0,0
1998153,1,0,129,-70.877,-59.827,0,0,0
1998154,1,0,129,-70.877,-59.827,0,0,0
1998155,1,0,129,-70.877,-59.827,0,0,0
1998156,1,0,129,-70.877,-59.827,0,0,0
1998157,1,1.835,129,-70.863,-59.852,0,0,0
1998158,1,3.689,129,-70.834,-59.903,0,0,0
1998159,1,3.671,129,-70.806,-59.953,0,0,0
1998160,1,1.846,129,-70.791,-59.979,0,0,0
1998161,1,0,129,-70.791,-59.979,0,0,0
1998162,1,0,129,-70.791,-59.979,0,0,0
1998163,1,0,129,-70.791,-59.979,0,0,0
1998164,1,0,129,-70.791,-59.979,0,0,0
1998165,1,0,129,-70.791,-59.979,0,0,0
1998166,1,0,129,-70.791,-59.979,0,0,0
1998167,1,0,129,-70.791,-59.979,0,0,0
1998168,1,0,129,-70.791,-59.979,0,0,0
1998169,1,0,129,-70.791,-59.979,0,0,0
1998170,1,0,129,-70.791,-59.979,0,0,0
1998171,1,0,129,-70.791,-59.979,0,0,0
1998172,1,6.859,130,-70.846,-59.889,0,0,0
1998173,1,6.859,129,-70.791,-59.979,0,0,0
1998174,1,0,129,-70.791,-59.979,0,0,0
1998175,1,0,129,-70.791,-59.979,0,0,0
1998176,1,0,129,-70.791,-59.979,0,0,0
1998177,1,0,129,-70.791,-59.979,0,0,0
1998178,1,0,129,-70.791,-59.979,0,0,0
1998179,1,0,129,-70.791,-59.979,0,0,0
1998180,1,0,129,-70.791,-59.979,0,0,0
1998181,1,0,129,-70.791,-59.979,0,0,0
1998182,1,0,129,-70.791,-59.979,0,0,0
1998183,1,0,129,-70.791,-59.979,0,0,0
1998184,1,0,129,-70.791,-59.979,0,0,0
1998185,1,0,129,-70.791,-59.979,0,0,0
1998186,1,0,129,-70.791,-59.979,0,0,0
1998187,1,4.59,129,-70.75,-59.997,0,0,0
1998188,1,9.169,129,-70.669,-60.034,0,0,0
1998189,1,9.181,129,-70.587,-60.071,0,0,0
1998190,1,4.591,129,-70.546,-60.09,0,0,0
1998191,1,0,129,-70.546,-60.09,0,0,0
1998192,1,0,129,-70.546,-60.09,0,0,0
1998193,1,0,129,-70.546,-60.09,0,0,0
1998194,1,0,129,-70.546,-60.09,0,0,0
1998195,1,0,129,-70.546,-60.09,0,0,0
1998196,1,3.98,129,-70.512,-60.12,0,0,0
1998197,1,7.961,129,-70.443,-60.181,0,0,0
1998198,1,7.963,129,-70.374,-60.242,0,0,0
1998199,1,3.983,129,-70.34,-60.272,0,0,0
1998200,1,0,129,-70.34,-60.272,0,0,0
1998201,1,0,129,-70.34,-60.272,0,0,0
1998202,1,0,129,-70.34,-60.272,0,0,0
1998203,1,0,129,-70.34,-60.272,0,0,0
1998204,1,0,129,-70.34,-60.272,0,0,0
1998205,1,0,129,-70.34,-60.272,0,0,0
1998206,1,0,129,-70.34,-60.272,0,0,0
1998207,1,0,129,-70.34,-60.272,0,0,0
1998208,1,0,129,-70.34,-60.272,0,0,0
1998209,1,0,129,-70.34,-60.272,0,0,0
1998210,1,0,129,-70.34,-60.272,0,0,0
1998211,1,0,129,-70.34,-60.272,0,0,0
1998212,1,0,129,-70.34,-60.272,0,0,0
1998213,1,0,129,-70.34,-60.272,0,0,0
1998214,1,13.505,130,-70.22,-60.336,0,0,0
1998215,1,13.505,129,-70.34,-60.272,0,0,0
1998216,1,0,129,-70.34,-60.272,0,0,0
1998217,1,2.765,129,-70.315,-60.262,0,0,0
1998218,1,5.519,129,-70.266,-60.243,0,0,0
1998219,1,5.53,129,-70.216,-60.224,0,0,0
1998220,1,2.766,129,-70.191,-60.214,0,0,0
1998221,1,0,129,-70.191,-60.214,0,0,0
1998222,1,0,129,-70.191,-60.214,0,0,0
1998223,1,3.641,129,-70.159,-60.213,0,0,0
1998224,1,7.303,129,-70.093,-60.212,0,0,0
1998225,1,7.281,129,-70.027,-60.21,0,0,0
1998226,1,3.652,129,-69.994,-60.209,0,0,0
1998227,1,0,129,-69.994,-60.209,0,0,0
1998228,1,0,129,-69.994,-60.209,0,0,0
1998229,1,3.091,129,-69.967,-60.227,0,0,0
1998230,1,6.182,129,-69.913,-60.262,0,0,0
1998231,1,6.172,129,-69.858,-60.297,0,0,0
1998232,1,3.092,129,-69.831,-60.314,0,0,0
1998233,1,0,129,-69.831,-60.314,0,0,0
1998234,1,0,129,-69.831,-60.314,0,0,0
1998235,1,0,129,-69.831,-60.314,0,0,0
1998236,1,0,129,-69.831,-60.314,0,0,0
1998237,1,0,129,-69.831,-60.314,0,0,0
1998238,1,0,129,-69.831,-60.314,0,0,0
1998239,1,0,129,-69.831,-60.314,0,0,0
1998240,1,0,129,-69.831,-60.314,0,0,0
1998241,1,0,129,-69.831,-60.314,0,0,0
1998242,1,0,129,-69.831,-60.314,0,0,0
1998243,1,0,129,-69.831,-60.314,0,0,0
1998244,1,0,129,-69.831,-60.314,0,0,0
1998245,1,0,129,-69.831,-60.314,0,0,0
1998246,1,0,129,-69.831,-60.314,0,0,0
1998247,1,0,129,-69.831,-60.314,0,0,0
1998248,1,0,129,-69.831,-60.314,0,0,0
1998249,1,0,129,-69.831,-60.314,0,0,0
1998250,1,0,129,-69.831,-60.314,0,0,0
1998251,1,0,129,-69.831,-60.314,0,0,0
1998252,1,0,129,-69.831,-60.314,0,0,0
1998253,1,2.946,129,-69.808,-60.352,0,0,0
1998254,1,5.902,129,-69.762,-60.428,0,0,0
1998255,1,5.898,129,-69.716,-60.504,0,0,0
1998256,1,11.266,129,-69.614,-60.504,0,0,0
1998257,1,17.635,129,-69.457,-60.429,0,0,0
1998258,1,17.639,129,-69.301,-60.354,0,0,0
1998259,1,17.038,129,-69.157,-60.202,0,0,0
1998260,1,17.099,129,-69.026,-59.975,0,0,0
1998261,1,17.122,129,-68.895,-59.747,0,0,0
1998262,1,8.57,129,-68.83,-59.633,0,0,0
1998263,1,0,129,-68.83,-59.633,0,0,0
1998264,1,0,129,-68.83,-59.633,0,0,0
1998265,1,2.43,129,-68.809,-59.615,0,0,0
1998266,1,4.848,129,-68.767,-59.579,0,0,0
1998267,1,4.858,129,-68.725,-59.543,0,0,0
1998268,1,2.431,129,-68.705,-59.525,0,0,0
1998269,1,0,129,-68.705,-59.525,0,0,0
1998270,1,0,129,-68.705,-59.525,0,0,0
1998271,1,2.064,129,-68.691,-59.559,0,0,0
1998272,1,4.122,129,-68.663,-59.626,0,0,0
1998273,1,4.124,129,-68.635,-59.694,0,0,0
1998274,1,2.067,129,-68.621,-59.728,0,0,0
1998275,1,0,129,-68.621,-59.728,0,0,0
1998276,1,0,129,-68.621,-59.728,0,0,0
1998277,1,2.588,129,-68.6,-59.755,0,0,0
1998278,1,5.166,129,-68.558,-59.811,0,0,0
1998279,1,5.168,129,-68.516,-59.866,0,0,0
1998280,1,2.591,129,-68.495,-59.894,0,0,0
1998281,1,0,129,-68.495,-59.894,0,0,0
1998282,1,0,129,-68.495,-59.894,0,0,0
