date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
1999202,0,0,17,-73.336,-59.189,1,2713.19,0.0579
1999203,1,6.318,17,-73.281,-59.14,1,2711.04,0.09
1999204,1,6.316,17,-73.225,-59.092,1,2708.89,0.1101
1999205,1,4.467,17,-73.246,-59.212,1,2706.74,0.1183
1999206,1,8.931,17,-73.205,-58.973,1,2704.59,0.1148
1999207,1,0,17,-73.205,-58.973,1,2702.44,0.0681
1999208,1,4.468,17,-73.239,-58.901,1,2700.29,0.0668
1999209,1,4.462,17,-73.26,-59.02,1,2698.14,0.0357
1999210,1,0,17,-73.26,-59.02,1,2695.99,0.064
1999211,1,9.984,17,-73.17,-59.044,1,2693.84,0.0764
1999212,1,9.976,17,-73.094,-58.878,1,2691.69,0.1029
1999213,1,6.31,17,-73.149,-58.925,1,2689.54,0.1018
1999214,1,8.931,17,-73.08,-59.068,1,2687.39,0.1378
1999215,1,4.46,17,-73.06,-58.95,1,2684.36,0.083
1999216,1,4.464,17,-73.039,-58.832,1,2682.6,0.0418
1999217,1,6.321,17,-73.094,-58.878,1,2680.87,-0.0081
1999218,1,0,17,-73.094,-58.878,1,2680.48,-0.0283
1999219,1,4.468,17,-73.06,-58.95,1,2682.23,-0.0382
1999220,1,4.464,17,-73.039,-58.832,1,2683.36,-0.007
1999221,1,4.464,17,-73.06,-58.95,1,2685.74,0.0059
1999222,1,4.468,17,-73.094,-58.878,1,2688.28,0.0134
1999223,1,8.924,17,-73.025,-59.021,1,2690.66,0.0348
1999224,1,4.465,17,-73.005,-58.903,1,2693.75,0.0671
1999225,1,4.461,17,-73.039,-58.832,1,2696.08,0.0499
1999226,1,4.462,17,-73.073,-58.76,1,2697.86,0.057
1999227,1,6.307,17,-73.018,-58.714,1,2699.4,0.0284
1999228,1,4.457,17,-73.039,-58.832,1,2699.74,0.0069
1999229,1,6.308,17,-72.984,-58.785,1,2700.46,-0.0286
1999230,1,0,17,-72.984,-58.785,1,2701.62,-0.0434
1999231,1,6.307,17,-72.929,-58.739,1,2702.86,-0.0166
1999232,1,4.456,17,-72.963,-58.668,1,2704.63,0.0102
1999233,1,4.456,17,-72.929,-58.739,1,2705.16,0.0077
1999234,1,6.307,17,-72.942,-58.551,1,2704.31,0.0311
1999235,1,0,17,-72.942,-58.551,1,2704.76,0.0388
1999236,1,0,17,-72.942,-58.551,1,2703.28,0.0371
1999237,1,8.922,17,-72.9,-58.318,1,2701.48,0.0293
1999238,1,12.622,17,-72.789,-58.229,1,2699.13,0.0353
1999239,1,4.46,17,-72.768,-58.114,1,2697.19,0.0406
1999240,1,4.46,17,-72.789,-58.229,1,2694.2,0.071
1999241,1,4.451,17,-72.755,-58.301,1,2690.19,0.0633
1999242,1,4.46,17,-72.734,-58.185,1,2685.58,0.0393
1999243,1,6.303,17,-72.679,-58.142,1,2678.42,-0.0468
1999244,1,4.453,17,-72.7,-58.257,1,2670.02,-0.0306
1999245,1,9.962,17,-72.61,-58.284,1,2661.34,-0.0184
1999246,1,4.461,17,-72.589,-58.17,1,2652.35,-0.1076
1999247,1,4.453,17,-72.568,-58.056,1,2642.42,-0.0262
1999248,1,0,17,-72.568,-58.056,1,2632.66,0.0587
1999249,1,0,17,-72.568,-58.056,1,2622.06,0.1411
1999250,1,12.609,17,-72.457,-57.971,1,2612.43,0.1565
1999251,1,9.964,17,-72.38,-57.816,1,2603.55,0.161
1999252,1,9.969,17,-72.291,-57.845,1,2594.92,0.2167
