date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2004120,0,0,16,-52.176,-27.565,2,952.73,0
2004121,1,57.449,17,-52.505,-26.912,2,945.85,0
2004122,1,42.976,17,-52.72,-26.382,2,938.97,0
2004123,1,30.09,17,-52.838,-25.979,2,932.09,0
2004124,1,18.878,16,-52.873,-25.704,2,925.21,0
2004125,1,14.891,16,-52.777,-25.55,2,918.33,0
2004126,1,17.31,16,-52.621,-25.539,2,911.45,0
2004127,1,41.537,16,-52.306,-25.208,2,904.57,0
2004128,1,11.966,16,-52.217,-25.11,2,897.69,0
2004129,1,26.465,17,-52,-24.951,1,890.81,0
2004130,1,25.792,16,-51.783,-24.816,1,883.93,0
2004131,1,10.303,16,-51.695,-24.771,0,877.05,0
2004132,1,12.739,16,-51.604,-24.657,0,870.17,0
2004133,1,9.41,16,-51.566,-24.536,0,863.41,0
2004134,1,0,16,-51.566,-24.536,0,856.67,0
2004135,1,24.234,16,-51.515,-24.195,0,851.38,0
2004136,1,21.485,16,-51.585,-23.905,0,846.11,0
2004137,1,24.756,16,-51.774,-23.716,0,842.28,0
2004138,1,26.072,16,-51.953,-23.47,1,833.46,0
2004139,1,38.644,16,-52.189,-23.054,1,831.1,0
2004140,1,27.616,16,-52.264,-22.667,2,828.75,0
2004141,1,39.273,16,-52.405,-22.137,2,827.96,0
2004142,1,33.615,16,-52.493,-21.661,2,827.19,0
2004143,1,20.268,16,-52.505,-21.362,2,826.42,0
2004144,1,24.635,16,-52.402,-21.04,2,825.65,0
2004145,1,17.256,16,-52.289,-20.867,2,824.88,0
2004146,1,17.029,16,-52.142,-20.941,2,824.11,0
2004147,1,20.234,16,-51.966,-21.013,1,823.17,0
2004148,1,19.379,16,-51.824,-21.179,1,822.24,0
2004149,1,29.089,17,-51.635,-21.471,0,821.3,0
2004150,1,32.525,17,-51.432,-21.81,0,820.36,0
2004151,1,18.63,16,-51.304,-21.984,0,819.43,0
2004152,1,4.65,16,-51.263,-21.996,0,818.49,0
2004153,1,63.817,16,-51.433,-22.875,0,817.56,0
2004154,1,19.4,16,-51.392,-23.147,0,816.62,0
2004155,1,18.191,16,-51.481,-23.368,0,815.68,0
2004156,1,12.406,16,-51.564,-23.488,0,814.75,0
2004157,1,24.373,17,-51.781,-23.431,0,813.81,0
2004158,1,18.427,16,-51.942,-23.367,0,812.88,0
2004159,1,10.557,16,-51.847,-23.358,0,0,0
2004160,1,4.705,17,-51.805,-23.371,0,0,0
2004161,1,4.062,17,-51.776,-23.407,0,0,0
2004162,1,4.489,17,-51.753,-23.461,0,0,0
2004163,1,5.293,16,-51.73,-23.528,0,0,0
2004164,1,9.775,16,-51.707,-23.665,0,0,0
2004165,1,28.171,16,-51.922,-23.448,0,0,0
2004166,1,14.153,17,-51.85,-23.279,0,0,0
2004167,1,20.299,17,-51.69,-23.136,0,0,0
2004168,1,20.963,17,-51.53,-22.975,0,0,0
2004169,1,17.478,16,-51.457,-22.751,0,0,0
2004170,1,46.829,16,-51.784,-22.323,0,0,0
2004171,1,54.711,17,-51.778,-21.527,0,0,0
2004172,1,41.265,16,-51.758,-20.927,0,0,0
2004173,1,16.84,16,-51.614,-20.853,0,0,0
