date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2001119,0,0,3,-71.1,-58.2,1,1672.31,0
2001154,35,11.669,3,-71,-58.3,1,1758.61,0
2001210,56,72.262,3,-71,-56.3,2,1844.9,0
2001224,14,0,3,-71,-56.3,2,1931.2,0
2001225,1,3.281,3,-71,-56.391,2,2017.5,0
2001226,1,8.593,3,-71,-56.629,2,2103.8,0
2001227,1,12.018,3,-71,-56.961,2,2190.1,0
2001228,1,13.568,3,-71,-57.337,1,2276.4,0
2001229,1,13.236,3,-71,-57.703,1,2362.7,0
2001230,1,11.024,3,-71,-58.008,1,2449,0
2001231,1,6.934,3,-71,-58.2,1,2535.29,0
2001245,14,43.646,3,-70.767,-59.167,1,2621.59,0
2001273,28,18.542,3,-70.6,-59.2,1,2707.89,0
2001274,1,1.499,3,-70.588,-59.215,1,2787.87,0
2001275,1,2.255,3,-70.571,-59.252,1,2890.83,0
2001276,1,2.891,3,-70.552,-59.304,1,2908.63,0
2001277,1,3.372,3,-70.529,-59.365,1,2937.07,0
2001278,1,3.657,3,-70.505,-59.431,1,2946.92,0
2001279,1,3.773,3,-70.478,-59.494,1,2972.65,0.0156
2001280,1,3.735,3,-70.45,-59.55,1,3001.99,-0.0298
2001281,1,4.099,3,-70.418,-59.606,1,3030.4,-0.0161
2001282,1,4.811,3,-70.381,-59.67,1,3056.9,-0.0042
2001283,1,5.287,3,-70.339,-59.737,1,3013.63,0.0059
2001284,1,5.541,3,-70.293,-59.799,1,2973.92,0.0142
2001285,1,5.61,3,-70.246,-59.851,1,2931.6,0.0208
2001286,1,5.504,3,-70.198,-59.887,1,2886.8,0.0255
2001287,1,5.318,3,-70.15,-59.9,1,2843.02,0.0285
2001301,14,86.366,3,-69.4,-59.3,1,2801.26,-0.0194
2001315,14,11.769,3,-69.3,-59.4,1,2761.55,0
2001316,1,0,3,-69.3,-59.4,1,2722.62,0
2001317,1,0,3,-69.3,-59.4,1,2680.66,0
2001318,1,0,3,-69.3,-59.4,1,2639.81,0
2001319,1,0,3,-69.3,-59.4,1,2616.78,0
2001320,1,0,3,-69.3,-59.4,1,2592.8,0
2001321,1,0,3,-69.3,-59.4,1,2515.47,0
2001322,1,0,3,-69.3,-59.4,1,2426.51,0
2001323,1,0.149,3,-69.3,-59.396,1,2340.34,0
2001324,1,0.4,3,-69.3,-59.386,1,2258.64,0
2001325,1,0.585,3,-69.3,-59.371,1,2179.5,0
2001326,1,0.694,3,-69.3,-59.353,1,2088.24,0
2001327,1,0.745,3,-69.3,-59.334,1,2068.39,0
2001328,1,0.722,3,-69.3,-59.316,1,2048.61,0
2001329,1,0.628,3,-69.3,-59.3,1,2029.59,0
2001330,1,1.383,3,-69.311,-59.284,1,2010.85,0
2001331,1,3.255,3,-69.34,-59.266,1,1992.92,0
2001332,1,4.392,3,-69.379,-59.247,1,1975.38,0
2001333,1,4.779,3,-69.421,-59.229,1,1958.55,0
2001334,1,4.367,3,-69.46,-59.214,1,1978.86,0
2001335,1,3.199,3,-69.489,-59.204,1,1995.66,0
2001336,1,1.241,3,-69.5,-59.2,1,2012.5,0
2001337,1,2.164,3,-69.481,-59.206,1,2031.16,0
2001338,1,5.577,3,-69.431,-59.22,1,2050.55,0
2001339,1,7.63,3,-69.362,-59.239,1,2069.39,0
2001340,1,8.3,3,-69.288,-59.261,1,2090.72,0
2001341,1,7.631,3,-69.219,-59.28,1,2112.45,0
2001342,1,5.578,3,-69.169,-59.295,1,2138.24,0
2001343,1,2.164,3,-69.15,-59.3,1,2161.67,0
2001365,22,2.098,3,-69.168,-59.287,1,2172.56,0
2002001,1,24.103,3,-69.379,-59.134,1,2184.56,0
2002002,1,24.786,3,-69.595,-58.976,1,2199.92,0
2002003,1,12.02,3,-69.7,-58.9,1,2214.57,0
2002020,17,44.397,3,-69.3,-58.9,1,2228.78,0
2002055,35,12.755,3,-69.28,-59.22,1,2248.98,0
2003005,315,103.354,3,-68.35,-59.35,2,2265.17,0
2003019,14,17.754,3,-68.2,-59.2,2,2281.54,0
2003020,1,1.314,3,-68.211,-59.211,2,2297.97,0
2003021,1,3.386,3,-68.24,-59.24,1,2314.9,0
2003022,1,4.616,3,-68.279,-59.279,1,2333.77,0
2003023,1,5.041,3,-68.321,-59.321,1,2346.24,0
2003024,1,4.614,3,-68.36,-59.36,1,2358.51,0
2003025,1,3.383,3,-68.389,-59.389,1,2374,0
2003026,1,1.313,3,-68.4,-59.4,1,2388.56,0
2003027,1,1.313,3,-68.389,-59.389,1,2399.92,0
2003028,1,3.383,3,-68.36,-59.36,2,2411.85,0
2003029,1,4.614,3,-68.321,-59.321,2,2424.06,0
2003030,1,5.041,3,-68.279,-59.279,2,2437.2,0
2003031,1,4.616,3,-68.24,-59.24,1,2450.22,0
2003032,1,3.386,3,-68.211,-59.211,1,2463.01,0
2003033,1,1.314,3,-68.2,-59.2,1,2472.02,0
2003034,1,2.202,3,-68.211,-59.244,1,2480.95,0
2003035,1,5.677,3,-68.24,-59.359,1,2489.6,0
2003036,1,7.748,3,-68.279,-59.515,1,2500.79,0
2003037,1,8.435,3,-68.321,-59.685,1,2508.34,0
2003038,1,7.729,3,-68.36,-59.841,1,2515.57,0
2003039,1,5.651,3,-68.389,-59.956,1,2519.1,0
2003040,1,2.19,3,-68.4,-60,1,2524.16,0
2003041,1,0,3,-68.4,-60,1,2524.04,0
2003042,1,0,3,-68.4,-60,1,2522.34,0
2003043,1,0,3,-68.4,-60,1,2523.89,0
2003044,1,0,3,-68.4,-60,1,2523.96,0
2003045,1,0,3,-68.4,-60,1,2518.65,0
2003046,1,0,3,-68.4,-60,1,2511.24,0
2003047,1,0,3,-68.4,-60,1,2500.69,0
2003048,1,1.357,3,-68.4,-59.967,1,2494.83,0
2003049,1,3.506,3,-68.4,-59.881,1,2487.54,0
2003050,1,4.789,3,-68.4,-59.764,1,2476.02,0
2003051,1,5.214,3,-68.4,-59.636,1,2463.55,0
2003052,1,4.789,3,-68.4,-59.519,1,2451.31,0
2003053,1,3.506,3,-68.4,-59.433,1,2438.68,0
2003054,1,1.357,3,-68.4,-59.4,1,2418.37,0
2003068,14,0,3,-68.4,-59.4,1,2397.9,0
2003082,14,12.258,3,-68.4,-59.7,1,2370.78,0
2003096,14,14.301,3,-68.4,-60.05,1,2343.22,0
2003097,1,0.429,3,-68.4,-60.061,1,2309.22,0
2003098,1,0.413,3,-68.4,-60.071,1,2274.93,0
2003099,1,0.38,3,-68.4,-60.08,1,2234.29,0
2003100,1,0.331,3,-68.4,-60.088,1,2193.5,0
2003101,1,0.262,3,-68.4,-60.094,1,2146.86,0
2003102,1,0.168,3,-68.4,-60.099,0,2100.55,0
2003103,1,0.061,3,-68.4,-60.1,0,2051.65,0
2003114,11,5.983,33,-68.442,-60.193,0,2005.05,0
2003115,1,0,33,-68.442,-60.193,0,1959.01,0
2003116,1,0,33,-68.442,-60.193,0,1918.04,0
2003117,1,2.991,34,-68.421,-60.147,0,1872.09,0
2003118,1,0.065,35,-68.421,-60.148,0,1839.43,0
2003119,1,0.182,35,-68.421,-60.153,0,1811.72,0
2003120,1,0.271,35,-68.421,-60.159,0,1791.14,0
2003121,1,0.339,35,-68.421,-60.168,0,1774.76,0
2003122,1,5.714,35,-68.423,-60.307,0,1765.03,0
2003123,1,0.404,35,-68.423,-60.317,0,1758.16,0
2003124,1,0.398,34,-68.423,-60.327,0,1753.56,0
2003125,1,3.378,35,-68.41,-60.252,1,1751.56,0
2003126,1,1.756,35,-68.412,-60.209,1,1752.43,0
2003127,1,2.302,35,-68.393,-60.228,1,1754.54,0
2003128,1,7.888,35,-68.325,-60.288,1,1764.33,0
2003129,1,2.267,35,-68.306,-60.304,1,1773.96,0
2003130,1,1.657,35,-68.291,-60.316,1,1790.11,0
2003131,1,0.641,34,-68.286,-60.32,1,1806.63,0
2003132,1,10.054,33,-68.371,-60.24,0,1829.58,0
2003133,1,0,33,-68.371,-60.24,0,1852.47,0
2003134,1,0,33,-68.371,-60.24,0,1881.25,0
2003135,1,0,33,-68.371,-60.24,0,1910.86,0
2003136,1,0,33,-68.371,-60.24,0,1945.13,0
2003137,1,0,33,-68.371,-60.24,0,1978.81,0
2003138,1,0,33,-68.371,-60.24,0,2017.94,0
2003139,1,0,33,-68.371,-60.24,0,2055.02,0
2003140,1,0,33,-68.371,-60.24,0,2093.07,0
2003141,1,0,33,-68.371,-60.24,0,2126.51,0
2003142,1,0,33,-68.371,-60.24,0,2165.14,0
2003143,1,0,33,-68.371,-60.24,0,2190.64,0
2003144,1,0,33,-68.371,-60.24,0,2212.12,0
2003145,1,9.846,34,-68.336,-60.02,1,2226.73,0
2003146,1,0.227,35,-68.336,-60.026,1,2237.24,0
2003147,1,2.259,35,-68.326,-59.978,1,2242.32,0
2003148,1,0.799,35,-68.326,-59.997,1,2245.35,0
2003149,1,0.873,35,-68.326,-60.018,1,2246.87,0.0157
2003150,1,0.799,35,-68.326,-60.038,1,2246.5,-0.0105
2003151,1,0.586,35,-68.326,-60.052,1,2243.18,-0.029
2003152,1,0.228,34,-68.326,-60.058,1,2239.62,-0.0402
2003153,1,0.623,35,-68.32,-60.056,1,2235.74,-0.0302
2003154,1,5.9,35,-68.268,-60.082,1,2223.54,-0.0492
2003155,1,2.191,35,-68.248,-60.074,1,2219.92,-0.0543
2003156,1,2.396,35,-68.227,-60.064,1,2206.46,-0.0318
2003157,1,2.2,35,-68.208,-60.055,1,2192.56,0
2003158,1,1.625,35,-68.193,-60.046,1,2166.55,-0.0817
2003159,1,0.668,34,-68.188,-60.04,1,2138.29,-0.1195
2003160,1,0.24,35,-68.189,-60.035,1,2122.49,-0.1292
2003161,1,0.426,35,-68.193,-60.032,1,2098.88,-0.1108
2003162,1,0.563,35,-68.198,-60.028,1,2071.66,-0.1071
2003163,1,0.603,35,-68.203,-60.025,1,2042.69,-0.0681
2003164,1,0.56,35,-68.208,-60.022,1,2024.45,-0.0075
2003165,1,0.416,35,-68.211,-60.018,1,2004.9,0.0318
2003166,1,0.211,34,-68.213,-60.015,1,1984.87,0
2003167,1,0.783,35,-68.206,-60.011,1,1955.49,0
2003168,1,1.996,35,-68.188,-60.006,1,1925.7,0
2003169,1,2.715,35,-68.164,-60.001,1,1902.85,0
2003170,1,2.958,35,-68.137,-59.997,1,1880.17,0
2003171,1,2.713,35,-68.113,-59.993,1,1856.83,0
2003172,1,1.99,35,-68.095,-59.991,1,1833.02,0
2003173,1,0.767,34,-68.088,-59.99,1,1808.14,0
2003174,1,0,35,-68.088,-59.99,1,1782.81,0
2003175,1,2.437,35,-68.066,-59.981,1,1756.67,0
2003176,1,0,35,-68.066,-59.981,1,1731.75,0
2003177,1,4.917,35,-68.025,-59.936,1,1704.72,0
2003178,1,0,35,-68.025,-59.936,1,1677.64,0
2003179,1,0,35,-68.025,-59.936,1,1657.77,0
2003180,1,0,34,-68.025,-59.936,1,1629.12,0
2003181,1,14.985,33,-68.15,-60.073,0,1609.32,0
2003182,1,0,33,-68.15,-60.073,0,1589.85,0
2003183,1,0,33,-68.15,-60.073,0,1582.41,0
2003184,1,0,33,-68.15,-60.073,0,1577.67,0
2003185,1,0,33,-68.15,-60.073,0,1581.64,0
2003186,1,0,33,-68.15,-60.073,0,1606.22,0
2003187,1,0,33,-68.15,-60.073,0,1634.77,0
2003188,1,34.195,33,-67.846,-59.943,0,1675.01,0
2003189,1,0,33,-67.846,-59.943,0,1704.17,0
2003190,1,0,33,-67.846,-59.943,0,1745.55,0
2003191,1,4.456,33,-67.806,-59.948,0,1787.86,0
2003192,1,0,33,-67.806,-59.948,0,1851.05,0
2003193,1,3.358,33,-67.793,-60.021,0,1915.46,0
2003194,1,5.765,34,-67.747,-59.96,0,1983.83,0
2003195,1,5.765,33,-67.793,-60.021,0,2052.85,0
2003196,1,0,33,-67.793,-60.021,0,2123.45,0
2003197,1,0,33,-67.793,-60.021,0,0,0
2003198,1,0,33,-67.793,-60.021,0,0,0
2003199,1,0,33,-67.793,-60.021,0,0,0
2003200,1,0,33,-67.793,-60.021,0,0,0
2003201,1,0,33,-67.793,-60.021,0,0,0
2003202,1,0,33,-67.793,-60.021,0,0,0
2003203,1,0,33,-67.793,-60.021,0,0,0
2003204,1,5.381,33,-67.75,-59.965,0,0,0
2003205,1,4.305,33,-67.711,-59.972,0,0,0
2003206,1,0,33,-67.711,-59.972,0,0,0
2003207,1,0,33,-67.711,-59.972,0,0,0
2003208,1,0,33,-67.711,-59.972,0,0,0
2003209,1,0,33,-67.711,-59.972,0,0,0
2003210,1,6.107,33,-67.73,-59.836,0,0,0
2003211,1,0,33,-67.73,-59.836,0,0,0
2003212,1,3.077,33,-67.707,-59.797,0,0,0
2003213,1,3.227,33,-67.689,-59.856,0,0,0
2003214,1,0,33,-67.689,-59.856,0,0,0
2003215,1,0,33,-67.689,-59.856,0,0,0
2003216,1,0,33,-67.689,-59.856,0,0,0
2003217,1,9.069,33,-67.617,-59.753,0,0,0
2003218,1,5.38,33,-67.575,-59.691,0,0,0
2003219,1,0,33,-67.575,-59.691,0,0,0
2003220,1,0,33,-67.575,-59.691,0,0,0
2003221,1,0,33,-67.575,-59.691,0,0,0
2003222,1,12.25,34,-67.468,-59.771,0,0,0
2003223,1,7.698,33,-67.537,-59.742,0,0,0
2003224,1,1.902,33,-67.522,-59.764,0,0,0
2003225,1,3.45,33,-67.506,-59.834,0,0,0
2003226,1,5.244,33,-67.468,-59.907,0,0,0
2003227,1,0,33,-67.468,-59.907,0,0,0
2003228,1,0,33,-67.468,-59.907,0,0,0
2003229,1,4.299,33,-67.432,-59.871,0,0,0
2003230,1,5.614,33,-67.384,-59.914,0,0,0
2003231,1,3.375,33,-67.362,-59.969,0,0,0
2003232,1,0,33,-67.362,-59.969,0,0,0
2003233,1,0,33,-67.362,-59.969,0,0,0
2003234,1,0,33,-67.362,-59.969,0,0,0
2003235,1,6.203,33,-67.319,-59.878,0,0,0
2003236,1,5.326,33,-67.275,-59.825,0,0,0
2003237,1,0,33,-67.275,-59.825,0,0,0
2003238,1,0,33,-67.275,-59.825,0,0,0
2003239,1,0,33,-67.275,-59.825,0,0,0
2003240,1,0,33,-67.275,-59.825,0,0,0
2003241,1,0,33,-67.275,-59.825,0,2194.51,0
2003242,1,0,33,-67.275,-59.825,0,2267,0
2003243,1,4.207,34,-67.238,-59.812,0,2339.95,0
2003244,1,4.207,33,-67.275,-59.825,0,2414.16,0
2003245,1,0,33,-67.275,-59.825,0,2488.67,0
2003246,1,0,33,-67.275,-59.825,0,2564.31,0
2003247,1,0,33,-67.275,-59.825,0,2639.99,0
2003248,1,0.291,33,-67.273,-59.826,0,2716.6,0
2003249,1,0.739,33,-67.266,-59.828,0,2793.25,0
2003250,1,0.953,33,-67.258,-59.831,0,2870.52,0
2003251,1,0.959,33,-67.249,-59.835,0,2947.83,0
2003252,1,1.231,33,-67.239,-59.844,0,3025.27,0
2003253,1,1.567,33,-67.226,-59.859,0,3102.75,0
2003254,1,1.347,33,-67.215,-59.873,0,3158.11,0
2003255,1,0.574,33,-67.21,-59.879,0,3202.37,0
2003256,1,0,33,-67.21,-59.879,0,3246.74,0
2003257,1,1.787,34,-67.205,-59.839,0,3280.03,0
2003258,1,1.787,33,-67.21,-59.879,0,3313.41,0
2003259,1,0,33,-67.21,-59.879,0,3335.67,0
2003260,1,0,33,-67.21,-59.879,0,3357.92,0
2003261,1,0,33,-67.21,-59.879,0,3369.05,0
2003262,1,0,33,-67.21,-59.879,0,3308.62,0
2003263,1,0,33,-67.21,-59.879,0,3237.06,0
2003264,1,0,33,-67.21,-59.879,0,3169.04,0
2003265,1,0,33,-67.21,-59.879,0,3101.02,0
2003266,1,0,33,-67.21,-59.879,0,3036.54,0
2003267,1,0,33,-67.21,-59.879,0,2972.06,0
2003268,1,0,33,-67.21,-59.879,0,2911.12,0
2003269,1,0,33,-67.21,-59.879,0,2850.19,0
2003270,1,0,33,-67.21,-59.879,0,2792.79,0
2003271,1,0,33,-67.21,-59.879,0,2735.39,0
2003272,1,0,33,-67.21,-59.879,0,2681.53,0
2003273,1,0,33,-67.21,-59.879,0,2627.68,0
2003274,1,11.415,33,-67.115,-59.776,0,0,0
2003275,1,0,33,-67.115,-59.776,0,0,0
2003276,1,0,33,-67.115,-59.776,0,0,0
2003277,1,0,33,-67.115,-59.776,0,0,0
2003278,1,0,33,-67.115,-59.776,0,0,0
2003279,1,0,33,-67.115,-59.776,0,0,0
2003280,1,0,33,-67.115,-59.776,0,0,0
2003281,1,0,33,-67.115,-59.776,0,0,0
2003282,1,0,33,-67.115,-59.776,0,0,0
2003283,1,0,33,-67.115,-59.776,0,0,0
2003284,1,0,33,-67.115,-59.776,0,0,0
2003285,1,0,33,-67.115,-59.776,0,0,0
2003286,1,0,33,-67.115,-59.776,0,0,0
2003287,1,0,33,-67.115,-59.776,0,2577.36,0
2003288,1,0,33,-67.115,-59.776,0,2527.04,0
2003289,1,7.456,33,-67.14,-59.615,0,2480.27,0
2003290,1,0,33,-67.14,-59.615,0,2433.49,0
2003291,1,0,33,-67.14,-59.615,0,2386.71,0
2003292,1,0,33,-67.14,-59.615,0,2339.94,0
2003293,1,0,33,-67.14,-59.615,0,2293.16,0
