date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2001273,0,0,3,-68.4,-56.9,0,1772.41,0
2001276,3,7.876,17,-68.331,-56.852,1,1795.83,0
2001277,1,0,17,-68.331,-56.852,1,1819.26,0
2001278,1,12.437,17,-68.263,-56.612,1,1842.68,0
2001279,1,0,17,-68.263,-56.612,1,1866.1,0
2001280,1,4.677,17,-68.245,-56.508,1,1889.53,0
2001281,1,0,17,-68.245,-56.508,1,1912.95,0
2001282,1,14.847,17,-68.176,-56.201,1,1936.38,0
2001283,1,9.988,17,-68.093,-56.103,1,1959.8,0
2001284,1,5.915,17,-68.066,-55.98,1,1979.32,0
2001285,1,11.126,17,-67.975,-55.869,1,1998.06,0
2001286,1,7.217,17,-67.992,-55.702,1,2016.78,0
2001287,1,4.818,17,-67.955,-55.641,1,2034.45,0
2001288,1,0,17,-67.955,-55.641,1,2055.91,0
2001289,1,26.381,17,-67.72,-55.537,1,2079.03,0
2001290,1,35.573,17,-68.011,-55.892,1,2099.66,0
2001291,1,25.03,17,-67.829,-55.541,1,2119.83,0
2001292,1,0,17,-67.829,-55.541,1,2156.49,0
2001293,1,0,17,-67.829,-55.541,1,2180.57,0
2001294,1,3.987,17,-67.855,-55.476,1,2202.66,0
2001295,1,0,17,-67.855,-55.476,1,2222.68,0
2001296,1,16.673,17,-67.711,-55.59,1,2242.65,0
2001297,1,9.596,17,-67.638,-55.712,1,2265.32,-0.0094
2001298,1,13.082,17,-67.522,-55.654,1,2282.23,0.0063
2001299,1,7.458,17,-67.458,-55.701,1,2303.91,0.0414
2001300,1,0,17,-67.458,-55.701,1,2325.59,0.0319
2001301,1,16.035,18,-67.315,-55.636,1,2347.27,-0.0172
2001302,1,24.203,17,-67.105,-55.486,1,2368.94,-0.092
2001303,1,0,17,-67.105,-55.486,1,2390.62,-0.1842
2001304,1,0,17,-67.105,-55.486,1,2412.3,-0.2287
2001305,1,0,17,-67.105,-55.486,1,2433.98,-0.1854
2002013,73,66.133,3,-67.7,-55.4,0,2455.66,-0.0141
