date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2001273,0,0,3,-70.1,-57.5,0,1913.56,0.0114
2001276,3,16.54,17,-70.001,-57.828,1,1944.62,0.0026
2001277,1,0,17,-70.001,-57.828,1,1975.69,-0.0546
2001278,1,0,17,-70.001,-57.828,1,2006.75,-0.1326
2001279,1,0,17,-70.001,-57.828,1,2037.81,-0.2038
2001280,1,0,17,-70.001,-57.828,1,2068.88,-0.1764
2001281,1,0,17,-70.001,-57.828,1,2099.94,-0.1706
2001282,1,0,17,-70.001,-57.828,1,2131,-0.12
2001283,1,0,17,-70.001,-57.828,1,2162.07,-0.0514
2001284,1,0,17,-70.001,-57.828,1,2193.13,-0.0417
2001285,1,0,17,-70.001,-57.828,1,2224.2,-0.0584
2001286,1,0,17,-70.001,-57.828,1,2255.26,0.0103
2001287,1,0,17,-70.001,-57.828,1,2286.32,-0.0331
2001288,1,0,17,-70.001,-57.828,1,2296.94,0.0211
2001289,1,0,17,-70.001,-57.828,1,2310.59,0
2001290,1,0,17,-70.001,-57.828,1,2326.94,-0.0045
2001291,1,19.678,17,-70.163,-57.612,1,2344.19,-0.0015
2001292,1,0,17,-70.163,-57.612,1,2348.38,0.0069
2001293,1,0,17,-70.163,-57.612,1,2349.41,0.0185
2001294,1,0,17,-70.163,-57.612,1,2357.55,0.0358
2001295,1,0,17,-70.163,-57.612,1,2362.46,0.0444
2001296,1,0,17,-70.163,-57.612,1,2353.87,0.0444
2001297,1,0,17,-70.163,-57.612,1,2354.75,0.0358
2001298,1,11.667,17,-70.076,-57.437,1,2354.37,0.0185
2001299,1,0,17,-70.076,-57.437,1,2338.17,0.0069
2001300,1,9.701,17,-70.034,-57.662,1,2325.91,-0.0015
2001301,1,0,17,-70.034,-57.662,1,2314.24,-0.0045
2001302,1,0,17,-70.034,-57.662,1,2319.67,0
2001303,1,0,17,-70.034,-57.662,1,2309.32,0
2001304,1,0,17,-70.034,-57.662,1,2322.7,0
2001305,1,0,17,-70.034,-57.662,1,2315.95,0
2001306,1,0,17,-70.034,-57.662,1,2316.29,0
2001307,1,15.732,17,-70.174,-57.595,1,2298.84,0
2001308,1,0,17,-70.174,-57.595,1,2286.8,0
2001309,1,0,17,-70.174,-57.595,1,2280.31,0
2001310,1,0,17,-70.174,-57.595,1,2282.76,0
2001311,1,0,17,-70.174,-57.595,1,2284.92,0
2001312,1,0,17,-70.174,-57.595,1,2287.72,0
2001313,1,0,17,-70.174,-57.595,1,2307.24,0.0051
2001314,1,0,17,-70.174,-57.595,1,2331.82,-0.0034
2001315,1,8.542,17,-70.165,-57.82,1,2359.02,-0.0094
2001316,1,0,17,-70.165,-57.82,1,2386.1,-0.013
2001317,1,0,17,-70.165,-57.82,1,2413.71,-0.0142
2001318,1,0,17,-70.165,-57.82,1,2443.92,-0.013
2001319,1,0,17,-70.165,-57.82,1,2473.46,-0.0094
2001320,1,0,17,-70.165,-57.82,1,2503.61,-0.0042
2001321,1,0,17,-70.165,-57.82,1,2545.67,0.0048
2001322,1,0,17,-70.165,-57.82,1,2573.4,-0.0035
2001323,1,0,17,-70.165,-57.82,1,2602.64,0.0017
2001324,1,0,17,-70.165,-57.82,1,2646.45,0.0134
2001325,1,0,17,-70.165,-57.82,1,2689.34,0.1152
2001326,1,10.062,17,-70.075,-57.794,1,2732.38,-0.0927
2001327,1,0,17,-70.075,-57.794,1,2757.28,-0.0685
2001328,1,0,17,-70.075,-57.794,1,2797.96,-0.08
2001329,1,0,17,-70.075,-57.794,1,2833.23,0.0063
2001330,1,0,17,-70.075,-57.794,1,2869.48,0.4006
2001331,1,0,17,-70.075,-57.794,1,2890.62,0.533
2001332,1,0,17,-70.075,-57.794,1,2927.98,0.4079
2001333,1,0,17,-70.075,-57.794,1,2958.4,0.2159
2001334,1,0,17,-70.075,-57.794,1,2980.38,0.0094
2001335,1,0,17,-70.075,-57.794,1,2993.63,0.0305
2001336,1,6.935,18,-70.037,-57.647,1,3007.04,-0.0454
2001337,1,0.373,19,-70.04,-57.641,1,3017.76,0.0458
2001338,1,0.982,19,-70.047,-57.626,1,3027.25,0.3475
2001339,1,1.375,19,-70.057,-57.604,1,3032.39,0.2788
2001340,1,1.548,19,-70.068,-57.577,1,3033.4,0.087
2001341,1,1.529,19,-70.078,-57.549,1,3031.77,-0.0591
2001342,1,1.313,19,-70.085,-57.521,1,3027.5,-0.0761
2001343,1,0.966,18,-70.087,-57.497,1,3017.91,-0.1125
2001344,1,11.308,17,-70.075,-57.794,1,3006.58,-0.3748
2001345,1,0,17,-70.075,-57.794,1,2991.86,-0.6499
2001346,1,0,17,-70.075,-57.794,1,2984.17,-0.7556
