date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2001336,0,0,3,-69.4,-57.9,0,0,0
2001337,1,2.098,3,-69.419,-57.9,0,0,0
2001338,1,2.164,3,-69.438,-57.9,0,0,0
2001339,1,2.087,3,-69.457,-57.9,0,0,0
2001340,1,1.865,3,-69.474,-57.9,0,0,0
2001341,1,1.509,3,-69.488,-57.9,0,0,0
2001342,1,1.01,3,-69.497,-57.9,0,0,0
2001343,1,0.366,3,-69.5,-57.9,0,0,0
2002003,2,6250.391,3,-69.4,-58.4,0,0,0
2003033,395,245.658,3,-67.3,-60.3,0,0,0
2003034,1,1.322,3,-67.311,-60.311,0,0,0
2003035,1,3.242,3,-67.34,-60.327,0,0,0
2003036,1,4.393,3,-67.379,-60.344,0,0,0
2003037,1,4.791,3,-67.421,-60.362,0,0,0
2003038,1,4.386,3,-67.46,-60.379,0,0,0
2003039,1,3.225,3,-67.489,-60.392,0,0,0
2003040,1,1.279,3,-67.5,-60.4,0,0,0
2003082,42,4.248,3,-67.5,-60.5,0,0,0
2003096,14,5.55,3,-67.55,-60.5,0,0,0
2003117,21,6.981,3,-67.6,-60.6,0,0,0
2003159,42,8.46,3,-67.6,-60.4,0,0,0
2003160,1,0.611,3,-67.595,-60.4,0,0,0
2003161,1,1.587,3,-67.58,-60.4,0,2096.91,0
2003162,1,2.176,3,-67.561,-60.4,0,2068.66,0
2003163,1,2.353,3,-67.539,-60.4,0,2040.42,0
2003164,1,2.176,3,-67.52,-60.4,0,2012.17,0
2003165,1,1.587,3,-67.506,-60.4,0,1983.92,0
2003166,1,0.611,3,-67.5,-60.4,0,1955.68,0
2003167,1,0.187,3,-67.5,-60.396,0,1927.43,0
2003168,1,0.488,3,-67.5,-60.384,0,1899.19,0
2003169,1,0.701,3,-67.5,-60.368,0,1870.94,0
2003170,1,0.803,3,-67.5,-60.349,0,1842.69,0
2003171,1,0.816,3,-67.5,-60.33,0,1814.45,0
2003172,1,0.722,3,-67.5,-60.313,0,1786.2,0
2003173,1,0.531,3,-67.5,-60.3,0,1757.96,0
2003222,49,35.684,3,-67.2,-60,0,1735.02,0
2003299,77,37.532,3,-66.9,-59.6,0,1713.79,0
2004074,140,45.274,3,-66.6,-58.9,1,1692.56,0
2004351,277,521.035,17,-62.768,-52.524,1,1671.37,0
2004352,1,0,17,-62.768,-52.524,2,1663.1,0
2004353,1,9.132,17,-62.775,-52.703,2,1654.87,0
2004354,1,16.255,17,-62.694,-52.97,2,1646.66,0
2004355,1,0,17,-62.694,-52.97,2,1638.47,0
2004356,1,11.14,17,-62.629,-53.136,2,1643.21,0
2004357,1,0,17,-62.629,-53.136,2,1647.98,0
2004358,1,0,17,-62.629,-53.136,2,1650.53,0
2004359,1,0,17,-62.629,-53.136,2,1655.33,0
2004360,1,4.291,17,-62.595,-53.178,2,1663.75,0
2004361,1,4.292,17,-62.562,-53.22,2,1672.19,0
2004362,1,0,17,-62.562,-53.22,2,1682.53,0
2004363,1,11.954,17,-62.466,-53.327,2,1692.87,0
2004364,1,0,17,-62.466,-53.327,1,1701.56,0
2004365,1,0,17,-62.466,-53.327,2,1710.3,0
2004366,1,13.429,17,-62.345,-53.335,2,1717.29,0
2005001,1,8.532,17,-62.269,-53.358,2,1724.37,0
2005002,1,11.407,17,-62.167,-53.335,2,1729.69,0
2005003,1,0,17,-62.167,-53.335,2,1735.01,0
2005004,1,0,17,-62.167,-53.335,2,1738.68,0
2005005,1,0,17,-62.167,-53.335,2,1742.17,0
2005006,1,0,17,-62.167,-53.335,2,1744.25,0
2005007,1,28.815,17,-61.996,-52.919,2,1746.22,0
2005008,1,27.935,17,-61.842,-52.496,2,1746.48,0
2005009,1,0,17,-61.842,-52.496,2,1746.07,0
2005010,1,26.247,17,-61.671,-52.151,2,1746.09,0
2005011,1,0,17,-61.671,-52.151,2,1745.3,0
2005012,1,29.166,17,-61.687,-51.598,2,1744.22,0
2005013,1,0,17,-61.687,-51.598,2,1744.31,0
2005014,1,22.545,17,-61.521,-51.352,2,1744.16,0
2005015,1,18.66,17,-61.377,-51.171,2,1743.67,0
2005016,1,20.985,17,-61.188,-51.169,2,1741.35,0
2005017,1,17.204,17,-61.085,-51.409,2,1738.61,0
2005018,1,12.767,17,-61.04,-51.628,2,1737.69,0
2005019,1,20.572,17,-61.014,-52.007,2,1737.07,0
2005020,1,10.354,17,-61.029,-52.197,2,1732.82,0
2005021,1,16.71,17,-61.049,-52.505,2,1728,0
2005022,1,20.763,17,-61.091,-52.881,2,1722.58,0
2005023,1,30.688,18,-61.159,-53.436,2,1716.47,0
2005024,1,2.466,17,-61.177,-53.463,2,1709.47,0
2005025,1,0,17,-61.177,-53.463,2,1701.85,0
2005026,1,20.475,17,-61.128,-53.831,2,1693.28,0
2005027,1,13.124,17,-61.037,-53.675,2,1680.15,0
2005028,1,15.236,17,-60.984,-53.415,2,1669.74,0
2005029,1,30.787,17,-60.834,-52.934,2,1658.4,0
2005030,1,22.554,17,-60.713,-52.6,2,1644.43,0
2005031,1,11.308,17,-60.651,-52.436,2,1632.68,0
2005032,1,0,17,-60.651,-52.436,2,1618.43,0
2005033,1,20.091,17,-60.493,-52.256,2,1602.99,0
2005034,1,11.36,17,-60.442,-52.435,2,1587.19,0
2005035,1,0,17,-60.442,-52.435,2,1569.87,0
2005036,1,17.096,17,-60.346,-52.681,2,1551.48,0
2005037,1,0,17,-60.346,-52.681,2,1533.47,0
2005038,1,15.57,17,-60.282,-52.429,2,1513.8,0
2005039,1,0,17,-60.282,-52.429,2,1493.74,0
2005040,1,25.139,17,-60.223,-51.988,2,1473.99,0
2005041,1,25.175,17,-60.165,-51.548,2,1454.05,0
2005042,1,0,17,-60.165,-51.548,2,1435.86,0
2005043,1,66.972,17,-59.731,-50.711,2,1415.36,0
2005044,1,95.373,19,-58.873,-50.646,1,1392.27,0
2005045,1,10.125,17,-58.939,-50.524,2,1374.44,0
2005046,1,34.061,17,-58.634,-50.585,2,1351.71,0
2005047,1,31.568,17,-58.364,-50.756,2,1331.54,0
2005048,1,45.964,17,-58.06,-50.225,2,1311.95,0
2005049,1,34.119,17,-58.046,-49.645,2,1290.46,0
2005050,1,24.406,17,-57.894,-49.345,2,1269.58,0
2005051,1,30.408,17,-57.685,-49.013,2,1250.89,0
2005052,1,53.085,17,-57.572,-48.146,2,1236.72,0
2005053,1,36.843,17,-57.24,-48.135,2,1218.69,0
2005054,1,54.576,17,-57.236,-47.227,2,1201.86,0
2005055,1,41.564,17,-56.879,-47.016,2,1187.59,0
2005056,1,67.524,17,-57.449,-46.625,2,1170.55,0
2005057,1,15.654,17,-57.374,-46.404,2,1155.84,0
2005058,1,33.112,17,-57.226,-45.925,2,1140.49,0
2005059,1,27.863,17,-57.031,-45.633,2,1127.53,0
2005060,1,36.99,17,-56.808,-45.181,2,1115.34,0
2005061,1,17.158,17,-56.654,-45.209,2,1104.9,0
2005062,1,9.854,17,-56.568,-45.166,2,1094.05,0
2005063,1,26.367,17,-56.364,-45.384,2,1083.52,0
2005064,1,14.275,17,-56.249,-45.489,2,1072.67,0
2005065,1,26.012,17,-56.079,-45.778,2,1062.31,0
2005066,1,0,17,-56.079,-45.778,2,1053,0
2005067,1,12.414,17,-55.968,-45.802,2,1042.53,0
2005068,1,20.91,17,-55.783,-45.861,2,1032.49,0
2005069,1,19.802,17,-55.634,-46.036,2,1024.87,0
2005070,1,17.505,17,-55.477,-46.046,2,1018.17,0
2005071,1,22.15,17,-55.28,-46.104,2,1011.48,0
2005072,1,15.339,17,-55.142,-46.105,2,1004.78,0
2005073,1,0,17,-55.142,-46.105,2,998.09,0
2005074,1,18.299,17,-55.01,-45.933,2,991.39,0
2005075,1,37.481,17,-54.991,-45.345,2,984.7,0
2005076,1,42.158,17,-54.856,-44.728,2,978,0
2005077,1,37.858,17,-54.708,-44.196,2,971.31,0
2005078,1,23.868,17,-54.547,-43.948,2,964.61,0
2005079,1,35.421,17,-54.231,-43.876,2,957.92,0
2005080,1,31.284,17,-53.99,-44.123,2,951.22,0
2005081,1,40.509,17,-53.73,-44.558,2,944.53,0
