date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2007329,0,0,3,-63.93,-52.43,0,0,0
2007343,14,88.176,3,-63.22,-51.63,0,0,0
2007344,1,6.384,3,-63.168,-51.683,0,0,0
2007345,1,9.189,3,-63.115,-51.824,0,0,0
2007346,1,11.686,3,-63.061,-52.024,0,0,0
2007347,1,13.13,3,-63.008,-52.257,0,0,0
2007348,1,13.333,3,-62.955,-52.494,0,0,0
2007349,1,12.281,3,-62.902,-52.707,0,0,0
2007350,1,10.047,3,-62.85,-52.87,0,0,0
2007351,1,9.046,3,-62.795,-53.002,0,0,0
2007352,1,9.485,3,-62.736,-53.137,0,2328.31,0
2007353,1,9.368,3,-62.676,-53.266,0,2310.12,0
2007354,1,8.687,3,-62.619,-53.383,0,2291.94,0
2007355,1,7.435,3,-62.568,-53.477,0,2273.75,0
2007356,1,5.623,3,-62.527,-53.543,0,2255.57,0
2007357,1,3.353,3,-62.5,-53.57,0,2237.38,0
2007358,1,1.916,3,-62.483,-53.575,0,2219.19,0
2007359,1,1.478,3,-62.47,-53.579,0,2201.01,0
2007360,1,1.14,3,-62.46,-53.581,0,2182.82,0
2007361,1,0.926,3,-62.451,-53.583,0,2164.63,0
2007362,1,0.792,3,-62.444,-53.585,0,2146.45,0
2007363,1,0.792,3,-62.437,-53.586,0,2128.26,0
2007364,1,0.892,3,-62.429,-53.588,0,2110.07,0
2007365,1,1.105,3,-62.419,-53.59,0,2092.28,0
2008001,1,2.28,3,-62.399,-53.595,0,2084.11,0
2008002,1,2.093,3,-62.38,-53.6,1,2076.19,0
2008003,1,2.553,19,-62.357,-53.607,1,2056.33,0
2008004,1,3.727,19,-62.325,-53.628,2,2035.62,0
2008005,1,7.991,19,-62.27,-53.727,2,2015.47,0
2008006,1,3.147,18,-62.242,-53.736,2,2004.69,0
2008007,1,2.422,19,-62.222,-53.717,2,1984.17,0
2008008,1,3.25,19,-62.204,-53.668,2,1974.72,0
2008009,1,10.986,19,-62.119,-53.559,2,1964.09,0
2008010,1,4.841,19,-62.104,-53.472,2,1953.08,0
2008011,1,8.944,19,-62.068,-53.318,2,1932.9,0
2008012,1,5.051,19,-62.053,-53.226,2,1912.4,0
2008013,1,5.152,18,-62.034,-53.136,2,1890,0
2008014,1,15.327,19,-61.958,-52.89,2,1868.7,0
2008015,1,7.907,19,-61.921,-52.76,2,1841.76,0
2008016,1,8.936,19,-61.912,-52.591,2,1813.62,0
2008017,1,12.202,19,-61.844,-52.408,2,1785.02,0
2008018,1,14.858,19,-61.796,-52.143,2,1765.53,0
2008019,1,9.725,19,-61.752,-51.983,2,1741.69,0
2008020,1,15.165,18,-61.695,-51.721,2,1722.93,0
2008021,1,5.696,19,-61.665,-51.634,2,1705.34,0
2008022,1,13.879,19,-61.592,-51.419,2,1681.02,0
2008023,1,13.365,19,-61.513,-51.23,2,1659.26,0
2008024,1,17.009,19,-61.397,-51.021,2,1642.07,0
2008025,1,12.309,19,-61.32,-50.854,2,1621.2,0
2008026,1,12.595,19,-61.226,-50.721,2,1589.96,0
2008027,1,3.155,18,-61.199,-50.7,2,1562.54,0
2008028,1,4.538,19,-61.159,-50.698,2,1547.46,0
2008029,1,4.429,19,-61.122,-50.665,2,1533.02,0
2008030,1,3.639,19,-61.09,-50.65,2,1518.78,0
2008031,1,2.625,19,-61.067,-50.656,2,1495.42,0
2008032,1,4.578,19,-61.026,-50.647,2,1483.22,0
2008033,1,5.633,19,-60.977,-50.675,2,1459.16,0
2008034,1,1.881,18,-60.974,-50.709,2,1437.35,0
2008035,1,8.823,19,-60.945,-50.862,2,1416.67,0
2008036,1,9.077,19,-60.962,-51.026,2,1406.4,0
2008037,1,3.236,19,-60.972,-51.082,2,1396.77,0
2008038,1,3.409,19,-60.983,-51.142,2,1389.8,0
2008039,1,9.664,19,-61.03,-51.293,2,1383.07,0
2008040,1,8.553,19,-61.026,-51.451,2,1382.58,0
2008041,1,2.498,18,-61.029,-51.498,2,1383.71,0
2008042,1,2.36,19,-61.025,-51.541,2,1385.8,0
2008043,1,2.736,19,-61.013,-51.586,2,1379.36,0
2008044,1,9.246,19,-60.986,-51.748,2,1378.51,0
2008045,1,6.163,19,-60.969,-51.857,2,1373.02,0
2008046,1,5.806,19,-60.945,-51.953,2,1367.09,0
2008047,1,6.312,19,-60.908,-52.042,2,1370.43,0.0067
2008048,1,5.705,18,-60.871,-52.114,2,1372.29,-0.0127
2008049,1,3.266,19,-60.843,-52.132,2,1369.35,-0.007
2008050,1,6.305,19,-60.797,-52.064,2,1370.64,-0.0027
2008051,1,11.128,19,-60.73,-51.911,2,1372.41,0.0027
2008052,1,14.785,19,-60.654,-51.687,2,1369.52,0.0071
2008053,1,13.088,19,-60.592,-51.483,2,1366.38,0.0104
2008054,1,20.666,19,-60.479,-51.182,2,1363.73,0.0127
2008055,1,15.113,18,-60.394,-50.966,2,1358.23,0.0139
2008056,1,15.795,19,-60.307,-50.739,2,1354.33,-0.0069
2008057,1,13.066,19,-60.257,-50.524,2,1346.85,0.0005
2008058,1,13.422,19,-60.239,-50.283,2,1340.93,-0.0007
