date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2005037,0,0,2,-67.02,-60.43,-0,1410.9,0
2005038,1,0.704,3,-67.016,-60.417,0,1408.26,0
2005039,1,0.701,3,-67.012,-60.405,1,1405.63,0
2005040,1,0.67,3,-67.008,-60.393,1,1403,0
2005041,1,0.622,3,-67.005,-60.381,1,1400.37,0
2005042,1,0.567,3,-67.002,-60.37,1,1397.73,0
2005043,1,0.489,3,-67.001,-60.36,1,1395.1,0
2005044,1,0.417,2,-67,-60.35,1,1392.47,0
2005058,14,4.337,2,-67,-60.25,1,1389.83,0
2005072,14,16.637,2,-66.98,-59.87,1,1387.2,0
2005086,14,4.813,2,-66.95,-59.95,1,1384.57,0
2005107,21,8.567,2,-66.9,-59.8,1,1381.94,0
2005142,35,0,2,-66.9,-59.8,1,1379.3,0
2005143,1,0,3,-66.9,-59.8,1,1377.42,0
2005144,1,0,3,-66.9,-59.8,1,1374.5,0
2005145,1,0,3,-66.9,-59.8,1,1372.94,0
2005146,1,0,3,-66.9,-59.8,1,1370.66,0
2005147,1,0,3,-66.9,-59.8,1,1368.24,0
2005148,1,0,3,-66.9,-59.8,1,1365.75,0
2005149,1,0,2,-66.9,-59.8,1,1364.47,0
2005150,1,0,3,-66.9,-59.8,1,1363.03,0
2005151,1,0,3,-66.9,-59.8,1,1366.12,0
2005152,1,0,3,-66.9,-59.8,1,1371.77,0
2005153,1,0,3,-66.9,-59.8,1,1380.32,0
2005154,1,0,3,-66.9,-59.8,1,1391.99,0
2005155,1,0,3,-66.9,-59.8,1,1409.4,0
2005156,1,0,2,-66.9,-59.8,1,1430.16,0
2005157,1,0.335,3,-66.9,-59.792,1,1457.61,0
2005158,1,0.871,3,-66.9,-59.772,1,1489.84,0
2005159,1,1.202,3,-66.9,-59.745,1,1535.61,0
2005160,1,1.337,3,-66.9,-59.714,1,1586.76,0
2005161,1,1.267,3,-66.9,-59.685,1,1652.92,0
2005162,1,0.997,3,-66.9,-59.662,1,1722.73,0
2005163,1,0.523,2,-66.9,-59.65,1,1795.37,0
2005164,1,0.242,3,-66.901,-59.645,1,1874.85,0
2005165,1,0.372,3,-66.904,-59.641,1,1956.74,0
2005166,1,0.462,3,-66.908,-59.637,1,2041.84,0
2005167,1,0.484,3,-66.912,-59.634,1,2126.95,0
2005168,1,0.444,3,-66.916,-59.632,1,2213.69,0
2005169,1,0.328,3,-66.919,-59.631,1,2301.31,0
2005170,1,0.124,2,-66.92,-59.63,1,2389.4,0
2005184,14,0,2,-66.92,-59.63,1,2477.59,0
2005198,14,4.77,2,-66.88,-59.67,1,2565.83,0
2005219,21,10.984,2,-66.85,-59.43,1,2654.21,0
2005220,1,0,3,-66.85,-59.43,1,2742.18,0
2005221,1,0,3,-66.85,-59.43,1,2829.29,0
2005222,1,0,3,-66.85,-59.43,1,2910.09,0
2005223,1,0,3,-66.85,-59.43,1,2994.94,0
2005224,1,0,3,-66.85,-59.43,1,3068.06,0
2005225,1,0,3,-66.85,-59.43,1,3137.84,0
2005226,1,0,2,-66.85,-59.43,1,3210.15,0
2005227,1,0.833,3,-66.843,-59.425,1,3268.9,0
2005228,1,2.156,3,-66.824,-59.41,1,3319.8,0
2005229,1,2.958,3,-66.799,-59.39,1,3364.83,0
2005230,1,3.239,3,-66.771,-59.366,1,3397.2,0
2005231,1,3.022,3,-66.746,-59.341,1,3421.08,0
2005232,1,2.296,3,-66.727,-59.318,1,3429.73,0
2005233,1,1.13,2,-66.72,-59.3,1,3432.78,0
2005247,14,7.458,2,-66.72,-59.13,1,3432.14,0
2005248,1,0.219,3,-66.72,-59.135,1,3429.56,0
2005249,1,0.562,3,-66.72,-59.148,1,3419.94,0
2005250,1,0.772,3,-66.72,-59.165,1,3409.47,0
2005251,1,0.842,3,-66.72,-59.185,1,3394.48,0
2005252,1,0.772,3,-66.72,-59.202,1,3377.36,0
2005253,1,0.562,3,-66.72,-59.215,1,3359.54,0
2005254,1,0.219,2,-66.72,-59.22,1,3339.97,0
2005255,1,0.575,3,-66.715,-59.215,1,3319.58,0
