date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
1983009,0,0,2,-73.9,-130.9,0,0,0
1983044,35,11.514,2,-74,-131,0,0,0
1983058,14,62.142,2,-73.7,-132.7,0,0,0
1983247,189,653.352,2,-75.5,-154,0,0,0
1983248,1,3.723,3,-75.5,-154.134,0,0,0
1983249,1,4.312,3,-75.5,-154.289,0,0,0
1983250,1,4.479,3,-75.5,-154.45,0,0,0
1983251,1,4.22,3,-75.5,-154.602,0,0,0
1983252,1,3.543,3,-75.5,-154.73,0,0,0
1983253,1,2.434,3,-75.5,-154.817,0,0,0
1983254,1,0.906,2,-75.5,-154.85,0,0,0
1983268,14,22.576,2,-75.7,-154.7,0,0,0
1983310,42,141.935,2,-76.6,-158.5,0,0,0
1983338,28,35.107,2,-76.7,-159.8,0,0,0
1983339,1,3.733,3,-76.683,-159.927,0,0,0
1983340,1,6.898,3,-76.641,-160.122,0,0,0
1983341,1,8.806,3,-76.582,-160.353,0,0,0
1983342,1,9.324,3,-76.518,-160.588,0,0,0
1983343,1,8.439,3,-76.46,-160.796,0,0,0
1983344,1,6.12,3,-76.417,-160.944,0,0,0
1983345,1,2.357,2,-76.4,-161,0,0,0
1983359,14,0,2,-76.4,-161,0,0,0
1984029,35,11.097,2,-76.3,-161,0,0,0
1984057,28,0,2,-76.3,-161,0,0,0
1984071,14,0,2,-76.3,-161,0,0,0
1984127,56,23.533,2,-76.5,-161.3,0,0,0
1984155,28,0,2,-76.5,-161.3,0,0,0
1984176,21,282.72,2,-75.9,-171.7,0,0,0
1984190,14,0,2,-75.9,-171.7,0,0,0
1984191,1,4.941,3,-75.883,-171.532,0,0,0
1984192,1,12.875,3,-75.837,-171.096,0,0,0
1984193,1,17.889,3,-75.772,-170.494,0,0,0
1984194,1,19.97,3,-75.696,-169.831,0,0,0
1984195,1,19.091,3,-75.62,-169.209,0,0,0
1984196,1,15.238,3,-75.551,-168.731,0,0,0
1984197,1,8.563,2,-75.5,-168.5,0,0,0
1984211,14,46.567,2,-75.1,-168,0,0,0
1984225,14,125.588,2,-74,-169,0,0,0
1984226,1,3.918,3,-74,-169.128,0,0,0
1984227,1,5.234,3,-74,-169.299,0,0,0
1984228,1,5.852,3,-74,-169.491,0,0,0
1984229,1,5.769,3,-74,-169.679,0,0,0
1984230,1,4.986,3,-74,-169.842,0,0,0
1984231,1,3.505,3,-74,-169.957,0,0,0
1984232,1,1.324,2,-74,-170,0,0,0
1984260,28,201.826,2,-72.2,-169.1,0,0,0
1984337,77,213.263,2,-70.3,-170,0,0,0
1984338,1,2.851,3,-70.3,-170.076,0,0,0
1984339,1,5.646,3,-70.3,-170.227,0,0,0
1984340,1,7.266,3,-70.3,-170.421,0,0,0
1984341,1,7.703,3,-70.3,-170.627,0,0,0
1984342,1,6.963,3,-70.3,-170.813,0,0,0
1984343,1,5.043,3,-70.3,-170.948,0,0,0
1984344,1,1.942,2,-70.3,-171,0,0,0
1984358,14,22.514,2,-70.1,-170.9,0,0,0
1984359,1,1.563,3,-70.113,-170.917,0,0,0
1984360,1,4.126,3,-70.147,-170.96,0,0,0
1984361,1,5.838,3,-70.196,-171.018,0,0,0
1984362,1,6.713,3,-70.252,-171.082,0,0,0
1984363,1,6.728,3,-70.31,-171.141,0,0,0
1984364,1,5.936,3,-70.361,-171.183,0,0,0
1984365,1,4.362,2,-70.4,-171.2,0,0,0
1985013,14,36.43,2,-70.7,-170.8,0,0,0
1985055,42,49.494,2,-70.5,-169.6,0,0,0
1985125,70,211.511,2,-69,-173,0,0,0
1985146,21,80.279,2,-68.3,-173.5,0,0,0
1985167,21,28.728,2,-68.3,-172.8,0,0,0
1985223,56,165.057,2,-67,-170.9,0,0,0
1985237,14,4.337,2,-67,-171,0,0,0
1985251,14,91.497,2,-66.2,-171.5,0,0,0
1985321,70,348.507,2,-63.8,-166.7,0,0,0
1985363,42,266.827,2,-62,-163.2,0,0,0
