date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
1989225,0,0,3,-70.4,168.6,0,0,0
1989226,1,4.514,3,-70.374,168.508,0,0,0
1989227,1,4.184,3,-70.351,168.418,0,0,0
1989228,1,3.863,3,-70.333,168.33,0,0,0
1989229,1,3.577,3,-70.318,168.244,0,0,0
1989230,1,3.328,3,-70.308,168.161,0,0,0
1989231,1,3.125,3,-70.302,168.079,0,0,0
1989232,1,2.968,3,-70.3,168,0,0,0
1989233,1,2.729,3,-70.306,167.929,0,0,0
1989234,1,2.791,3,-70.32,167.868,0,0,0
1989235,1,3.057,3,-70.339,167.81,0,0,0
1989236,1,3.241,3,-70.361,167.75,0,0,0
1989237,1,3.329,3,-70.38,167.683,0,0,0
1989238,1,3.426,3,-70.395,167.601,0,0,0
1989239,1,3.817,3,-70.4,167.5,0,0,0
1989240,1,8.153,3,-70.356,167.326,0,0,0
1989241,1,16.25,3,-70.241,167.054,0,0,0
1989242,1,21.332,3,-70.085,166.725,0,0,0
1989243,1,23.073,3,-69.915,166.376,0,0,0
1989244,1,21.447,3,-69.759,166.046,0,0,0
1989245,1,16.436,3,-69.644,165.775,0,0,0
1989246,1,8.346,3,-69.6,165.6,0,0,0
1989247,1,4.053,3,-69.604,165.496,0,0,0
1989248,1,3.605,3,-69.614,165.407,0,0,0
1989249,1,3.354,3,-69.629,165.332,0,0,0
1989250,1,3.206,3,-69.647,165.266,0,0,0
1989251,1,3.092,3,-69.666,165.208,0,0,0
1989252,1,2.927,3,-69.684,165.153,0,0,0
1989253,1,2.712,3,-69.7,165.1,0,0,0
1989254,1,2.647,3,-69.716,165.049,0,0,0
1989255,1,2.715,3,-69.734,165.003,0,0,0
1989256,1,2.681,3,-69.753,164.959,0,0,0
1989257,1,2.513,3,-69.771,164.919,0,0,0
1989258,1,2.24,3,-69.786,164.879,0,0,0
1989259,1,1.882,3,-69.796,164.84,0,0,0
1989260,1,1.59,3,-69.8,164.8,0,0,0
1989281,21,45.41,3,-69.5,164,0,0,0
1989282,1,2.958,3,-69.5,163.924,0,0,0
1989283,1,3.868,3,-69.5,163.824,0,0,0
1989284,1,4.524,3,-69.5,163.708,0,0,0
1989285,1,4.937,3,-69.5,163.581,0,0,0
1989286,1,5.1,3,-69.5,163.45,0,0,0
1989287,1,5.022,3,-69.5,163.321,0,0,0
1989288,1,4.688,3,-69.5,163.2,0,0,0
1989289,1,4.867,3,-69.5,163.075,0,0,0
1989290,1,5.43,3,-69.5,162.935,0,0,0
1989291,1,5.57,3,-69.5,162.792,0,0,0
1989292,1,5.286,3,-69.5,162.656,0,0,0
1989293,1,4.583,3,-69.5,162.538,0,0,0
1989294,1,3.456,3,-69.5,162.449,0,0,0
1989295,1,1.905,3,-69.5,162.4,0,0,0
1989296,1,1.121,3,-69.495,162.376,0,0,0
1989297,1,1.794,3,-69.48,162.354,0,0,0
1989298,1,2.292,3,-69.461,162.336,0,0,0
1989299,1,2.425,3,-69.439,162.321,0,0,0
1989300,1,2.219,3,-69.42,162.31,0,0,0
1989301,1,1.611,3,-69.406,162.302,0,0,0
1989302,1,0.618,3,-69.4,162.3,0,0,0
1989303,1,0,3,-69.4,162.3,0,0,0
1989304,1,0,3,-69.4,162.3,0,0,0
1989305,1,0,3,-69.4,162.3,0,0,0
1989306,1,0,3,-69.4,162.3,0,0,0
1989307,1,0,3,-69.4,162.3,0,0,0
1989308,1,0,3,-69.4,162.3,0,0,0
1989309,1,0,3,-69.4,162.3,0,0,0
1989310,1,0.862,3,-69.395,162.284,0,0,0
1989311,1,2.277,3,-69.38,162.243,0,0,0
1989312,1,3.217,3,-69.361,162.182,0,0,0
1989313,1,3.668,3,-69.339,162.11,0,0,0
1989314,1,3.688,3,-69.32,162.034,0,0,0
1989315,1,3.256,3,-69.306,161.962,0,0,0
1989316,1,2.492,3,-69.3,161.9,0,0,0
1989330,14,32.034,3,-69.45,161.2,0,0,0
1989358,28,32.034,3,-69.3,160.5,0,0,0
1990007,14,22.198,3,-69.5,160.5,0,0,0
1990028,21,22.539,3,-69.3,160.4,0,0,0
1990029,1,0.216,3,-69.3,160.406,0,0,0
1990030,1,0.561,3,-69.3,160.42,0,0,0
1990031,1,0.769,3,-69.3,160.439,0,0,0
1990032,1,0.832,3,-69.3,160.461,0,0,0
1990033,1,0.769,3,-69.3,160.48,0,0,0
1990034,1,0.561,3,-69.3,160.495,0,0,0
1990035,1,0.216,3,-69.3,160.5,0,0,0
1990036,1,0,3,-69.3,160.5,0,0,0
1990037,1,0,3,-69.3,160.5,0,0,0
1990038,1,0,3,-69.3,160.5,0,0,0
1990039,1,0,3,-69.3,160.5,0,0,0
1990040,1,0,3,-69.3,160.5,0,0,0
1990041,1,0,3,-69.3,160.5,0,0,0
1990042,1,0,3,-69.3,160.5,0,0,0
1990063,21,84.31,3,-68.7,159.2,0,0,0
1990064,1,3.58,3,-68.706,159.113,0,0,0
1990065,1,4.587,3,-68.72,159.006,0,0,0
1990066,1,5.087,3,-68.739,158.892,0,0,0
1990067,1,4.998,3,-68.761,158.782,0,0,0
1990068,1,4.328,3,-68.78,158.689,0,0,0
1990069,1,3.041,3,-68.795,158.624,0,0,0
1990070,1,1.147,3,-68.8,158.6,0,0,0
1990071,1,0.363,3,-68.797,158.606,0,0,0
1990072,1,1.011,3,-68.79,158.62,0,0,0
1990073,1,1.528,3,-68.778,158.639,0,0,0
1990074,1,1.91,3,-68.763,158.661,0,0,0
1990075,1,2.21,3,-68.744,158.68,0,0,0
1990076,1,2.412,3,-68.723,158.695,0,0,0
1990077,1,2.562,3,-68.7,158.7,0,0,0
1990078,1,4.315,3,-68.661,158.687,0,0,0
1990079,1,7.138,3,-68.598,158.652,0,0,0
1990080,1,9.053,3,-68.519,158.599,0,0,0
1990081,1,10.071,3,-68.432,158.532,0,0,0
1990082,1,10.207,3,-68.344,158.457,0,0,0
1990083,1,9.452,3,-68.264,158.378,0,0,0
1990084,1,7.808,3,-68.2,158.3,0,0,0
1990085,1,6.62,3,-68.148,158.221,0,0,0
1990086,1,6.471,3,-68.1,158.133,0,0,0
1990087,1,6.458,3,-68.055,158.035,0,0,0
1990088,1,6.553,3,-68.012,157.925,0,0,0
1990089,1,6.8,3,-67.973,157.801,0,0,0
1990090,1,7.19,3,-67.935,157.66,0,0,0
1990091,1,7.721,3,-67.9,157.5,0,0,0
1990092,1,10.1,3,-67.864,157.278,0,0,0
1990093,1,13.492,3,-67.825,156.973,0,0,0
1990094,1,15.712,3,-67.788,156.611,0,0,0
1990095,1,16.693,3,-67.754,156.224,0,0,0
1990096,1,16.426,3,-67.726,155.841,0,0,0
1990097,1,14.929,3,-67.707,155.489,0,0,0
1990098,1,12.207,3,-67.7,155.2,0,0,0
1990099,1,10.416,3,-67.7,154.953,0,0,0
1990100,1,10.151,3,-67.7,154.712,0,0,0
1990101,1,9.645,3,-67.7,154.483,0,0,0
1990102,1,8.896,3,-67.7,154.272,0,0,0
1990103,1,7.918,3,-67.7,154.084,0,0,0
1990104,1,6.701,3,-67.7,153.924,0,0,0
1990105,1,5.24,3,-67.7,153.8,0,0,0
1990106,1,4.938,3,-67.679,153.697,0,0,0
1990107,1,7.323,3,-67.624,153.599,0,0,0
1990108,1,9.142,3,-67.549,153.511,0,0,0
1990109,1,9.768,3,-67.466,153.433,0,0,0
1990110,1,9.04,3,-67.389,153.371,0,0,0
1990111,1,6.905,3,-67.329,153.325,0,0,0
1990112,1,3.386,3,-67.3,153.3,0,0,0
1990252,140,65.416,3,-66.8,152.5,0,0,0
1990287,35,55.157,3,-66.6,151.35,0,0,0
1990329,42,60.658,3,-66.5,150,0,0,0
1990343,14,85.598,3,-65.8,149.2,0,0,0
1990344,1,3.768,3,-65.8,149.117,0,0,0
1990345,1,4.346,3,-65.8,149.022,0,0,0
1990346,1,4.737,3,-65.8,148.918,0,0,0
1990347,1,4.937,3,-65.8,148.809,0,0,0
1990348,1,4.937,3,-65.8,148.701,0,0,0
1990349,1,4.755,3,-65.8,148.596,0,0,0
1990350,1,4.373,3,-65.8,148.5,0,0,0
1991020,35,128.125,3,-65.7,145.7,0,0,0
1991055,35,180.169,3,-65.5,141.8,0,0,0
1991069,14,43.123,3,-65.3,141,0,0,0
1991083,14,55.504,3,-65.8,141,0,0,0
1991104,21,97.402,3,-65.5,139,0,0,0
1991146,42,267.921,3,-64.8,133.5,0,0,0
1991160,14,9.453,3,-64.8,133.3,0,0,0
1991244,84,78.955,3,-65.5,133.6,0,0,0
1991279,35,0,3,-65.5,133.6,0,0,0
1991293,14,0,3,-65.5,133.6,0,0,0
1991294,1,0,3,-65.5,133.6,0,0,0
1991295,1,0,3,-65.5,133.6,0,0,0
1991296,1,0,3,-65.5,133.6,0,0,0
1991297,1,0,3,-65.5,133.6,0,0,0
1991298,1,0,3,-65.5,133.6,0,0,0
1991299,1,0,3,-65.5,133.6,0,0,0
1991300,1,0,3,-65.5,133.6,0,0,0
1991301,1,1.022,3,-65.5,133.622,0,0,0
1991302,1,2.629,3,-65.5,133.679,0,0,0
1991303,1,3.595,3,-65.5,133.757,0,0,0
1991304,1,3.922,3,-65.5,133.843,0,0,0
1991305,1,3.595,3,-65.5,133.921,0,0,0
1991306,1,2.629,3,-65.5,133.978,0,0,0
1991307,1,1.022,3,-65.5,134,0,0,0
1991308,1,0,3,-65.5,134,0,0,0
1991309,1,0,3,-65.5,134,0,0,0
1991310,1,0,3,-65.5,134,0,0,0
1991311,1,0,3,-65.5,134,0,0,0
1991312,1,0,3,-65.5,134,0,0,0
1991313,1,0,3,-65.5,134,0,0,0
1991314,1,0,3,-65.5,134,0,0,0
1991328,14,25.515,3,-65.6,133.5,0,0,0
1991329,1,1.679,3,-65.595,133.466,0,0,0
1991330,1,2.341,3,-65.58,133.428,0,0,0
1991331,1,2.783,3,-65.561,133.391,0,0,0
1991332,1,2.848,3,-65.539,133.356,0,0,0
1991333,1,2.547,3,-65.52,133.327,0,0,0
1991334,1,1.828,3,-65.506,133.307,0,0,0
1991335,1,0.695,3,-65.5,133.3,0,0,0
1991356,21,0,3,-65.5,133.3,0,0,0
1992005,14,29.719,3,-65.6,133.9,0,0,0
1992019,14,42.816,3,-65.5,133,0,0,0
1992031,12,19.546,129,-65.38,133.31,0,0,0
1992032,1,0,129,-65.38,133.31,0,0,0
1992033,1,24.381,131,-65.59,133.155,0,0,0
1992034,1,24.381,129,-65.38,133.31,0,0,0
1992035,1,0,129,-65.38,133.31,0,0,0
1992036,1,0,129,-65.38,133.31,0,0,0
1992037,1,0,129,-65.38,133.31,0,0,0
1992038,1,0,129,-65.38,133.31,0,0,0
1992039,1,0,129,-65.38,133.31,0,0,0
1992040,1,1.806,129,-65.364,133.32,0,0,0
1992041,1,3.611,129,-65.333,133.341,0,0,0
1992042,1,3.613,129,-65.302,133.361,0,0,0
1992043,1,1.806,129,-65.286,133.371,0,0,0
1992044,1,0,129,-65.286,133.371,0,0,0
1992045,1,0,129,-65.286,133.371,0,0,0
1992046,1,0,129,-65.286,133.371,0,0,0
1992047,1,5.042,131,-65.243,133.336,0,0,0
1992048,1,0.731,131,-65.245,133.35,0,0,0
1992049,1,1.08,131,-65.251,133.368,0,0,0
1992050,1,1.31,131,-65.26,133.387,0,0,0
1992051,1,1.384,131,-65.27,133.405,0,0,0
1992052,1,1.285,131,-65.28,133.421,0,0,0
1992053,1,1.028,131,-65.288,133.432,0,0,0
1992054,1,0.601,131,-65.293,133.436,0,0,0
1992055,1,3.089,129,-65.286,133.371,0,0,0
1992056,1,0,129,-65.286,133.371,0,0,0
1992057,1,0,129,-65.286,133.371,0,0,0
1992058,1,0,129,-65.286,133.371,0,0,0
1992059,1,0,129,-65.286,133.371,0,0,0
1992060,1,0,129,-65.286,133.371,0,0,0
1992061,1,0,129,-65.286,133.371,0,0,0
1992062,1,0,129,-65.286,133.371,0,0,0
1992063,1,0,129,-65.286,133.371,0,0,0
1992064,1,0,129,-65.286,133.371,0,0,0
1992065,1,0,129,-65.286,133.371,0,0,0
1992066,1,0,129,-65.286,133.371,0,0,0
1992067,1,0,129,-65.286,133.371,0,0,0
1992068,1,0,129,-65.286,133.371,0,0,0
1992069,1,0,129,-65.286,133.371,0,0,0
1992070,1,0,129,-65.286,133.371,0,0,0
1992071,1,0,129,-65.286,133.371,0,0,0
1992072,1,0,129,-65.286,133.371,0,0,0
1992073,1,0,129,-65.286,133.371,0,0,0
1992074,1,0,129,-65.286,133.371,0,0,0
1992075,1,0,129,-65.286,133.371,0,0,0
1992076,1,0,129,-65.286,133.371,0,0,0
1992077,1,0,129,-65.286,133.371,0,0,0
1992078,1,0,129,-65.286,133.371,0,0,0
1992079,1,0,129,-65.286,133.371,0,0,0
1992080,1,0,129,-65.286,133.371,0,0,0
1992081,1,0,129,-65.286,133.371,0,0,0
1992082,1,7.48,131,-65.343,133.286,0,0,0
1992083,1,7.48,129,-65.286,133.371,0,0,0
1992084,1,0,129,-65.286,133.371,0,0,0
1992085,1,0,129,-65.286,133.371,0,0,0
1992086,1,0,129,-65.286,133.371,0,0,0
1992087,1,0,129,-65.286,133.371,0,0,0
1992088,1,2.397,129,-65.302,133.337,0,0,0
1992089,1,4.798,129,-65.334,133.267,0,0,0
1992090,1,4.795,129,-65.366,133.198,0,0,0
1992091,1,2.391,129,-65.382,133.163,0,0,0
1992092,1,0,129,-65.382,133.163,0,0,0
1992093,1,0,129,-65.382,133.163,0,0,0
1992094,1,0,129,-65.382,133.163,0,0,0
1992095,1,0,129,-65.382,133.163,0,0,0
1992096,1,0,129,-65.382,133.163,0,0,0
1992097,1,0,129,-65.382,133.163,0,0,0
1992098,1,0,129,-65.382,133.163,0,0,0
1992099,1,0,129,-65.382,133.163,0,0,0
1992100,1,0,129,-65.382,133.163,0,0,0
1992101,1,0,129,-65.382,133.163,0,0,0
1992102,1,0,129,-65.382,133.163,0,0,0
1992103,1,5.339,131,-65.416,133.082,0,0,0
1992104,1,0.201,131,-65.415,133.084,0,0,0
1992105,1,0.514,131,-65.411,133.092,0,0,0
1992106,1,0.708,131,-65.406,133.101,0,0,0
1992107,1,0.766,131,-65.401,133.112,0,0,0
1992108,1,0.708,131,-65.396,133.122,0,0,0
1992109,1,0.514,131,-65.392,133.129,0,0,0
