date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2000125,0,0,17,-78.07,-173.935,1,5066.18,-0.0078
2000126,1,4.51,17,-78.075,-174.13,1,5056.03,-0.0124
2000127,1,4.51,17,-78.07,-173.935,1,5045.88,-0.0172
2000128,1,6.375,17,-78.106,-173.718,1,5035.74,-0.0223
2000129,1,0,17,-78.106,-173.718,1,5025.59,-0.0274
2000130,1,0,17,-78.106,-173.718,1,5015.44,-0.0245
2000131,1,0,17,-78.106,-173.718,1,5005.29,-0.0625
2000132,1,0,17,-78.106,-173.718,1,4995.14,-0.0478
2000133,1,6.375,17,-78.07,-173.935,1,4984.99,-0.0436
2000134,1,6.386,17,-78.034,-174.15,1,4974.84,-0.0219
2000135,1,0,17,-78.034,-174.15,1,4964.69,-0.0144
2000136,1,0,17,-78.034,-174.15,1,4954.54,-0.0027
2000137,1,4.508,17,-78.038,-174.345,1,4944.39,0.0172
2000138,1,0,17,-78.038,-174.345,1,4938.04,0.0158
2000139,1,6.376,17,-78.002,-174.559,1,4931.34,0.0048
2000140,1,4.508,17,-78.006,-174.754,1,4925.14,0.002
2000141,1,10.081,17,-78.038,-174.345,1,4918.75,-0.0157
2000142,1,9.019,17,-78.03,-173.955,1,4914.71,-0.0149
2000143,1,9.019,17,-78.038,-174.345,1,4909.91,-0.0284
2000144,1,6.376,17,-78.002,-174.559,1,4904.64,-0.0194
2000145,1,12.757,17,-77.928,-174.983,1,4900.02,-0.046
2000146,1,10.08,17,-77.895,-175.386,1,4895.52,-0.0444
2000147,1,22.542,17,-77.785,-176.198,1,4891.74,-0.0395
2000148,1,4.504,17,-77.744,-176.21,1,4889.44,-0.0479
2000149,1,6.376,17,-77.782,-176.006,1,4887.76,-0.0485
2000150,1,0,17,-77.782,-176.006,1,4889.07,-0.0206
2000151,1,10.088,17,-77.704,-176.223,1,4887.46,-0.0073
2000152,1,4.515,17,-77.744,-176.21,1,4889.09,0.0045
2000153,1,4.508,17,-77.742,-176.019,1,4887.89,-0.0145
2000154,1,20.155,17,-77.671,-176.805,1,4888.07,-0.0131
2000155,1,6.376,17,-77.632,-177.005,1,4887.88,-0.0245
2000156,1,6.372,17,-77.594,-177.203,1,4887.62,-0.0346
2000157,1,6.369,17,-77.555,-177.401,1,4888.12,-0.0317
2000158,1,6.369,17,-77.594,-177.203,1,4886.59,-0.0137
2000159,1,6.372,17,-77.632,-177.005,1,4885.37,-0.0119
2000160,1,22.527,17,-77.476,-177.605,1,4883.75,0.001
2000161,1,10.074,17,-77.438,-177.985,1,4881.65,-0.0118
2000162,1,4.504,17,-77.437,-177.799,1,4875.9,0.0176
2000163,1,10.074,17,-77.474,-177.418,1,4869.95,0.0083
2000164,1,16.246,17,-77.398,-177.992,1,4863.1,0.0306
2000165,1,0,17,-77.398,-177.992,1,4855.62,0.0492
2000166,1,0,17,-77.398,-177.992,1,4848.08,0.055
2000167,1,4.508,17,-77.438,-177.985,1,4840.1,0.05
2000168,1,6.373,17,-77.477,-177.792,1,4831.11,0.047
2000169,1,0,17,-77.477,-177.792,1,4822.3,0.0206
2000170,1,28.885,18,-77.719,-177.343,1,4812.79,0.0197
2000171,1,6.422,19,-77.716,-177.614,1,4802.92,-0.0042
2000172,1,2.587,19,-77.709,-177.509,1,4793.11,0.0022
2000173,1,4.975,19,-77.683,-177.68,1,4782.47,0.0084
2000174,1,3.932,19,-77.717,-177.739,1,4771.17,0.001
2000175,1,7.798,19,-77.669,-177.981,1,4759.07,0.0087
2000176,1,1.246,19,-77.66,-178.013,1,4745.46,0.0085
2000177,1,1.074,18,-77.651,-178.025,1,4733.74,0.0092
2000178,1,1.221,19,-77.64,-178.025,1,4717.88,0.0221
2000179,1,1.492,19,-77.626,-178.025,1,4702.36,0.037
2000180,1,1.676,19,-77.611,-178.025,1,4687.28,0.0451
