date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2000226,0,0,3,-76.5,-179.2,0,1321.7,0
2000227,1,5.255,3,-76.456,-179.272,0,1372.99,0
2000228,1,4.958,3,-76.414,-179.342,0,1424.28,0
2000229,1,4.485,3,-76.377,-179.409,0,1475.57,0
2000230,1,3.85,3,-76.346,-179.471,1,1526.86,0
2000231,1,5.25,19,-76.351,-179.272,1,1578.15,0
2000232,1,5.03,19,-76.311,-179.362,1,1629.43,-0.0086
2000233,1,0.513,19,-76.308,-179.377,2,1680.72,0.0057
2000234,1,5.912,17,-76.316,-179.155,2,1732.01,0.016
2000235,1,6.442,17,-76.309,-179.399,2,1783.3,0.0221
2000236,1,0,17,-76.309,-179.399,2,1834.59,0.0241
2000237,1,0,17,-76.309,-179.399,2,1885.88,0.0221
2000238,1,0,17,-76.309,-179.399,1,1937.16,0.016
2000239,1,0,17,-76.309,-179.399,1,2004.67,0.0057
2000240,1,0,17,-76.309,-179.399,1,2074.54,-0.0086
2000241,1,0,17,-76.309,-179.399,1,2144.59,0
2000242,1,0,17,-76.309,-179.399,1,2209.73,0
2000243,1,0,17,-76.309,-179.399,2,2272.39,0
2000244,1,0,17,-76.309,-179.399,1,2344.8,0
2000245,1,0,17,-76.309,-179.399,1,2417.86,-0.0049
2000246,1,0,17,-76.309,-179.399,1,2484.28,0.0032
2000247,1,16.955,19,-76.455,-179.599,1,2539.56,0.009
2000248,1,16.955,17,-76.309,-179.399,1,2609.9,0.0125
2000249,1,8.243,17,-76.247,-179.567,1,2657.67,0.0207
2000250,1,0,17,-76.247,-179.567,1,2702.28,-0.0124
2000251,1,0,17,-76.247,-179.567,1,2749.46,0.016
2000252,1,0,17,-76.247,-179.567,1,2793.27,0.016
2000253,1,0,17,-76.247,-179.567,1,2838.56,0.0145
2000254,1,0,17,-76.247,-179.567,1,2883.4,0.0258
2000255,1,0,17,-76.247,-179.567,1,2926.81,0.0332
2000256,1,0,17,-76.247,-179.567,1,2972.9,0.0302
2000257,1,0,17,-76.247,-179.567,2,2993.38,0.0303
2000258,1,0,17,-76.247,-179.567,2,3039.21,-0.0001
2000259,1,11.993,17,-76.309,-179.939,2,3082.7,0.0284
2000260,1,0,17,-76.309,-179.939,2,3087.95,0.014
2000261,1,5.934,19,-76.355,-179.82,2,3098.65,0.0086
2000262,1,5.934,17,-76.309,-179.939,2,3096.06,0.0043
2000263,1,0,17,-76.309,-179.939,2,3079.35,0.0024
2000264,1,0,17,-76.309,-179.939,2,3068.17,-0.0036
2000265,1,12.617,17,-76.418,179.921,1,3051.98,0
2000266,1,0,17,-76.418,179.921,1,3028.04,0
2000267,1,0,17,-76.418,179.921,1,2989.2,0
2000268,1,0,17,-76.418,179.921,1,2966.79,0
2000269,1,0,17,-76.418,179.921,2,2936.37,0
2000270,1,0,17,-76.418,179.921,2,2909.97,0
2000271,1,4.355,17,-76.443,179.793,2,2889.71,0
2000272,1,0,17,-76.443,179.793,2,2863.09,0
2000273,1,0,17,-76.443,179.793,2,2835.57,0
2000274,1,0,17,-76.443,179.793,1,2826.38,0
2000275,1,14.156,19,-76.328,-179.971,1,2818.34,0
2000276,1,0.71,19,-76.322,-179.971,1,2810.38,0
2000277,1,0.949,19,-76.314,-179.971,1,2801.59,0.003
2000278,1,7.629,19,-76.245,-179.973,1,2793.19,-0.001
2000279,1,1.049,19,-76.235,-179.973,2,2784.41,-0.0063
2000280,1,6.164,19,-76.18,-179.973,2,2775.68,-0.0096
2000281,1,0.638,19,-76.174,-179.973,2,2775.43,-0.0111
2000282,1,0.239,19,-76.172,-179.973,2,2771.04,-0.0106
2000283,1,3.674,17,-76.144,179.954,2,2761.85,-0.0082
2000284,1,0,17,-76.144,179.954,2,2763.74,0.0047
2000285,1,0,17,-76.144,179.954,2,2769.38,0.0079
2000286,1,0,17,-76.144,179.954,2,2775.64,-0.0311
2000287,1,0,17,-76.144,179.954,2,2781.48,-0.0461
2000288,1,0,17,-76.144,179.954,2,2789.58,-0.0248
2000289,1,0,17,-76.144,179.954,2,2774.9,-0.0206
2000290,1,0,17,-76.144,179.954,2,2769.91,-0.0227
2000291,1,0,17,-76.144,179.954,2,2762.04,-0.0031
2000292,1,0,17,-76.144,179.954,2,2764.29,0.0274
2000293,1,0,17,-76.144,179.954,2,2739.2,0.0267
2000294,1,0,17,-76.144,179.954,2,2733.76,0.0009
2000295,1,0,17,-76.144,179.954,2,2720.24,-0.0018
2000296,1,13.234,19,-76.262,-179.97,2,2694.1,0.0041
2000297,1,0.341,19,-76.262,-179.983,2,2665.65,0.0018
2000298,1,0.888,19,-76.262,179.984,2,2636.74,-0.0033
2000299,1,1.225,19,-76.262,179.937,2,2606.6,0.004
2000300,1,1.356,19,-76.262,179.886,2,2574.36,0.0223
2000301,1,1.279,19,-76.262,179.837,2,2541.98,0.0277
2000302,1,2.553,19,-76.262,179.934,2,2509.32,0.0307
2000303,1,0.503,19,-76.262,179.915,2,2476.34,0.0193
2000304,1,6.426,17,-76.225,179.73,2,2440.76,0.0048
2000305,1,0,17,-76.225,179.73,2,2406.55,0.0093
2000306,1,0,17,-76.225,179.73,2,2363.3,0.0033
2000307,1,0,17,-76.225,179.73,2,2325.02,-0.005
2000308,1,0,17,-76.225,179.73,2,2290.54,0.0195
2000309,1,8.27,17,-76.246,-179.97,2,2245.13,-0.013
2000310,1,0,17,-76.246,-179.97,2,2203.8,-0.0363
2000311,1,0,17,-76.246,-179.97,2,2162.57,-0.0502
