date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2005177,0,0,3,-65.5,123.625,0,0,0
2005198,21,91.825,3,-65.52,121.63,0,0,0
2005212,14,104.149,3,-65.7,119.4,0,0,0
2005213,1,0.786,3,-65.693,119.394,0,0,0
2005214,1,1.919,3,-65.676,119.39,0,0,0
2005215,1,2.601,3,-65.653,119.387,0,0,0
2005216,1,2.844,3,-65.627,119.384,0,0,0
2005217,1,2.602,3,-65.604,119.381,0,0,0
2005218,1,1.92,3,-65.587,119.377,0,0,0
2005219,1,0.796,3,-65.58,119.37,0,0,0
2005220,1,1.881,3,-65.581,119.329,0,0,0
2005221,1,4.275,3,-65.584,119.236,0,0,0
2005222,1,5.733,3,-65.588,119.112,0,0,0
2005223,1,6.266,3,-65.592,118.975,0,0,0
2005224,1,5.86,3,-65.596,118.848,0,0,0
2005225,1,4.534,3,-65.599,118.749,0,0,0
2005226,1,2.269,3,-65.6,118.7,0,0,0
2005227,1,0.811,3,-65.596,118.685,0,0,0
2005228,1,1.225,3,-65.586,118.675,0,0,0
2005229,1,1.689,3,-65.571,118.667,0,0,0
2005230,1,1.985,3,-65.553,118.661,0,0,0
2005231,1,2.134,3,-65.534,118.654,0,0,0
2005232,1,2.091,3,-65.516,118.644,0,0,0
2005233,1,1.894,3,-65.5,118.63,0,0,0
2005234,1,2.06,3,-65.486,118.601,0,0,0
2005235,1,2.735,3,-65.472,118.552,0,0,0
2005236,1,3.308,3,-65.458,118.488,0,0,0
2005237,1,3.687,3,-65.444,118.416,0,0,0
2005238,1,3.841,3,-65.43,118.34,0,0,0
2005239,1,3.778,3,-65.415,118.266,0,0,0
2005240,1,3.494,3,-65.4,118.2,0,0,0
2005254,14,47.491,3,-65.15,117.37,0,0,0
2005255,1,1.454,3,-65.156,117.342,0,0,0
2005256,1,1.981,3,-65.17,117.316,0,0,0
2005257,1,2.421,3,-65.189,117.294,0,0,0
2005258,1,2.543,3,-65.211,117.273,0,0,0
2005259,1,2.347,3,-65.23,117.254,0,0,0
2005260,1,1.782,3,-65.245,117.237,0,0,0
2005261,1,0.98,3,-65.25,117.22,0,0,0
2005262,1,0.655,3,-65.25,117.206,0,0,0
2005263,1,0.516,3,-65.25,117.195,0,0,0
2005264,1,0.446,3,-65.25,117.185,0,0,0
2005265,1,0.455,3,-65.25,117.175,0,0,0
2005266,1,0.53,3,-65.25,117.164,0,0,0
2005267,1,0.679,3,-65.25,117.149,0,0,0
2005268,1,0.902,3,-65.25,117.13,0,0,0
2005269,1,2.37,3,-65.243,117.082,0,0,0
2005270,1,4.566,3,-65.226,116.992,0,0,0
2005271,1,5.84,3,-65.203,116.88,0,0,0
2005272,1,6.188,3,-65.177,116.762,0,0,0
2005273,1,5.583,3,-65.154,116.656,0,0,0
2005274,1,4.048,3,-65.137,116.579,0,0,0
2005275,1,1.556,3,-65.13,116.55,0,0,0
2005276,1,0.605,3,-65.131,116.563,0,0,0
2005277,1,1.569,3,-65.134,116.596,0,0,0
2005278,1,2.14,3,-65.138,116.641,0,0,0
2005279,1,2.334,3,-65.142,116.69,0,0,0
2005280,1,2.139,3,-65.146,116.734,0,0,0
2005281,1,1.568,3,-65.149,116.767,0,0,0
2005282,1,0.605,3,-65.15,116.78,0,0,0
2005283,1,1.418,3,-65.137,116.777,0,0,0
2005284,1,3.677,3,-65.104,116.768,0,0,0
2005285,1,5.027,3,-65.06,116.754,0,0,0
