date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2005303,0,0,3,-71.2,170.5,-0,3114.04,0.0067
2005304,1,7.512,3,-71.148,170.368,0,3117.79,-0.006
2005305,1,7.171,3,-71.098,170.241,0,3121.53,-0.0095
2005306,1,1.706,19,-71.085,170.213,1,3125.28,-0.0043
2005307,1,10.917,19,-70.999,170.067,1,3129.02,0.0089
2005308,1,11.266,19,-70.907,169.936,1,3132.77,0.0458
2005309,1,10.769,19,-70.82,169.807,1,3136.52,0.0561
2005310,1,9.815,18,-70.748,169.647,1,3140.26,0.0646
2005311,1,1.456,19,-70.735,169.645,1,3144.01,0.0782
2005312,1,0.181,19,-70.735,169.65,1,3147.76,0.0734
2005313,1,1.955,19,-70.752,169.665,1,3151.5,0.0501
2005314,1,2.621,19,-70.775,169.685,1,3155.25,0.0301
2005315,1,2.055,19,-70.792,169.704,1,3159,0.0191
2005316,1,0.496,19,-70.793,169.717,1,3163.95,0.0209
2005317,1,4.19,18,-70.756,169.724,1,3172.56,-0.0016
2005318,1,4.668,17,-70.761,169.597,1,3179.25,-0.0075
2005319,1,6.657,17,-70.702,169.63,1,3186.38,0
2005320,1,0,17,-70.702,169.63,1,3194.38,0
2005321,1,18.743,17,-70.654,169.141,1,3203.6,0
2005322,1,0,17,-70.654,169.141,1,3217.87,0
2005323,1,19.432,17,-70.581,168.662,1,3233.33,0
2005324,1,5.538,17,-70.535,168.603,1,3248.09,0
2005325,1,4.609,17,-70.495,168.566,1,3264.27,0
2005326,1,3.174,17,-70.467,168.546,1,3292.11,0
2005327,1,1.186,17,-70.457,168.54,1,3321.97,0
2005328,1,0,17,-70.457,168.54,1,3342.82,0
2005329,1,11.417,17,-70.392,168.301,1,3371.95,0
2005330,1,5.506,17,-70.364,168.18,1,3406.4,0
2005331,1,5.026,17,-70.338,168.069,1,3447.21,0
2005332,1,4.541,17,-70.315,167.968,1,3475.31,0
2005333,1,4.017,17,-70.295,167.879,1,3510.4,0
2005334,1,3.467,17,-70.278,167.801,1,3540.69,0
2005335,1,2.898,17,-70.264,167.736,1,3577.03,0
2005336,1,2.297,17,-70.253,167.684,1,3609.44,0
2005337,1,1.676,17,-70.245,167.646,1,3642.43,0
2005338,1,12.8,19,-70.145,167.477,1,3675.26,0
2005339,1,2.257,19,-70.131,167.435,1,3709.06,0
2005340,1,2.003,19,-70.117,167.401,1,3742.64,0
2005341,1,10.365,19,-70.046,167.221,1,3777.09,0
2005342,1,1.824,19,-70.033,167.191,1,3807.96,0
2005343,1,1.725,19,-70.022,167.161,1,3842.45,0
2005344,1,1.631,19,-70.011,167.131,1,3876.57,0
2005345,1,1.553,18,-70.002,167.099,1,3910.11,0
2005346,1,11.914,19,-69.951,166.823,1,3942.57,0
2005347,1,1.363,19,-69.945,166.792,1,3970.26,0
2005348,1,11.989,3,-69.843,166.691,0,3996.85,0
2005349,1,2.706,3,-69.833,166.626,0,4024.39,0
2005350,1,2.847,3,-69.823,166.558,0,4050.58,0
2005351,1,3.098,3,-69.812,166.483,0,4065.32,0
2005352,1,3.462,3,-69.8,166.4,0,4080.35,0
2006015,28,176.466,3,-69.28,162.1,0,4095.38,0
2006016,1,5.671,3,-69.259,161.968,0,4110.4,0
2006017,1,5.567,3,-69.238,161.84,0,4125.43,0
2006018,1,5.485,3,-69.216,161.715,0,4140.46,0
2006019,1,5.444,3,-69.194,161.592,0,4155.48,0
2006020,1,5.416,3,-69.172,161.469,0,4170.51,0
2006021,1,5.424,3,-69.151,161.346,0,4185.54,0
2006022,1,5.464,3,-69.13,161.22,0,4200.56,0
2006023,1,5.305,3,-69.11,161.098,0,4215.59,0
2006024,1,5.063,3,-69.091,160.982,0,4230.62,0
2006025,1,5.001,3,-69.072,160.867,0,4245.64,0
2006026,1,5.128,3,-69.054,160.748,0,0,0
2006027,1,5.442,3,-69.036,160.621,0,0,0
2006028,1,5.947,3,-69.018,160.48,0,0,0
2006029,1,6.665,3,-69,160.32,0,0,0
2006030,1,8.185,3,-68.982,160.12,0,0,0
2006031,1,9.982,3,-68.964,159.875,0,0,0
2006032,1,11.145,3,-68.947,159.599,0,0,0
2006033,1,11.669,3,-68.929,159.311,0,0,0
2006034,1,11.548,3,-68.912,159.026,0,0,0
2006035,1,10.772,3,-68.896,158.76,0,0,0
2006036,1,9.355,3,-68.88,158.53,0,0,0
2006037,1,8.769,3,-68.864,158.315,0,0,0
2006038,1,9.089,3,-68.849,158.092,0,0,0
2006039,1,8.892,3,-68.833,157.875,0,0,0
2006040,1,8.161,3,-68.818,157.675,0,0,0
2006041,1,6.905,3,-68.804,157.508,0,0,0
2006042,1,5.133,3,-68.792,157.385,0,0,0
2006043,1,2.895,3,-68.78,157.32,0,0,0
2006044,1,1.645,3,-68.769,157.293,0,0,0
2006045,1,1.51,3,-68.757,157.274,0,0,0
2006046,1,1.388,3,-68.746,157.259,0,0,0
2006047,1,1.237,3,-68.736,157.246,0,0,0
2006048,1,1.038,3,-68.728,157.234,0,0,0
2006049,1,0.848,3,-68.722,157.219,0,0,0
2006050,1,0.812,3,-68.72,157.2,0,0,0
2006051,1,0.934,3,-68.722,157.177,0,0,0
2006052,1,1.073,3,-68.726,157.153,0,0,0
2006053,1,1.252,3,-68.732,157.127,0,0,0
2006054,1,1.412,3,-68.738,157.097,0,0,0
2006055,1,1.568,3,-68.744,157.061,0,0,0
2006056,1,1.741,3,-68.748,157.019,0,0,0
2006057,1,1.996,3,-68.75,156.97,0,0,0
2006058,1,3.742,3,-68.741,156.881,0,0,0
2006059,1,6.457,3,-68.716,156.735,0,0,0
2006060,1,8.125,3,-68.683,156.555,0,0,0
2006061,1,8.69,3,-68.647,156.365,0,0,0
2006062,1,8.145,3,-68.614,156.185,0,0,0
2006063,1,6.488,3,-68.589,156.039,0,0,0
2006064,1,3.766,3,-68.58,155.95,0,0,0
2006065,1,1.974,3,-68.58,155.901,0,0,0
2006066,1,1.63,3,-68.58,155.861,0,0,0
2006067,1,1.362,3,-68.58,155.828,0,0,0
2006068,1,1.176,3,-68.58,155.799,0,0,0
2006069,1,1.066,3,-68.58,155.772,0,0,0
2006070,1,1.034,3,-68.58,155.747,0,0,0
2006071,1,1.082,3,-68.58,155.72,0,0,0
2006072,1,1.166,3,-68.576,155.693,0,0,0
2006073,1,1.539,3,-68.566,155.669,0,0,0
2006074,1,1.977,3,-68.55,155.645,0,0,0
2006075,1,2.295,3,-68.531,155.622,0,0,0
2006076,1,2.491,3,-68.51,155.599,0,0,0
