date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2005303,0,0,3,-71.9,171.6,0,3449.09,0
2005304,1,19.291,3,-71.744,171.357,0,3444.75,0
2005305,1,18.336,3,-71.595,171.126,0,3440.41,0
2005306,1,16.907,3,-71.459,170.914,0,3436.08,0
2005307,1,15.014,3,-71.337,170.727,0,3431.74,0
2005308,1,12.664,3,-71.235,170.571,0,3427.4,0
2005309,1,9.857,3,-71.154,170.453,0,3423.06,0
2005310,1,6.567,3,-71.1,170.38,0,3418.73,0
2005311,1,4.22,3,-71.065,170.338,0,3414.39,0
2005312,1,12.777,19,-71.097,170.679,1,3410.05,0
2005313,1,8.156,19,-71.042,170.829,1,3405.71,0
2005314,1,1.153,19,-71.032,170.818,1,3401.38,0
2005315,1,8.013,19,-70.963,170.747,1,3397.04,0
2005316,1,1.246,19,-70.953,170.734,1,3392.51,0
2005317,1,1.516,18,-70.941,170.716,1,3388.4,0
2005318,1,14.817,17,-70.85,171.015,1,3384.59,0
2005319,1,0,17,-70.85,171.015,1,3381.25,0
2005320,1,9.101,17,-70.923,171.125,1,3378.1,0.0005
2005321,1,0,17,-70.923,171.125,1,3375.91,-0.0003
2005322,1,15.071,17,-70.859,170.761,1,3373.71,-0.0008
2005323,1,9.34,17,-70.798,170.583,1,3371.69,-0.0012
2005324,1,9.52,17,-70.756,170.355,1,3369.6,-0.0013
2005325,1,8.685,17,-70.696,170.205,1,3367.49,-0.0012
2005326,1,7.362,17,-70.632,170.152,1,3365.37,-0.0008
2005327,1,0,17,-70.632,170.152,1,3363.34,-0.0003
2005328,1,9.646,17,-70.571,169.966,1,3362.15,0.0005
2005329,1,0,17,-70.571,169.966,1,3360.89,0
2005330,1,8.693,17,-70.511,169.815,1,3358.96,0
2005331,1,6.106,17,-70.465,169.721,1,3357.66,0
2005332,1,9.655,17,-70.422,169.497,1,3356.37,0
2005333,1,0,17,-70.422,169.497,1,3355.79,0
2005338,5,72.55,3,-70.22,167.65,0,3353.85,0
2005339,1,3.82,3,-70.195,167.579,0,3353.08,0
2005340,1,3.478,3,-70.172,167.518,0,3351.62,0
2005341,1,3.234,3,-70.149,167.464,0,3350.76,0
2005342,1,3.109,3,-70.128,167.41,0,3349.9,0
2005343,1,3.077,3,-70.108,167.355,0,3349.04,0
2005344,1,3.177,3,-70.088,167.293,0,3348.18,0
2005345,1,3.418,3,-70.07,167.22,0,3347.32,0
2006015,35,208.057,3,-69.57,161.98,0,3346.46,0
2006016,1,2.511,3,-69.552,161.942,0,3345.6,0
2006017,1,2.506,3,-69.532,161.911,0,3344.74,0
2006018,1,2.525,3,-69.511,161.885,0,3343.88,0
2006019,1,2.54,3,-69.49,161.861,0,3343.02,0
2006020,1,2.529,3,-69.469,161.836,0,3342.16,0
2006021,1,2.508,3,-69.449,161.807,0,3341.3,0
2006022,1,2.514,3,-69.43,161.77,0,0,0
2006023,1,2.472,3,-69.414,161.727,0,0,0
2006024,1,2.455,3,-69.4,161.678,0,0,0
2006025,1,2.617,3,-69.387,161.622,0,0,0
2006026,1,2.898,3,-69.373,161.559,0,0,0
2006027,1,3.328,3,-69.359,161.485,0,0,0
2006028,1,3.867,3,-69.341,161.399,0,0,0
2006029,1,4.527,3,-69.32,161.3,0,0,0
2006030,1,6.944,3,-69.289,161.146,0,0,0
2006031,1,10.283,3,-69.247,160.913,0,0,0
2006032,1,12.473,3,-69.197,160.629,0,0,0
2006033,1,13.526,3,-69.143,160.322,0,0,0
2006034,1,13.405,3,-69.09,160.018,0,0,0
2006035,1,12.121,3,-69.041,159.745,0,0,0
2006036,1,9.658,3,-69,159.53,0,0,0
2006037,1,7.75,3,-68.966,159.36,0,0,0
2006038,1,7.199,3,-68.935,159.202,0,0,0
2006039,1,6.693,3,-68.905,159.056,0,0,0
2006040,1,6.208,3,-68.877,158.922,0,0,0
2006041,1,5.768,3,-68.85,158.798,0,0,0
2006042,1,5.364,3,-68.825,158.684,0,0,0
2006043,1,5.002,3,-68.8,158.58,0,0,0
2006044,1,4.651,3,-68.776,158.485,0,0,0
2006045,1,4.321,3,-68.754,158.396,0,0,0
2006046,1,4.053,3,-68.733,158.315,0,0,0
2006047,1,3.84,3,-68.712,158.238,0,0,0
2006048,1,3.691,3,-68.692,158.166,0,0,0
2006049,1,3.596,3,-68.671,158.097,0,0,0
2006050,1,3.576,3,-68.65,158.03,0,0,0
2006051,1,3.543,3,-68.627,157.968,0,0,0
2006052,1,3.507,3,-68.603,157.914,0,0,0
2006053,1,3.457,3,-68.578,157.863,0,0,0
2006054,1,3.363,3,-68.554,157.812,0,0,0
2006055,1,3.26,3,-68.532,157.759,0,0,0
2006056,1,3.161,3,-68.514,157.699,0,0,0
2006057,1,3.19,3,-68.5,157.63,0,0,0
2006058,1,3.435,3,-68.489,157.551,0,0,0
2006059,1,3.769,3,-68.479,157.462,0,0,0
2006060,1,4.117,3,-68.47,157.365,0,0,0
2006061,1,4.481,3,-68.462,157.257,0,0,0
2006062,1,4.86,3,-68.456,157.139,0,0,0
2006063,1,5.269,3,-68.452,157.01,0,0,0
2006064,1,5.71,3,-68.45,156.87,0,0,0
2006065,1,7.53,3,-68.454,156.686,0,0,0
2006066,1,9.969,3,-68.464,156.443,0,0,0
2006067,1,11.264,3,-68.478,156.169,0,0,0
2006068,1,11.399,3,-68.492,155.891,0,0,0
2006069,1,10.38,3,-68.506,155.639,0,0,0
2006070,1,8.195,3,-68.516,155.439,0,0,0
2006071,1,4.869,3,-68.52,155.32,0,0,0
2006072,1,2.48,3,-68.519,155.259,0,0,0
2006073,1,1.935,3,-68.515,155.213,0,0,0
2006074,1,1.63,3,-68.509,155.176,0,0,0
2006075,1,1.556,3,-68.501,155.144,0,0,0
2006076,1,1.652,3,-68.492,155.113,0,0,0
2006077,1,1.888,3,-68.481,155.076,0,0,0
2006078,1,2.254,3,-68.47,155.03,0,0,0
2006079,1,3.417,3,-68.451,154.964,0,0,0
