date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2006043,0,0,3,-68.72,157.8,0,0,0
2006044,1,3.083,3,-68.697,157.757,0,0,0
2006045,1,3.002,3,-68.676,157.71,0,0,0
2006046,1,2.888,3,-68.658,157.66,0,0,0
2006047,1,2.764,3,-68.642,157.606,0,0,0
2006048,1,2.623,3,-68.63,157.55,0,0,0
2006049,1,2.52,3,-68.623,157.491,0,0,0
2006050,1,2.494,3,-68.62,157.43,0,0,0
2006051,1,2.564,3,-68.622,157.367,0,0,0
2006052,1,2.699,3,-68.626,157.301,0,0,0
2006053,1,2.879,3,-68.632,157.232,0,0,0
2006054,1,3.064,3,-68.638,157.158,0,0,0
2006055,1,3.272,3,-68.644,157.079,0,0,0
2006056,1,3.495,3,-68.648,156.993,0,0,0
2006057,1,3.767,3,-68.65,156.9,0,0,0
2006058,1,4.34,3,-68.648,156.793,0,0,0
2006059,1,5.077,3,-68.641,156.668,0,0,0
2006060,1,5.629,3,-68.632,156.532,0,0,0
2006061,1,6,3,-68.62,156.387,0,0,0
2006062,1,6.175,3,-68.607,156.239,0,0,0
2006063,1,6.148,3,-68.593,156.092,0,0,0
2006064,1,5.924,3,-68.58,155.95,0,0,0
2006065,1,6.107,3,-68.565,155.805,0,0,0
2006066,1,6.629,3,-68.547,155.65,0,0,0
2006067,1,6.813,3,-68.527,155.491,0,0,0
2006068,1,6.673,3,-68.506,155.337,0,0,0
2006069,1,6.195,3,-68.485,155.196,0,0,0
2006070,1,5.378,3,-68.466,155.074,0,0,0
2006071,1,4.234,3,-68.45,154.98,0,0,0
2006072,1,3.235,3,-68.437,154.909,0,0,0
2006073,1,2.724,3,-68.426,154.85,0,0,0
2006074,1,2.388,3,-68.416,154.798,0,0,0
2006075,1,2.212,3,-68.406,154.751,0,0,0
2006076,1,2.216,3,-68.395,154.705,0,0,0
2006077,1,2.388,3,-68.384,154.656,0,0,0
2006078,1,2.736,3,-68.37,154.6,0,0,0
2006079,1,3.324,3,-68.352,154.535,0,0,0
2006080,1,3.892,3,-68.329,154.463,0,0,0
2006081,1,4.182,3,-68.304,154.387,0,0,0
2006082,1,4.196,3,-68.279,154.312,0,0,0
2006083,1,3.936,3,-68.255,154.241,0,0,0
2006084,1,3.39,3,-68.234,154.179,0,0,0
2006085,1,2.58,3,-68.22,154.13,0,0,0
2006086,1,2.096,3,-68.209,154.088,0,0,0
2006087,1,2.061,3,-68.199,154.046,0,0,0
2006088,1,1.931,3,-68.19,154.007,0,0,0
2006089,1,1.677,3,-68.182,153.972,0,0,0
2006090,1,1.333,3,-68.176,153.945,0,0,0
2006091,1,0.869,3,-68.172,153.927,0,0,0
2006092,1,0.319,3,-68.17,153.92,0,0,0
2006093,1,0.641,3,-68.17,153.936,0,0,0
2006094,1,1.654,3,-68.171,153.976,0,0,0
2006095,1,2.262,3,-68.173,154.03,0,0,0
2006096,1,2.467,3,-68.174,154.09,0,0,0
2006097,1,2.267,3,-68.176,154.145,0,0,0
2006098,1,1.664,3,-68.178,154.185,0,0,0
2006099,1,0.677,3,-68.18,154.2,0,0,0
2006100,1,5.416,3,-68.183,154.069,0,0,0
2006101,1,13.964,3,-68.186,153.731,0,0,0
2006102,1,19.104,3,-68.19,153.267,0,0,0
2006103,1,20.833,3,-68.194,152.762,0,0,0
2006104,1,19.163,3,-68.197,152.298,0,0,0
2006105,1,14.085,3,-68.199,151.956,0,0,0
2006106,1,5.607,3,-68.2,151.82,0,0,0
2006107,1,0.229,3,-68.199,151.815,0,0,0
2006108,1,0.348,3,-68.196,151.812,0,0,0
2006109,1,0.443,3,-68.192,151.81,0,0,0
2006110,1,0.471,3,-68.188,151.808,0,0,0
2006111,1,0.44,3,-68.184,151.806,0,0,0
2006112,1,0.338,3,-68.181,151.804,0,0,0
2006113,1,0.195,3,-68.18,151.8,0,0,0
2006114,1,0.219,3,-68.18,151.795,0,0,0
2006115,1,0.289,3,-68.18,151.788,0,0,0
2006116,1,0.355,3,-68.18,151.779,0,0,0
2006117,1,0.417,3,-68.18,151.769,0,0,0
2006118,1,0.479,3,-68.18,151.757,0,0,0
2006119,1,0.536,3,-68.18,151.744,0,0,0
2006120,1,0.594,3,-68.18,151.73,0,0,0
2006121,1,0.987,3,-68.183,151.707,0,0,0
2006122,1,1.616,3,-68.19,151.673,0,0,0
2006123,1,1.989,3,-68.2,151.633,0,0,0
2006124,1,2.062,3,-68.21,151.592,0,0,0
2006125,1,1.842,3,-68.22,151.556,0,0,0
2006126,1,1.319,3,-68.227,151.53,0,0,0
2006127,1,0.509,3,-68.23,151.52,0,0,0
2006128,1,0.129,3,-68.229,151.522,0,0,0
2006129,1,0.367,3,-68.227,151.528,0,0,0
2006130,1,0.549,3,-68.223,151.536,0,0,0
2006131,1,0.687,3,-68.218,151.546,0,0,0
2006132,1,0.777,3,-68.212,151.557,0,0,0
2006133,1,0.82,3,-68.206,151.569,0,0,0
2006134,1,0.819,3,-68.2,151.58,0,0,0
2006135,1,1.074,3,-68.192,151.593,0,0,0
2006136,1,1.484,3,-68.18,151.611,0,0,0
2006137,1,1.683,3,-68.167,151.63,0,0,0
2006138,1,1.684,3,-68.153,151.649,0,0,0
2006139,1,1.457,3,-68.141,151.665,0,0,0
2006140,1,1.033,3,-68.133,151.676,0,0,0
2006141,1,0.385,3,-68.13,151.68,0,0,0
2006142,1,0.258,3,-68.131,151.675,0,0,0
2006143,1,0.673,3,-68.134,151.66,0,0,0
2006144,1,0.919,3,-68.138,151.641,0,0,0
2006145,1,0.992,3,-68.142,151.619,0,0,0
2006146,1,0.918,3,-68.146,151.6,0,0,0
2006147,1,0.673,3,-68.149,151.586,0,0,0
2006148,1,0.258,3,-68.15,151.58,0,0,0
2006149,1,0,3,-68.15,151.58,0,0,0
2006150,1,0,3,-68.15,151.58,0,0,0
2006151,1,0,3,-68.15,151.58,0,0,0
2006152,1,0,3,-68.15,151.58,0,0,0
2006153,1,0,3,-68.15,151.58,0,0,0
2006154,1,0,3,-68.15,151.58,0,0,0
2006155,1,0,3,-68.15,151.58,0,0,0
2006156,1,0.125,3,-68.151,151.579,0,0,0
2006157,1,0.327,3,-68.154,151.578,0,0,0
2006158,1,0.44,3,-68.158,151.576,0,0,0
2006159,1,0.475,3,-68.162,151.574,0,0,0
2006160,1,0.44,3,-68.166,151.572,0,0,0
2006161,1,0.327,3,-68.169,151.571,0,0,0
2006162,1,0.125,3,-68.17,151.57,0,0,0
2006163,1,0,3,-68.17,151.57,0,0,0
2006164,1,0,3,-68.17,151.57,0,0,0
2006165,1,0,3,-68.17,151.57,0,0,0
2006166,1,0,3,-68.17,151.57,0,0,0
2006167,1,0,3,-68.17,151.57,0,0,0
2006168,1,0,3,-68.17,151.57,0,0,0
2006169,1,0,3,-68.17,151.57,0,0,0
2006170,1,0.07,3,-68.17,151.572,0,0,0
2006171,1,0.173,3,-68.17,151.576,0,0,0
2006172,1,0.244,3,-68.17,151.582,0,0,0
2006173,1,0.264,3,-68.17,151.588,0,0,0
2006174,1,0.244,3,-68.17,151.594,0,0,0
2006175,1,0.173,3,-68.17,151.598,0,0,0
2006176,1,0.07,3,-68.17,151.6,0,0,0
2006177,1,0.07,3,-68.17,151.598,0,0,0
2006178,1,0.173,3,-68.17,151.594,0,0,0
2006179,1,0.244,3,-68.17,151.588,0,0,0
2006180,1,0.264,3,-68.17,151.582,0,0,0
2006181,1,0.244,3,-68.17,151.576,0,0,0
2006182,1,0.173,3,-68.17,151.572,0,0,0
2006183,1,0.07,3,-68.17,151.57,0,0,0
2006184,1,0,3,-68.17,151.57,0,0,0
2006185,1,0,3,-68.17,151.57,0,0,0
2006186,1,0,3,-68.17,151.57,0,0,0
2006187,1,0,3,-68.17,151.57,0,0,0
2006188,1,0,3,-68.17,151.57,0,0,0
2006189,1,0,3,-68.17,151.57,0,0,0
2006190,1,0,3,-68.17,151.57,0,0,0
2006191,1,0,3,-68.17,151.57,0,0,0
2006192,1,0,3,-68.17,151.57,0,0,0
2006193,1,0,3,-68.17,151.57,0,0,0
2006194,1,0,3,-68.17,151.57,0,0,0
2006195,1,0,3,-68.17,151.57,0,0,0
2006196,1,0,3,-68.17,151.57,0,0,0
2006197,1,0,3,-68.17,151.57,0,0,0
2006198,1,0.38,3,-68.17,151.579,0,0,0
2006199,1,1.027,3,-68.168,151.604,0,0,0
2006200,1,1.53,3,-68.166,151.64,0,0,0
2006201,1,1.871,3,-68.163,151.685,0,0,0
2006202,1,2.065,3,-68.159,151.734,0,0,0
2006203,1,2.103,3,-68.155,151.784,0,0,0
2006204,1,1.996,3,-68.15,151.83,0,0,0
2006205,1,2.618,3,-68.137,151.883,0,0,0
2006206,1,3.931,3,-68.111,151.948,0,0,0
2006207,1,4.684,3,-68.078,152.018,0,0,0
2006208,1,4.792,3,-68.043,152.086,0,0,0
2006209,1,4.257,3,-68.012,152.145,0,0,0
2006210,1,3.035,3,-67.989,152.185,0,0,0
2006211,1,1.164,3,-67.98,152.2,0,0,0
2006212,1,0.423,3,-67.982,152.192,0,0,0
2006213,1,1.092,3,-67.988,152.17,0,0,0
2006214,1,1.495,3,-67.996,152.141,0,0,0
2006215,1,1.638,3,-68.004,152.109,0,0,0
2006216,1,1.494,3,-68.012,152.08,0,0,0
2006217,1,1.091,3,-68.018,152.058,0,0,0
2006218,1,0.423,3,-68.02,152.05,0,0,0
2006219,1,0.293,3,-68.018,152.054,0,0,0
2006220,1,0.757,3,-68.012,152.064,0,0,0
2006221,1,1.036,3,-68.004,152.078,0,0,0
2006222,1,1.136,3,-67.996,152.092,0,0,0
2006223,1,1.036,3,-67.988,152.106,0,0,0
2006224,1,0.757,3,-67.982,152.116,0,0,0
2006225,1,0.293,3,-67.98,152.12,0,0,0
2006226,1,0.169,3,-67.981,152.117,0,0,0
2006227,1,0.437,3,-67.984,152.11,0,0,0
2006228,1,0.595,3,-67.988,152.1,0,0,0
2006229,1,0.642,3,-67.992,152.09,0,0,0
2006230,1,0.595,3,-67.996,152.08,0,0,0
2006231,1,0.437,3,-67.999,152.073,0,0,0
2006232,1,0.169,3,-68,152.07,0,0,0
2006233,1,0.397,3,-67.997,152.072,0,0,0
2006234,1,1.057,3,-67.987,152.078,0,0,0
2006235,1,1.494,3,-67.974,152.086,0,0,0
2006236,1,1.729,3,-67.959,152.096,0,0,0
2006237,1,1.773,3,-67.944,152.107,0,0,0
2006238,1,1.585,3,-67.93,152.119,0,0,0
2006239,1,1.204,3,-67.92,152.13,0,0,0
2006240,1,0.957,3,-67.913,152.143,0,0,0
2006241,1,0.985,3,-67.907,152.161,0,0,0
2006242,1,0.991,3,-67.902,152.18,0,0,0
2006243,1,0.955,3,-67.897,152.199,0,0,0
2006244,1,0.869,3,-67.892,152.215,0,0,0
2006245,1,0.772,3,-67.886,152.226,0,0,0
2006246,1,0.71,3,-67.88,152.23,0,0,0
2006260,14,14.028,3,-67.76,152.125,0,0,0
2006274,14,8.583,3,-67.8,151.95,0,0,0
2006275,1,0,3,-67.8,151.95,0,0,0
2006276,1,0,3,-67.8,151.95,0,0,0
2006277,1,0,3,-67.8,151.95,0,0,0
2006278,1,0,3,-67.8,151.95,0,0,0
2006279,1,0,3,-67.8,151.95,0,0,0
2006280,1,0,3,-67.8,151.95,0,0,0
2006281,1,0,3,-67.8,151.95,0,0,0
2006282,1,0,3,-67.8,151.95,0,0,0
2006283,1,0,3,-67.8,151.95,0,0,0
2006284,1,0,3,-67.8,151.95,0,0,0
2006285,1,0,3,-67.8,151.95,0,0,0
2006286,1,0,3,-67.8,151.95,0,0,0
2006287,1,0,3,-67.8,151.95,0,0,0
2006288,1,0,3,-67.8,151.95,0,0,0
2006289,1,0.122,3,-67.799,151.95,0,0,0
2006290,1,0.322,3,-67.796,151.95,0,0,0
2006291,1,0.433,3,-67.792,151.95,0,0,0
2006292,1,0.466,3,-67.788,151.95,0,0,0
2006293,1,0.433,3,-67.784,151.95,0,0,0
2006294,1,0.322,3,-67.781,151.95,0,0,0
2006295,1,0.122,3,-67.78,151.95,0,0,0
2006296,1,0.046,3,-67.78,151.951,0,0,0
2006297,1,0.122,3,-67.78,151.954,0,0,0
2006298,1,0.164,3,-67.78,151.958,0,0,0
2006299,1,0.176,3,-67.78,151.962,0,0,0
2006300,1,0.164,3,-67.78,151.966,0,0,0
2006301,1,0.122,3,-67.78,151.969,0,0,0
2006302,1,0.046,3,-67.78,151.97,0,0,0
2006303,1,0.21,3,-67.78,151.965,0,0,0
2006304,1,0.537,3,-67.78,151.952,0,0,0
2006305,1,0.739,3,-67.78,151.935,0,0,0
2006306,1,0.806,3,-67.78,151.915,0,0,0
2006307,1,0.739,3,-67.78,151.898,0,0,0
2006308,1,0.537,3,-67.78,151.885,0,0,0
2006309,1,0.21,3,-67.78,151.88,0,0,0
2006310,1,0.046,3,-67.78,151.881,0,0,0
2006311,1,0.122,3,-67.78,151.884,0,0,0
2006312,1,0.164,3,-67.78,151.888,0,0,0
2006313,1,0.176,3,-67.78,151.892,0,0,0
2006314,1,0.164,3,-67.78,151.896,0,0,0
2006315,1,0.122,3,-67.78,151.899,0,0,0
2006316,1,0.046,3,-67.78,151.9,0,0,0
2006330,14,6.119,3,-67.725,151.89,0,0,0
2006351,21,20.292,3,-67.9,151.75,0,0,0
2007007,21,46.628,3,-67.48,151.73,0,0,0
2007008,1,1.534,3,-67.467,151.72,0,0,0
2007009,1,1.675,3,-67.454,151.697,0,0,0
2007010,1,1.896,3,-67.443,151.665,0,0,0
2007011,1,2.072,3,-67.432,151.625,0,0,0
2007012,1,2.173,3,-67.421,151.583,0,0,0
2007013,1,2.169,3,-67.411,151.54,0,0,0
2007014,1,2.065,3,-67.4,151.5,0,0,0
2007015,1,2.258,3,-67.388,151.457,0,0,0
2007016,1,2.65,3,-67.375,151.405,0,0,0
2007017,1,2.783,3,-67.362,151.349,0,0,0
2007018,1,2.659,3,-67.35,151.296,0,0,0
2007019,1,2.277,3,-67.34,151.25,0,0,0
2007020,1,1.636,3,-67.333,151.216,0,0,0
2007021,1,0.743,3,-67.33,151.2,0,0,0
2007022,1,0.325,3,-67.332,151.195,0,0,0
2007023,1,0.66,3,-67.338,151.191,0,0,0
2007024,1,0.88,3,-67.346,151.187,0,0,0
2007025,1,0.963,3,-67.354,151.184,0,0,0
2007026,1,0.87,3,-67.362,151.182,0,0,0
2007027,1,0.635,3,-67.368,151.181,0,0,0
2007028,1,0.245,3,-67.37,151.18,0,0,0
2007029,1,0,3,-67.37,151.18,0,0,0
2007030,1,0,3,-67.37,151.18,0,0,0
2007031,1,0,3,-67.37,151.18,0,0,0
2007032,1,0,3,-67.37,151.18,0,0,0
2007033,1,0,3,-67.37,151.18,0,0,0
2007034,1,0,3,-67.37,151.18,0,0,0
2007035,1,0,3,-67.37,151.18,0,0,0
2007036,1,0.21,3,-67.369,151.177,0,0,0
2007037,1,0.551,3,-67.365,151.168,0,0,0
2007038,1,0.798,3,-67.359,151.156,0,0,0
2007039,1,0.932,3,-67.353,151.144,0,0,0
2007040,1,0.981,3,-67.345,151.132,0,0,0
2007041,1,0.92,3,-67.337,151.123,0,0,0
2007042,1,0.823,3,-67.33,151.12,0,0,0
2007043,1,0.866,3,-67.322,151.12,0,0,0
2007044,1,1.032,3,-67.313,151.12,0,0,0
2007045,1,1.121,3,-67.303,151.12,0,0,0
2007046,1,1.11,3,-67.293,151.12,0,0,0
2007047,1,1.032,3,-67.284,151.12,0,0,0
