date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2007028,0,0,3,-76.05,168.13,0,0,0
2007029,1,0.206,3,-76.051,168.137,0,0,0
2007030,1,0.21,3,-76.052,168.143,0,0,0
2007031,1,0.262,3,-76.054,168.146,0,0,0
2007032,1,0.349,3,-76.057,168.148,0,0,0
2007033,1,0.412,3,-76.061,168.15,0,0,0
2007034,1,0.477,3,-76.065,168.15,0,0,0
2007035,1,0.533,3,-76.07,168.15,0,0,0
2007036,1,1.226,3,-76.08,168.135,0,0,0
2007037,1,2.393,3,-76.1,168.095,0,0,0
2007038,1,3.163,3,-76.125,168.04,0,0,0
2007039,1,3.537,3,-76.154,167.98,0,0,0
2007040,1,3.52,3,-76.182,167.926,0,0,0
2007041,1,3.115,3,-76.209,167.886,0,0,0
2007042,1,2.388,3,-76.23,167.87,0,0,0
2007043,1,1.922,3,-76.247,167.873,0,0,0
2007044,1,1.856,3,-76.264,167.882,0,0,0
2007045,1,1.769,3,-76.28,167.894,0,0,0
2007046,1,1.655,3,-76.294,167.906,0,0,0
2007047,1,1.518,3,-76.308,167.918,0,0,0
2007048,1,1.351,3,-76.32,167.927,0,0,0
2007049,1,1.157,3,-76.33,167.93,0,0,0
2007050,1,2.273,3,-76.339,167.851,0,0,0
2007051,1,5.401,3,-76.346,167.648,0,0,0
2007052,1,7.375,3,-76.352,167.367,0,0,0
2007053,1,8.103,3,-76.358,167.059,0,0,0
2007054,1,7.568,3,-76.365,166.771,0,0,0
2007055,1,5.783,3,-76.372,166.552,0,0,0
2007056,1,2.815,3,-76.38,166.45,0,0,0
2007057,1,1.456,3,-76.392,166.425,0,0,0
2007058,1,1.812,3,-76.407,166.403,0,0,0
2007059,1,1.969,3,-76.424,166.384,0,0,0
2007060,1,1.914,3,-76.441,166.37,0,0,0
2007061,1,1.644,3,-76.456,166.359,0,0,0
2007062,1,1.145,3,-76.466,166.352,0,0,0
2007063,1,0.437,3,-76.47,166.35,0,0,0
2007064,1,0.312,3,-76.467,166.351,0,0,0
2007065,1,0.791,3,-76.46,166.354,0,0,0
2007066,1,1.092,3,-76.45,166.358,0,0,0
2007067,1,1.181,3,-76.44,166.362,0,0,0
2007068,1,1.092,3,-76.43,166.366,0,0,0
2007069,1,0.791,3,-76.423,166.369,0,0,0
2007070,1,0.312,3,-76.42,166.37,0,0,0
2007071,1,0.419,3,-76.42,166.354,0,0,0
2007072,1,1.079,3,-76.42,166.313,0,0,0
2007073,1,1.475,3,-76.42,166.256,0,0,0
2007074,1,1.61,3,-76.42,166.194,0,0,0
2007075,1,1.475,3,-76.42,166.138,0,0,0
2007076,1,1.079,3,-76.42,166.096,0,0,0
2007077,1,0.419,3,-76.42,166.08,0,0,0
2007078,1,0.46,3,-76.422,166.096,0,0,0
2007079,1,1.175,3,-76.426,166.138,0,0,0
2007080,1,1.613,3,-76.432,166.194,0,0,0
2007081,1,1.758,3,-76.438,166.256,0,0,0
2007082,1,1.611,3,-76.444,166.313,0,0,0
2007083,1,1.173,3,-76.448,166.354,0,0,0
2007084,1,0.459,3,-76.45,166.37,0,0,0
2007085,1,0.785,3,-76.446,166.344,0,0,0
2007086,1,2.065,3,-76.437,166.277,0,0,0
2007087,1,2.875,3,-76.422,166.185,0,0,0
2007088,1,3.251,3,-76.405,166.085,0,0,0
2007089,1,3.184,3,-76.386,165.993,0,0,0
2007090,1,2.719,3,-76.367,165.926,0,0,0
2007091,1,2.005,3,-76.35,165.9,0,0,0
2007092,1,1.881,3,-76.333,165.912,0,0,0
2007093,1,2.191,3,-76.315,165.944,0,0,0
2007094,1,2.402,3,-76.296,165.987,0,0,0
2007095,1,2.432,3,-76.277,166.033,0,0,0
2007096,1,2.287,3,-76.259,166.076,0,0,0
2007097,1,1.959,3,-76.243,166.108,0,0,0
2007098,1,1.489,3,-76.23,166.12,0,0,0
2007099,1,1.11,3,-76.22,166.12,0,0,0
2007100,1,0.866,3,-76.212,166.12,0,0,0
2007101,1,0.732,3,-76.206,166.12,0,0,0
2007102,1,0.721,3,-76.199,166.12,0,0,0
2007103,1,0.821,3,-76.192,166.12,0,0,0
2007104,1,1.032,3,-76.182,166.12,0,0,0
2007105,1,1.376,3,-76.17,166.12,0,0,0
2007106,1,2.098,3,-76.151,166.122,0,0,0
2007107,1,3.088,3,-76.123,166.127,0,0,0
