date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2010024,0,0,2,-65.7,55.48,1,11912.64,0
2010025,1,0,3,-65.7,55.48,1,11595.14,0
2010026,1,0,3,-65.7,55.48,1,11277.65,0
2010027,1,0,3,-65.7,55.48,1,10960.15,0
2010028,1,0,3,-65.7,55.48,1,10642.66,0
2010029,1,0,3,-65.7,55.48,1,10325.16,0
2010030,1,0,3,-65.7,55.48,1,10007.67,0
2010031,1,0,2,-65.7,55.48,1,9690.17,0
2010032,1,0.027,3,-65.7,55.479,1,9372.68,0
2010033,1,0.064,3,-65.7,55.478,1,9055.18,0
2010034,1,0.087,3,-65.7,55.476,1,8737.69,0
2010035,1,0.101,3,-65.7,55.474,1,8420.19,0
2010036,1,0.087,3,-65.7,55.472,1,8102.7,0
2010037,1,0.064,3,-65.7,55.471,1,7810.26,0
2010038,1,0.027,2,-65.7,55.47,1,7476.99,0
2010039,1,0.122,3,-65.699,55.47,1,7181.63,0
2010040,1,0.322,3,-65.696,55.47,1,6882.83,0
2010041,1,0.433,3,-65.692,55.47,1,6587.77,0
2010042,1,0.466,3,-65.688,55.47,1,6274.1,0
2010043,1,0.433,3,-65.684,55.47,1,5957.12,0
2010044,1,0.322,3,-65.681,55.47,1,5597.42,0
2010045,1,0.122,2,-65.68,55.47,1,5280.68,0
2010046,1,0,3,-65.68,55.47,1,5000.33,0
2010047,1,0,3,-65.68,55.47,1,4697.65,0
2010048,1,0,3,-65.68,55.47,1,4440.38,0
2010049,1,0,3,-65.68,55.47,1,4161.65,0
2010050,1,0,3,-65.68,55.47,1,3929.72,0
2010051,1,0,3,-65.68,55.47,1,3702.9,0
2010052,1,0,2,-65.68,55.47,1,3487.96,0
2010053,1,0,3,-65.68,55.47,1,3282.69,0
2010054,1,0,3,-65.68,55.47,1,3031.3,0
2010055,1,0,3,-65.68,55.47,1,2899.23,0
2010056,1,0,3,-65.68,55.47,1,2729.42,0
2010057,1,0,3,-65.68,55.47,1,2570.3,0
2010058,1,0,3,-65.68,55.47,1,2451.13,0
2010059,1,0,2,-65.68,55.47,1,2338.66,0
2010060,1,0,3,-65.68,55.47,1,2249.15,0
2010061,1,0,3,-65.68,55.47,1,2237.58,0
2010062,1,0,3,-65.68,55.47,1,2173.75,0
2010063,1,0,3,-65.68,55.47,1,2141.91,0
2010064,1,0,3,-65.68,55.47,1,2100.54,0
2010065,1,0,3,-65.68,55.47,1,2062.83,0
2010066,1,0,2,-65.68,55.47,1,2038.46,0
2010067,1,0,3,-65.68,55.47,1,2017.45,0
2010068,1,0,3,-65.68,55.47,1,2009.45,0
2010069,1,0,3,-65.68,55.47,1,2004.06,0
