date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2000359,0,0,3,-73.5,-173.8,1,1300.26,-0.0023
2000360,1,193.067,17,-73.473,-179.923,1,1296.09,0.0065
2000361,1,4.461,17,-73.513,-179.923,2,1291.92,0.0131
2000362,1,0,17,-73.513,-179.923,2,1287.75,0.0172
2000363,1,6.32,17,-73.553,-179.781,2,1283.58,0.0188
2000364,1,14.984,17,-73.432,-179.571,2,1279.41,0.0152
2000365,1,3.158,17,-73.412,-179.501,2,1275.24,0.0125
2000366,1,16.256,17,-73.372,-179.994,2,1271.07,0.0104
2001001,1,4.087,17,-73.357,179.888,2,1266.9,0.0074
2001002,1,10.379,17,-73.392,179.584,2,1262.73,0.0044
2001003,1,8.93,17,-73.391,179.302,2,1258.57,0.0019
2001004,1,3.162,17,-73.411,179.231,2,1254.4,0.0045
2001005,1,20.214,17,-73.387,178.599,2,1250.23,0.0026
2001006,1,8.052,17,-73.448,178.735,2,1247.39,-0.0003
2001007,1,23.473,17,-73.295,178.225,2,1242.38,0.0013
2001008,1,0,17,-73.295,178.225,2,1238.94,0.001
2001009,1,13.987,17,-73.268,177.797,2,1235.5,0.0004
2001010,1,10.326,17,-73.237,177.492,2,1231.2,-0.0004
2001011,1,5.651,17,-73.249,177.32,2,1227.07,-0.0014
2001012,1,0,17,-73.249,177.32,2,1224.11,0.0006
2001013,1,14.314,17,-73.147,177.047,2,1222.22,0
2001014,1,0,17,-73.147,177.047,2,1219.56,-0.0002
2001015,1,18.712,17,-72.98,176.978,2,1217.4,-0.0001
2001016,1,9.226,17,-72.963,176.7,2,1215.79,0.0011
2001017,1,0,17,-72.963,176.7,2,1213.35,0.0004
2001018,1,19.345,17,-72.833,176.307,2,1212.15,-0.0034
2001019,1,7.504,17,-72.774,176.424,2,1210.54,-0.0011
2001020,1,12.683,17,-72.681,176.202,2,1208.85,0.0093
2001021,1,132.236,19,-72.629,-179.804,2,1206.93,0.0161
2001022,1,135.862,17,-72.658,176.093,2,1205.53,0.0193
2001023,1,15.499,17,-72.527,175.939,2,1204.64,0.0197
2001024,1,0,17,-72.527,175.939,2,1203.88,0.0171
2001025,1,11.64,17,-72.496,175.606,2,1203.09,0.0091
2001026,1,0,17,-72.496,175.606,2,1202.15,-0.0012
2001027,1,0,17,-72.496,175.606,2,1201.46,-0.0037
2001028,1,0,17,-72.496,175.606,2,1200.76,0
2001029,1,28.994,17,-72.367,174.852,2,1200.38,-0.0509
2001030,1,6.273,17,-72.331,174.707,2,1200.32,-0.0105
2001031,1,18.407,17,-72.224,174.291,2,1200.48,0.0708
2001032,1,0,17,-72.224,174.291,2,1200.62,0.2049
2001033,1,8.33,17,-72.214,174.048,2,1200.89,0.3445
2001034,1,9.268,17,-72.142,173.91,2,1201.39,0.463
2001035,1,0,17,-72.142,173.91,1,1201.94,0.5845
2001036,1,0,17,-72.142,173.91,1,1202.65,0.581
2001037,1,16.906,17,-72.135,173.414,1,1203.16,0.3864
2001038,1,0,17,-72.135,173.414,2,1204.08,0.2348
2001039,1,0,17,-72.135,173.414,2,1204.84,0.0731
2001040,1,18.724,17,-72.096,172.88,2,1205.6,-0.0197
2001041,1,27.221,17,-71.869,172.573,1,1206.26,-0.0756
2001042,1,258.511,19,-71.75,-179.969,1,1207.71,-0.1035
2001043,1,5.907,19,-71.711,-179.852,1,1209.08,0.0295
2001044,1,7.351,19,-71.662,-179.709,1,1210.58,0.0979
2001045,1,26.099,19,-71.428,-179.674,1,1212.16,0.1067
2001046,1,8.231,19,-71.37,-179.528,1,1214.17,0.0688
2001047,1,7.652,19,-71.313,-179.404,1,1216.07,0.0708
2001048,1,17.111,19,-71.181,-179.65,1,1218.42,0.037
2001049,1,4.818,19,-71.139,-179.618,1,1220.75,0.0153
2001050,1,11.195,19,-71.053,-179.781,1,1223.44,-0.0756
2001051,1,13.326,19,-70.974,179.94,1,1227.19,-0.1481
2001052,1,6.3,19,-70.944,179.793,1,1231.21,-0.1671
2001053,1,13.69,19,-70.869,179.494,1,1234.99,-0.1776
2001054,1,8.058,19,-70.842,179.288,1,1238.72,-0.1804
2001055,1,16.347,19,-70.744,178.954,1,1242.89,-0.0939
2001056,1,8.239,19,-70.721,178.74,1,1248.16,-0.0592
2001057,1,319.411,17,-70.724,170.012,1,1253.87,0.0665
2001058,1,0,17,-70.724,170.012,1,1259.12,0.1127
2001059,1,10.363,17,-70.651,169.837,1,1264.71,0.0658
2001060,1,0,17,-70.651,169.837,1,1270.24,0.0775
2001061,1,18.248,17,-70.562,169.42,1,1275.72,0.0511
2001062,1,6.313,17,-70.519,169.307,1,1282.02,0.0285
2001063,1,0,17,-70.519,169.307,1,1288.7,0.0177
2001064,1,16.211,17,-70.44,168.941,1,1294.37,-0.0343
2001065,1,0,17,-70.44,168.941,1,1300.93,0.0661
2001066,1,0,17,-70.44,168.941,1,1307.02,0.1332
2001067,1,0,17,-70.44,168.941,1,1312.42,0.1353
2001068,1,0,17,-70.44,168.941,1,1317.73,0.1324
2001069,1,11.664,17,-70.41,168.64,1,1323.07,0.09
2001070,1,0,17,-70.41,168.64,1,1328.54,0.0094
2001071,1,17.54,17,-70.331,168.233,1,1333.64,-0.1265
2001072,1,0,17,-70.331,168.233,1,1339.04,-0.1527
2001073,1,11.869,17,-70.278,167.957,1,1343.8,-0.0788
2001074,1,0,17,-70.278,167.957,1,1348.58,0.0477
2001075,1,26.938,17,-70.077,167.557,1,1353.07,0.1433
2001076,1,0,17,-70.077,167.557,1,1356.58,0.2915
2001077,1,14.309,17,-70.023,167.213,1,1359.62,0.3282
2001078,1,17.001,17,-69.96,166.805,1,1363.08,0.3121
2001079,1,16.022,17,-69.929,166.394,1,1366.23,0.2218
2001080,1,18.062,17,-69.905,165.925,1,1368.61,0.2104
2001081,1,6.926,17,-69.88,165.759,1,1369.77,0.0757
2001082,1,9.634,17,-69.833,165.547,1,1370.88,0.0704
2001083,1,11.94,17,-69.816,165.239,1,1371.69,0.0355
2001084,1,20.942,19,-69.758,164.72,1,1371.84,0.0298
2001085,1,8.771,19,-69.72,164.52,1,1372.86,-0.0127
2001086,1,15.954,19,-69.683,164.12,1,1374.48,-0.0232
2001087,1,6.617,19,-69.661,163.96,1,1375.07,-0.0008
2001088,1,1.983,19,-69.647,163.927,1,1375.26,0.0192
2001089,1,7.443,19,-69.621,163.75,1,1376.67,-0.0197
2001090,1,2.262,19,-69.606,163.709,1,1377.7,0.0302
2001091,1,11.483,19,-69.567,163.434,1,1379.5,0.0286
2001092,1,10.574,19,-69.512,163.211,1,1381.39,0.006
2001093,1,3.518,19,-69.497,163.132,1,1382.99,-0.0263
2001094,1,3.942,19,-69.481,163.042,1,1384.7,-0.0671
2001095,1,17.121,19,-69.428,162.628,1,1386.22,-0.0582
2001096,1,14.752,19,-69.35,162.323,1,1388.07,-0.0379
2001097,1,11.708,19,-69.295,162.068,1,1389.34,-0.0369
2001098,1,12.968,19,-69.227,161.8,1,1390.33,-0.0234
2001099,1,7.342,19,-69.198,161.633,1,1391.02,0.0241
2001100,1,17.838,19,-69.113,161.25,1,1392.55,0.0084
2001101,1,13.784,19,-69.06,160.934,1,1394.18,0.0328
2001102,1,15.785,19,-68.997,160.578,1,1395.05,0.0501
2001103,1,12.932,19,-68.942,160.292,1,1395.27,0.071
2001104,1,13.157,19,-68.892,159.994,1,1395.41,0.057
2001105,1,8.258,19,-68.848,159.828,1,1395.37,0.0541
2001106,1,5.383,19,-68.805,159.761,1,1395.56,0.0511
2001107,1,8.434,19,-68.769,159.577,1,1394.39,0.074
2001108,1,7.529,19,-68.732,159.42,1,1392.86,-0.0087
