date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2003166,0,0,2,-74.1,-129.7,1,3267.72,0
2003167,1,2.599,3,-74.083,-129.757,1,3267.72,0
2003168,1,2.8,3,-74.064,-129.817,1,3267.72,0
2003169,1,2.883,3,-74.045,-129.882,1,3267.72,0
2003170,1,2.867,3,-74.027,-129.952,1,3267.72,0
2003171,1,2.804,3,-74.013,-130.028,1,3267.72,0
2003172,1,2.737,3,-74.004,-130.111,1,3267.72,0
2003173,1,2.765,2,-74,-130.2,1,3267.72,0
2003215,42,238.366,2,-74,-138,1,3267.72,0
2003250,35,35.508,2,-73.7,-138.4,1,3267.72,0
2004004,119,482.438,2,-75.4,-153.5,1,3267.72,0
2004039,35,97.021,2,-75.6,-156.9,1,3267.72,0
