date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
1986075,0,0,2,-64.5,99.1,0,0,0
1987151,441,0,2,-64.5,99.1,0,0,0
1987214,63,4.779,2,-64.5,99,0,0,0
1987228,14,0,2,-64.5,99,0,0,0
1989071,573,14.638,2,-64.6,98.8,0,0,0
1989141,70,24.173,2,-64.4,99,0,0,0
1989183,42,40.152,2,-64.6,98.3,0,0,0
1989323,140,34.654,2,-64.3,98.1,0,0,0
1990182,224,40.254,2,-64.5,98.8,0,0,0
1990196,14,44.334,2,-64.3,98,0,0,0
1990350,154,0,2,-64.3,98,0,0,0
1990351,1,0,3,-64.3,98,0,0,0
1990352,1,0,3,-64.3,98,0,0,0
1990353,1,0,3,-64.3,98,0,0,0
1990354,1,0,3,-64.3,98,0,0,0
1990355,1,0,3,-64.3,98,0,0,0
1990356,1,0,3,-64.3,98,0,0,0
1990357,1,0,2,-64.3,98,0,0,0
1991006,14,0,2,-64.3,98,0,0,0
1991034,28,0,2,-64.3,98,0,0,0
1991055,21,0,2,-64.3,98,0,0,0
1991153,98,0,2,-64.3,98,0,0,0
1991244,91,0,2,-64.3,98,0,0,0
1991265,21,0,2,-64.3,98,0,0,0
1991279,14,0,2,-64.3,98,0,0,0
1991335,56,0,2,-64.3,98,0,0,0
1991356,21,0,2,-64.3,98,0,0,0
1992019,28,0,2,-64.3,98,0,0,0
1993080,427,30.897,2,-64.4,98.6,1,0,0
1993081,1,0,3,-64.4,98.6,1,0,0
1993082,1,0,3,-64.4,98.6,0,0,0
1993083,1,0,3,-64.4,98.6,1,0,0
1993084,1,0,3,-64.4,98.6,1,0,0
1993085,1,0,3,-64.4,98.6,0,0,0
1993086,1,0,3,-64.4,98.6,0,0,0
1993087,1,0,2,-64.4,98.6,0,0,0
1993115,28,9.594,2,-64.4,98.4,0,0,0
1993150,35,4.797,2,-64.4,98.5,0,0,0
1993151,1,0.264,3,-64.4,98.495,0,0,0
1993152,1,0.686,3,-64.4,98.48,0,0,0
1993153,1,0.94,3,-64.4,98.461,0,0,0
1993154,1,1.017,3,-64.4,98.439,0,0,0
1993155,1,0.94,3,-64.4,98.42,0,0,0
1993156,1,0.686,3,-64.4,98.406,0,0,0
1993157,1,0.264,2,-64.4,98.4,0,0,0
1993158,1,0.264,3,-64.4,98.406,0,0,0
1993159,1,0.686,3,-64.4,98.42,0,0,0
1993160,1,0.94,3,-64.4,98.439,0,0,0
1993161,1,1.017,3,-64.4,98.461,0,0,0
1993162,1,0.94,3,-64.4,98.48,0,0,0
1993163,1,0.686,3,-64.4,98.495,0,0,0
1993164,1,0.264,2,-64.4,98.5,0,0,0
1993192,28,0,2,-64.4,98.5,0,0,0
1993220,28,0,2,-64.4,98.5,0,0,0
1993221,1,0,3,-64.4,98.5,0,0,0
1993222,1,0,3,-64.4,98.5,0,0,0
1993223,1,0,3,-64.4,98.5,0,0,0
1993224,1,0,3,-64.4,98.5,0,0,0
1993225,1,0,3,-64.4,98.5,0,0,0
1993226,1,0,3,-64.4,98.5,0,0,0
1993227,1,0,2,-64.4,98.5,0,0,0
1993228,1,0,3,-64.4,98.5,0,0,0
1993229,1,0,3,-64.4,98.5,0,0,0
1993230,1,0,3,-64.4,98.5,0,0,0
1993231,1,0,3,-64.4,98.5,0,0,0
1993232,1,0,3,-64.4,98.5,0,0,0
1993233,1,0,3,-64.4,98.5,0,0,0
1993234,1,0,2,-64.4,98.5,0,0,0
