date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2000310,0,0,3,-67.7,147.6,0,5401.65,0
2000311,1,0,3,-67.7,147.6,0,5393.07,0
2000312,1,0,3,-67.7,147.6,0,5384.49,0
2000313,1,0,3,-67.7,147.6,0,5375.91,0
2000314,1,0,3,-67.7,147.6,0,5367.33,0
2000315,1,0,3,-67.7,147.6,0,5358.74,0
2000316,1,0,3,-67.7,147.6,0,5350.16,0
2000317,1,0,3,-67.7,147.6,0,5341.58,0
2000318,1,0,3,-67.7,147.6,0,5333,0
2000319,1,0,3,-67.7,147.6,0,5324.41,0
2000320,1,0,3,-67.7,147.6,0,5315.83,0
2000321,1,0,3,-67.7,147.6,0,5307.25,0
2000322,1,0,3,-67.7,147.6,0,5298.67,-0.0371
2000323,1,0,3,-67.7,147.6,0,5290.54,0.0247
2000324,1,0,3,-67.7,147.6,0,5282.41,0.0832
2000331,7,0,17,-67.7,147.6,1,5274.47,0.1255
2000332,1,0,17,-67.7,147.6,1,5261.51,0.1182
2000333,1,0,17,-67.7,147.6,1,5254.16,-0.0606
2000334,1,0,17,-67.7,147.6,1,5239.12,-0.1991
2000335,1,0,17,-67.7,147.6,1,5211.61,-0.2709
2000336,1,0,17,-67.7,147.6,1,5195.64,-0.3466
2000337,1,0,17,-67.7,147.6,1,5174.92,-0.3239
2000338,1,0,17,-67.7,147.6,1,5141.72,-0.255
2000339,1,0,17,-67.7,147.6,1,5102.89,-0.0105
2000340,1,0,17,-67.7,147.6,1,5063.59,-0.1674
2000341,1,0,17,-67.7,147.6,1,5023.53,-0.4526
2000342,1,0,17,-67.7,147.6,1,4982.1,-0.4239
2000343,1,0,17,-67.7,147.6,1,4940.27,-0.1933
2000344,1,0,17,-67.7,147.6,1,4895.98,-0.0197
2000345,1,0,17,-67.7,147.6,1,4851.28,0.14
2000346,1,0,17,-67.7,147.6,1,4805.22,0.2045
2000347,1,0,17,-67.7,147.6,1,4757.62,0.4041
2000348,1,0,17,-67.7,147.6,1,4698.01,0.2409
2000349,1,0,17,-67.7,147.6,1,4633.92,-0.0855
2000350,1,0,17,-67.7,147.6,1,4574.93,-0.1399
2000351,1,0,17,-67.7,147.6,1,4505.18,-0.1175
2000352,1,0,17,-67.7,147.6,1,4440.17,-0.1041
2000353,1,0,17,-67.7,147.6,1,4371.03,0.012
2000354,1,0,17,-67.7,147.6,1,4287.91,0.1355
2000355,1,0,17,-67.7,147.6,1,4193.51,0.5142
2000356,1,0,17,-67.7,147.6,1,4093.07,0.6566
2000357,1,0,17,-67.7,147.6,1,3989.07,0.6454
2000358,1,0,17,-67.7,147.6,1,3881.87,0.83
2000359,1,0,17,-67.7,147.6,0,3782.49,0.608
2000360,1,0,17,-67.7,147.6,0,3688.18,0.587
2000361,1,0,17,-67.7,147.6,0,3582.68,0.2505
2000362,1,0,17,-67.7,147.6,1,3485.13,0.1732
2000363,1,0,17,-67.7,147.6,1,3392.84,0.1248
2000364,1,0,17,-67.7,147.6,1,3302.47,-0.0111
2000365,1,0,17,-67.7,147.6,1,3212.17,-0.0484
2000366,1,0,17,-67.7,147.6,1,3119.2,0.0544
2001001,1,0,17,-67.7,147.6,1,3027.64,-0.086
2001002,1,0,17,-67.7,147.6,1,2945.46,0.1184
2001003,1,0,17,-67.7,147.6,1,2856.96,-0.3315
2001004,1,0,17,-67.7,147.6,1,2765.27,-0.3001
2001005,1,0,17,-67.7,147.6,1,2673.95,-0.1631
2001006,1,0,17,-67.7,147.6,1,2587.64,0.0567
2001007,1,0,17,-67.7,147.6,1,2519.64,0.1981
2001008,1,0,17,-67.7,147.6,1,2450.23,0.3503
2001009,1,0,17,-67.7,147.6,1,2382.47,0.614
2001010,1,0,17,-67.7,147.6,1,2322.93,0.9966
2001011,1,0,17,-67.7,147.6,1,2259.04,0.8658
2001012,1,0,17,-67.7,147.6,1,2199.21,0.7963
2001013,1,0,17,-67.7,147.6,0,2155.49,0.6969
2001014,1,0,17,-67.7,147.6,0,2118.4,0.5445
2001015,1,0,17,-67.7,147.6,0,2092.02,0.3206
2001016,1,0,17,-67.7,147.6,0,2080.89,0.0491
2001017,1,0,17,-67.7,147.6,1,2072.96,0.0383
2001018,1,0,17,-67.7,147.6,1,2072.22,0.0598
2001019,1,0,17,-67.7,147.6,1,2080.17,0.004
2001020,1,0,17,-67.7,147.6,1,2090.27,0.0638
2001021,1,0,19,-67.7,147.6,0,2106.71,-0.1304
2001022,1,0,17,-67.7,147.6,0,2136.85,-0.3886
2001023,1,0,17,-67.7,147.6,0,2179.55,-0.4371
2001024,1,0,17,-67.7,147.6,1,2229.12,-0.3157
2001025,1,0,17,-67.7,147.6,1,2286.78,0.0144
2001026,1,0,17,-67.7,147.6,1,2351.07,0.3338
2001027,1,0,17,-67.7,147.6,1,2413.13,0.8134
2001028,1,0,17,-67.7,147.6,0,2484.43,1.287
2001029,1,0,17,-67.7,147.6,0,2565.2,1.1587
2001030,1,0,17,-67.7,147.6,0,2655.74,0.7969
2001031,1,0,17,-67.7,147.6,0,2752.19,0.4416
2001032,1,0,17,-67.7,147.6,0,2843.67,0.1906
2001033,1,0,17,-67.7,147.6,0,2952.79,-0.1005
2001034,1,0,17,-67.7,147.6,0,3075.83,-0.285
2001035,1,0,17,-67.7,147.6,0,3206.5,-0.2687
2001036,1,0,17,-67.7,147.6,0,3343.88,-0.1534
2001037,1,0,17,-67.7,147.6,0,3495.36,-0.1038
2001038,1,0,17,-67.7,147.6,0,3641.33,-0.0514
2001039,1,0,17,-67.7,147.6,0,3795.54,0.0254
2001040,1,0,17,-67.7,147.6,0,3949.53,0.1611
2001041,1,0,17,-67.7,147.6,0,4101.3,0.1062
2001042,1,0,17,-67.7,147.6,0,4245.38,0.1082
2001043,1,0,17,-67.7,147.6,0,4387.18,0.0704
2001044,1,0,17,-67.7,147.6,0,4526.83,-0.0034
2001045,1,0,17,-67.7,147.6,0,4664.75,-0.0281
2001046,1,0,17,-67.7,147.6,0,4795.96,-0.0236
2001047,1,0,17,-67.7,147.6,0,4922.36,0.0379
2001048,1,0,17,-67.7,147.6,0,5042.69,-0.0248
2001049,1,0,19,-67.7,147.6,0,5157.75,-0.1941
2001050,1,0,17,-67.7,147.6,0,5268.83,-0.3478
2001051,1,0,17,-67.7,147.6,0,5376.3,-0.402
2001052,1,0,17,-67.7,147.6,0,5477.9,-0.3919
2001053,1,0,17,-67.7,147.6,0,5576.57,-0.4894
2001054,1,0,17,-67.7,147.6,0,5669.3,-0.4133
2001055,1,0,17,-67.7,147.6,0,5755.51,-0.1041
2001056,1,0,17,-67.7,147.6,0,5832.74,0.0452
2001057,1,0,17,-67.7,147.6,0,5907.9,-0.2109
2001058,1,0,17,-67.7,147.6,0,5969.4,-0.269
2001059,1,0,17,-67.7,147.6,1,6021.02,0.0573
2001060,1,0,17,-67.7,147.6,1,6062.55,0.0654
2001061,1,0,17,-67.7,147.6,1,6096.24,-0.1105
2001062,1,0,17,-67.7,147.6,0,6116.37,-0.0693
2001063,1,0,17,-67.7,147.6,0,6136.27,0.0611
2001064,1,0,17,-67.7,147.6,0,6152.67,0.1061
2001065,1,0,17,-67.7,147.6,0,6164.11,-0.0544
2001066,1,0,17,-67.7,147.6,0,6162.12,-0.0189
2001067,1,0,17,-67.7,147.6,0,6161.58,-0.0586
2001068,1,0,17,-67.7,147.6,0,6156.12,-0.1721
2001069,1,0,17,-67.7,147.6,0,6151.09,-0.0498
2001070,1,0,17,-67.7,147.6,0,6146.26,-0.1279
2001071,1,0,17,-67.7,147.6,0,6138.72,-0.2024
2001072,1,0,17,-67.7,147.6,0,6129.79,-0.0924
2001073,1,0,17,-67.7,147.6,0,6118.91,0.133
2001074,1,0,17,-67.7,147.6,0,6107.31,0.0969
2001075,1,0,17,-67.7,147.6,0,6095.9,-0.1747
2001076,1,0,17,-67.7,147.6,0,6083.07,0.0452
2001077,1,0,17,-67.7,147.6,0,6069.16,0.1225
2001078,1,0,17,-67.7,147.6,0,6055.88,-0.0502
2001079,1,0,17,-67.7,147.6,0,6049.37,-0.0475
2001080,1,0,17,-67.7,147.6,0,6043.94,-0.1792
2001081,1,0,17,-67.7,147.6,0,6041.85,-0.2405
2001082,1,0,17,-67.7,147.6,0,6049.16,-0.3816
2001083,1,0,17,-67.7,147.6,0,6064.65,-0.4865
2001084,1,0,17,-67.7,147.6,0,6081.32,-0.2471
2001085,1,0,17,-67.7,147.6,0,6097.83,-0.2534
2001086,1,0,17,-67.7,147.6,0,6117.03,0.0375
2001087,1,0,17,-67.7,147.6,0,6141.14,0.1559
2001088,1,0,17,-67.7,147.6,0,6170.49,0.0303
2001089,1,0,17,-67.7,147.6,0,6201.82,0.1472
2001090,1,0,17,-67.7,147.6,0,6235.44,0.2368
2001091,1,0,17,-67.7,147.6,0,6279.4,0.0309
2001092,1,0,17,-67.7,147.6,0,6326.21,0.0623
2001093,1,0,17,-67.7,147.6,0,6378.53,-0.2901
2001094,1,0,17,-67.7,147.6,0,6429.18,-0.3248
2001095,1,0,17,-67.7,147.6,0,6482.75,-0.5357
2001096,1,0,17,-67.7,147.6,0,6539.53,-0.4705
2001097,1,0,17,-67.7,147.6,0,6597.58,-0.3185
2001098,1,0,17,-67.7,147.6,0,6660.78,-0.1955
2001099,1,0,17,-67.7,147.6,0,6729.75,-0.1847
2001100,1,0,17,-67.7,147.6,0,6808.84,-0.1617
2001101,1,0,17,-67.7,147.6,0,6901.39,-0.1343
2001102,1,0,17,-67.7,147.6,0,6987.8,0.0384
2001103,1,0,17,-67.7,147.6,0,7106.04,-0.0668
2001104,1,0,17,-67.7,147.6,0,7217.05,-0.0906
2001105,1,0,17,-67.7,147.6,0,7320.08,-0.02
2001106,1,0,17,-67.7,147.6,0,7424.98,0.0162
2001107,1,0,17,-67.7,147.6,0,7518.3,-0.2222
2001108,1,0,17,-67.7,147.6,0,7604.44,-0.423
2001109,1,0,17,-67.7,147.6,0,7691.85,-0.3501
2001110,1,0,17,-67.7,147.6,0,7781.59,-0.3588
2001111,1,0,17,-67.7,147.6,0,7868.01,-0.5099
2001112,1,0,17,-67.7,147.6,0,7958.82,-0.4146
2001113,1,0,17,-67.7,147.6,0,8044.08,-0.0811
