date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2003131,0,0,3,-71.7,171.9,0,0,0
2003132,1,8.872,3,-71.629,171.786,0,0,0
2003133,1,8.889,3,-71.557,171.671,0,0,0
2003134,1,8.886,3,-71.486,171.557,0,0,0
2003135,1,8.891,3,-71.414,171.443,0,0,0
2003136,1,8.9,3,-71.343,171.329,0,0,0
2003137,1,8.916,3,-71.271,171.214,0,0,0
2003138,1,8.913,3,-71.2,171.1,0,0,0
2003139,1,9.348,3,-71.125,170.983,0,0,0
2003140,1,9.921,3,-71.045,170.861,0,0,0
2003141,1,10.066,3,-70.963,170.738,0,0,0
2003142,1,9.792,3,-70.884,170.617,0,0,0
2003143,1,9.096,3,-70.812,170.502,0,0,0
2003144,1,7.978,3,-70.749,170.395,0,0,0
2003145,1,6.445,3,-70.7,170.3,0,0,0
2003146,1,4.978,3,-70.664,170.221,0,0,0
2003147,1,4.065,3,-70.634,170.155,0,0,0
2003148,1,3.518,3,-70.609,170.096,0,0,0
2003149,1,3.37,3,-70.586,170.037,0,0,0
2003150,1,3.583,3,-70.562,169.973,0,0,0
2003151,1,4.198,3,-70.534,169.896,0,0,0
2003152,1,5.181,3,-70.5,169.8,0,0,0
2003153,1,6.718,3,-70.457,169.673,0,0,0
2003154,1,8.378,3,-70.405,169.509,0,0,0
2003155,1,9.748,3,-70.347,169.312,0,0,0
2003156,1,10.819,3,-70.285,169.088,0,0,0
2003157,1,11.61,3,-70.222,168.842,0,0,0
2003158,1,12.132,3,-70.16,168.578,0,3976.22,0
2003159,1,12.377,3,-70.1,168.3,0,3980.69,0
2003160,1,14.597,3,-70.041,167.956,0,3985.16,0
2003161,1,18.048,3,-69.978,167.517,0,3989.62,0
2003162,1,19.957,3,-69.915,167.026,0,3994.09,0
2003163,1,20.281,3,-69.853,166.526,0,3998.56,0
2003164,1,18.972,3,-69.795,166.06,0,4003.03,0
2003165,1,16.02,3,-69.743,165.67,0,4007.5,0
2003166,1,11.442,3,-69.7,165.4,0,4011.96,0
2003167,1,8.155,3,-69.662,165.218,0,4016.43,0
2003168,1,7.222,3,-69.627,165.062,0,4020.9,0
2003169,1,6.409,3,-69.593,164.927,0,4025.37,0
2003170,1,5.705,3,-69.563,164.808,0,4029.84,0
2003171,1,5.08,3,-69.537,164.701,0,4036.25,0
2003172,1,4.576,3,-69.515,164.6,0,4045.34,0
2003173,1,23.051,50,-69.589,165.156,1,4053.74,0.0006
2003174,1,7.301,49,-69.643,165.047,1,4063.72,0.0012
2003175,1,0,49,-69.643,165.047,1,4074.29,-0.0095
2003176,1,0,49,-69.643,165.047,1,4085.77,0.0007
2003177,1,0,49,-69.643,165.047,1,4097.65,0.0084
2003178,1,8.133,49,-69.609,164.86,1,4109.83,0.0135
2003179,1,17.195,49,-69.564,164.436,1,4122.44,0.016
2003180,1,0,49,-69.564,164.436,1,4135.27,0.016
2003181,1,16.772,49,-69.481,164.074,1,4148.44,0.0134
2003182,1,17.457,49,-69.467,163.627,1,4161.71,0.0065
2003183,1,0,49,-69.467,163.627,1,4175.21,-0.0075
2003184,1,0,49,-69.467,163.627,1,4188.75,0
2003185,1,0,49,-69.467,163.627,1,4202.5,0
2003186,1,0,49,-69.467,163.627,1,4216.23,-0.0001
2003187,1,3.861,50,-69.445,163.552,1,4230.29,0.0079
2003188,1,3.861,49,-69.467,163.627,1,4244.27,-0.0013
2003189,1,23.921,49,-69.327,163.163,1,4257.03,-0.013
2003190,1,0,49,-69.327,163.163,1,4269.63,-0.0225
2003191,1,27.439,49,-69.188,162.585,1,4280.88,-0.0355
2003192,1,0,49,-69.188,162.585,1,4291.43,-0.0533
2003193,1,0,49,-69.188,162.585,1,4301.09,-0.0617
2003194,1,0,49,-69.188,162.585,1,4310.94,-0.0809
2003195,1,14.811,49,-69.144,162.231,1,4319.09,-0.045
2003196,1,18.108,49,-69.138,161.774,1,4326.73,-0.0441
2003197,1,17.039,49,-69.114,161.348,1,4331.7,-0.0139
2003198,1,15.306,49,-69.088,160.968,1,4337.23,0.0172
2003199,1,0,49,-69.088,160.968,1,4341.49,0.04
2003200,1,0,49,-69.088,160.968,1,4345.51,0.0232
2003201,1,3.385,50,-69.059,160.945,1,4348.29,0.0249
2003202,1,20.805,49,-68.944,160.533,1,4351.19,0.0022
2003203,1,7.459,49,-68.901,160.387,1,4353.42,0.0235
2003204,1,8.978,49,-68.859,160.197,1,4355.22,0.0107
2003205,1,0,49,-68.859,160.197,1,4357.85,0.0238
2003206,1,0,49,-68.859,160.197,1,4359.64,0.017
2003207,1,0,49,-68.859,160.197,1,4358.75,0.0231
2003208,1,7.028,49,-68.875,160.367,1,4360.12,0.0057
2003209,1,0,49,-68.875,160.367,1,4355.19,0.0212
2003210,1,10.471,49,-68.83,160.138,1,4349.38,-0.0116
2003211,1,6.419,49,-68.792,160.015,1,4342.94,0.0215
2003212,1,3.292,49,-68.766,159.977,1,4336.44,0.0112
2003213,1,7.204,49,-68.746,159.806,1,4329.95,0.001
2003214,1,3.68,49,-68.722,159.744,1,4322.77,-0.0147
2003215,1,1.008,50,-68.715,159.729,1,4316.32,-0.0098
2003216,1,8.13,49,-68.747,159.91,1,4309.85,-0.0088
2003217,1,0,49,-68.747,159.91,1,4303.07,-0.0056
2003218,1,0,49,-68.747,159.91,1,4295.65,-0.0237
2003219,1,0,49,-68.747,159.91,1,4289.06,0.0125
2003220,1,6.228,49,-68.721,159.774,1,4281.61,0
2003221,1,9.974,49,-68.697,159.535,1,4274.32,0.0063
2003222,1,6.66,49,-68.645,159.451,1,4269.83,-0.0094
2003223,1,0,49,-68.645,159.451,1,4270.17,-0.0058
2003224,1,0,49,-68.645,159.451,1,4269.23,-0.0107
2003225,1,0,49,-68.645,159.451,1,4268.58,-0.0194
2003226,1,0,49,-68.645,159.451,1,4268.07,0.0141
2003227,1,0,49,-68.645,159.451,1,4265.55,0.0197
2003228,1,0,49,-68.645,159.451,1,4264.1,0.0237
2003229,1,0,49,-68.645,159.451,1,4261.95,0.026
2003230,1,4.614,49,-68.62,159.361,1,4259.6,0.007
2003231,1,8.212,49,-68.635,159.162,1,4256,0.0072
2003232,1,30.981,49,-68.47,158.547,1,4254.92,-0.0106
2003233,1,0,49,-68.47,158.547,1,4245.25,-0.0203
2003234,1,11.509,49,-68.402,158.334,1,4241.49,0.0081
2003235,1,0,49,-68.402,158.334,1,4238.41,-0.009
2003236,1,0,49,-68.402,158.334,1,4234.8,-0.0055
2003237,1,16.279,49,-68.323,157.999,1,4230.98,0.0078
2003238,1,14.199,49,-68.247,157.722,1,4227.93,-0.0225
2003239,1,6.36,49,-68.25,157.567,1,4222.68,-0.0046
2003240,1,12.253,49,-68.276,157.277,1,4217.01,0.014
2003241,1,0,49,-68.276,157.277,1,4210.34,0.0158
2003242,1,0,49,-68.276,157.277,1,4204.23,0.0319
2003243,1,2.492,49,-68.294,157.243,1,4197.49,0.055
2003244,1,0,49,-68.294,157.243,1,4189.59,0.0831
2003245,1,17.577,49,-68.323,156.822,1,4178.9,0.0596
2003246,1,14.183,49,-68.319,156.476,1,4164.06,0.1246
2003247,1,0,49,-68.319,156.476,1,4152.96,0.1047
2003248,1,0.205,49,-68.319,156.471,1,4142.06,0.1606
2003249,1,0.451,49,-68.319,156.46,1,4123.34,0.2007
2003250,1,5.309,51,-68.279,156.533,1,4107.86,0.1351
2003251,1,2.292,51,-68.271,156.482,1,4091.21,0.1594
2003252,1,1.86,51,-68.256,156.461,1,4075.94,0.1413
2003253,1,2.313,51,-68.236,156.447,1,4060.68,0.0144
2003254,1,2.279,51,-68.216,156.434,1,4045.45,0.1079
2003255,1,4.026,51,-68.18,156.451,1,4030.79,-0.0583
2003256,1,1.209,51,-68.172,156.43,1,4014.72,0.0387
2003257,1,0.799,50,-68.17,156.412,1,4007.04,0.0211
2003258,1,10.378,49,-68.254,156.518,1,4008.73,-0.0382
2003259,1,0,49,-68.254,156.518,1,4011.06,0.0207
2003260,1,0,49,-68.254,156.518,1,4014.15,0.015
2003261,1,0,49,-68.254,156.518,1,4018.73,-0.013
2003262,1,0,49,-68.254,156.518,1,4024.03,0.0599
2003263,1,14.961,49,-68.201,156.185,1,4031.08,-0.0029
2003264,1,0,49,-68.201,156.185,1,4042.74,0.0632
2003265,1,0,49,-68.201,156.185,1,4054.01,0.018
2003266,1,12.928,49,-68.16,155.891,1,4066.79,0.0095
2003267,1,7.341,49,-68.163,155.714,1,4080.26,0.0254
2003268,1,8.477,49,-68.148,155.512,1,4094.55,0.0063
2003269,1,0,49,-68.148,155.512,1,4109,-0.0114
2003270,1,0,49,-68.148,155.512,1,4127.68,0.0116
2003271,1,10.103,49,-68.07,155.389,1,4150.86,0.0267
2003272,1,0,49,-68.07,155.389,1,4167.8,0.016
2003273,1,6.634,49,-68.091,155.24,1,4180.34,0.0443
2003274,1,4.402,49,-68.076,155.141,1,4201.87,0.0218
2003275,1,0,49,-68.076,155.141,1,4219.88,0.0776
2003276,1,0,49,-68.076,155.141,1,4239.37,0.0347
2003277,1,0,49,-68.076,155.141,1,4261.31,0.0022
2003278,1,4.397,49,-68.116,155.13,1,4283.32,0.0474
2003279,1,0,49,-68.116,155.13,1,4308.62,-0.0161
2003280,1,0,49,-68.116,155.13,1,4331.08,-0.0879
2003281,1,0,49,-68.116,155.13,1,4358.85,-0.0648
2003282,1,0,49,-68.116,155.13,1,4378.52,-0.0953
2003283,1,0,49,-68.116,155.13,1,4395.18,-0.0601
2003284,1,0,49,-68.116,155.13,1,4412,-0.0642
2003285,1,0,49,-68.116,155.13,1,4428.11,-0.0205
2003286,1,0,49,-68.116,155.13,1,4445.14,0.0279
