date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2003159,0,0,3,-69.8,165.3,0,1853.99,0
2003160,1,20.908,3,-69.751,164.774,0,1852.28,0
2003161,1,19.884,3,-69.704,164.275,0,1850.57,0
2003162,1,18.42,3,-69.658,163.816,0,1848.87,0
2003163,1,16.512,3,-69.615,163.407,0,1847.16,0
2003164,1,14.164,3,-69.574,163.06,0,1845.45,0
2003165,1,11.399,3,-69.536,162.787,0,1843.74,0
2003166,1,8.273,3,-69.5,162.6,0,1842.04,0
2003167,1,6.179,3,-69.466,162.474,0,1840.33,0
2003168,1,5.395,3,-69.433,162.372,0,1838.62,0
2003169,1,4.784,3,-69.402,162.287,0,1836.91,0
2003170,1,4.331,3,-69.373,162.214,0,1835.21,0
2003171,1,4.016,3,-69.346,162.146,0,1833.5,0
2003172,1,3.832,3,-69.321,162.077,0,1829.41,0
2003173,1,34.272,50,-69.456,162.867,1,1826.43,0
2003174,1,18.93,49,-69.533,163.3,1,1823.31,0
2003175,1,0,49,-69.533,163.3,1,1819.89,-0.138
2003176,1,14.988,49,-69.523,162.915,1,1815.99,0.092
2003177,1,13.137,49,-69.453,162.644,1,1809.53,0.2563
2003178,1,11.304,49,-69.36,162.525,1,1805.17,0.3027
2003179,1,3.286,49,-69.33,162.524,1,1797.59,0.3315
2003180,1,0.458,49,-69.33,162.536,1,1790.95,0.5128
2003181,1,12.459,49,-69.305,162.226,1,1783.87,0.56
2003182,1,22.227,49,-69.15,161.87,1,1776.16,0.4732
2003183,1,10.92,49,-69.135,161.597,1,1768.61,0.2525
2003184,1,9.108,49,-69.155,161.373,1,1758.87,0.3314
2003185,1,7.331,49,-69.092,161.314,1,1746.35,0.2041
2003186,1,11.517,49,-69.031,161.078,1,1735.16,0.0085
2003187,1,7.468,50,-69.041,160.892,1,1723.36,-0.0911
2003188,1,3.05,49,-69.014,160.913,1,1711.62,0
2003189,1,7.642,49,-68.987,160.737,1,1698.61,0
2003190,1,1.041,49,-68.978,160.746,1,1686.75,0
2003191,1,6.831,49,-68.922,160.672,1,1673.01,0
2003192,1,6.119,49,-68.942,160.529,1,1654.39,0.0081
2003193,1,6.859,49,-68.951,160.359,1,1633.86,-0.0054
2003194,1,1.47,49,-68.939,160.343,1,1605.81,-0.015
2003195,1,16.768,49,-68.887,159.948,1,1576.91,-0.0208
2003196,1,11.472,49,-68.806,159.773,1,1548.38,-0.0227
2003197,1,15.773,49,-68.704,159.498,1,1523.01,-0.0295
2003198,1,7.413,49,-68.68,159.326,1,1494.74,-0.0192
2003199,1,9.99,49,-68.642,159.102,1,1467.31,0.0174
2003200,1,0,49,-68.642,159.102,1,1438.49,0.0489
2003201,1,7.961,50,-68.631,158.907,1,1409.54,0.05
2003202,1,0.71,49,-68.638,158.905,1,1383.16,0.0252
2003203,1,8.587,49,-68.572,158.793,1,1353.36,0.0592
2003204,1,0,49,-68.572,158.793,1,1328.55,0.0827
2003205,1,6.183,49,-68.527,158.702,1,1302.76,0.1192
2003206,1,8.034,49,-68.455,158.684,1,1276.46,-0.0474
2003207,1,4.345,49,-68.487,158.622,1,1250.9,-0.1418
2003208,1,2.562,49,-68.49,158.684,1,1230.82,0.0218
2003209,1,12.535,49,-68.378,158.665,1,1209.64,-0.0447
2003210,1,4.356,49,-68.341,158.705,1,1192.71,-0.1341
2003211,1,3.935,49,-68.317,158.774,1,1175.15,0.1196
2003212,1,5.4,49,-68.309,158.644,1,1159.21,0.3505
2003213,1,7.331,49,-68.265,158.51,1,1143.87,0.4741
2003214,1,0,49,-68.265,158.51,1,1129.9,0.1386
2003215,1,22.851,50,-68.244,157.957,1,1116.83,-0.003
2003216,1,6.2,49,-68.238,158.107,1,1105.27,0.1561
2003217,1,0,49,-68.238,158.107,1,1100.82,-0.0003
2003218,1,0,49,-68.238,158.107,1,1097.99,-0.1627
2003219,1,19.471,49,-68.193,157.65,1,1104.35,0.1455
2003220,1,17.28,49,-68.18,157.232,1,1111.79,0.4618
2003221,1,0,49,-68.18,157.232,1,1119.88,0.5521
2003222,1,4.347,49,-68.174,157.337,1,1126.63,0.326
2003223,1,0,49,-68.174,157.337,1,1135.35,-0.0153
2003224,1,0,49,-68.174,157.337,1,1153.97,-0.3627
2003225,1,0,49,-68.174,157.337,1,1175.31,-0.7765
2003226,1,7.804,49,-68.21,157.499,1,1197.7,-0.9268
2003227,1,0,49,-68.21,157.499,1,1250.28,-0.741
2003228,1,0,49,-68.21,157.499,1,1311.82,-0.3914
2003229,1,13.8,49,-68.215,157.164,1,1375.16,-0.1063
2003230,1,8.248,49,-68.193,156.973,1,1427.63,0.1104
2003231,1,16.085,49,-68.164,156.591,1,1490.9,0.0996
2003232,1,0,49,-68.164,156.591,1,1517.11,0.0078
2003233,1,0,49,-68.164,156.591,1,1572.91,-0.0788
2003234,1,0,49,-68.164,156.591,1,1597.8,0.0026
2003235,1,0,49,-68.164,156.591,1,1613.39,-0.0109
2003236,1,0,49,-68.164,156.591,1,1636.04,0.0066
2003237,1,0,49,-68.164,156.591,1,1657.53,-0.0013
2003238,1,3.583,49,-68.156,156.507,1,1678.98,-0.0046
2003239,1,11.717,49,-68.173,156.227,1,1699.06,0.0087
2003240,1,9.964,49,-68.129,156.016,1,1719.55,0.0042
2003241,1,10.971,49,-68.118,155.753,1,1738.57,0.0009
2003242,1,0,49,-68.118,155.753,1,1754.59,-0.0019
2003243,1,0,49,-68.118,155.753,1,1752.53,-0.0042
2003244,1,17.776,49,-68.071,155.343,1,1750.07,-0.0059
2003245,1,7.696,49,-68.015,155.231,1,1750.84,-0.007
2003246,1,0,49,-68.015,155.231,1,1758.5,-0.0077
2003247,1,18.577,49,-67.975,154.797,1,1753.69,0.0053
2003248,1,1.047,49,-67.966,154.794,1,1748.5,0
2003249,1,0.643,49,-67.96,154.792,1,1731.85,0
2003250,1,6.93,51,-67.903,154.727,1,1712.09,0
2003251,1,5.136,51,-67.859,154.684,1,1692.04,0
2003252,1,5.99,51,-67.808,154.638,1,1641.87,0
2003253,1,8.762,51,-67.731,154.591,1,1585.73,0
2003254,1,9.188,51,-67.651,154.545,1,1523.26,0
2003255,1,22.356,51,-67.449,154.521,1,1472.25,0
2003256,1,5.838,51,-67.399,154.562,1,1410.1,-0.0533
2003257,1,6.583,50,-67.35,154.473,1,1385.04,0.0684
2003258,1,18.496,49,-67.426,154.86,1,1324.34,0.0712
2003259,1,9.692,49,-67.344,154.94,1,1297.49,0.0801
2003260,1,0,49,-67.344,154.94,1,1278.42,0.0765
2003261,1,13.634,49,-67.342,154.621,1,1251.61,0.0603
2003262,1,19.449,49,-67.375,154.174,1,1224.87,0.0314
2003263,1,18.18,49,-67.333,153.763,1,1197.98,-0.01
2003264,1,6.388,49,-67.28,153.826,1,1171.9,-0.0641
2003265,1,0,49,-67.28,153.826,1,1145.2,0.0368
2003266,1,13.478,49,-67.208,153.574,1,1119.2,-0.006
2003267,1,0,49,-67.208,153.574,1,1094.23,0
2003268,1,9.718,49,-67.12,153.581,1,1088.05,0.081
2003269,1,0,49,-67.12,153.581,1,1080.95,0.0371
2003270,1,11.263,49,-67.032,153.452,1,1071.13,-0.217
2003271,1,0,49,-67.032,153.452,1,1053.71,-0.4409
2003272,1,14.618,49,-67.017,153.117,1,1049.24,-0.3474
2003273,1,4.24,49,-66.98,153.089,1,1044.8,-0.4467
2003274,1,0,49,-66.98,153.089,1,1041.48,-0.1871
2003275,1,0,49,-66.98,153.089,1,1040.56,-0.1405
2003276,1,0,49,-66.98,153.089,1,1039.65,0.2968
2003277,1,0,49,-66.98,153.089,1,1039.29,0.3516
2003278,1,0,49,-66.98,153.089,1,1038.26,0.0484
2003279,1,4.097,49,-66.967,153.177,1,1040.26,-0.3492
2003280,1,0,49,-66.967,153.177,1,1044.63,-0.6652
2003281,1,0,49,-66.967,153.177,1,1049.44,-0.9417
2003282,1,0,49,-66.967,153.177,1,1054.89,-0.4729
2003283,1,0,49,-66.967,153.177,1,1061.88,-0.3713
2003284,1,14.463,49,-66.844,153.286,1,1070.56,0.5334
2003285,1,6.871,49,-66.783,153.266,1,1078.74,0.8199
2003286,1,11.929,49,-66.678,153.322,1,1091.51,0.7514
2003287,1,0,49,-66.678,153.322,1,1100.48,0.2855
2003288,1,6.768,49,-66.622,153.261,1,1113.45,-0.0641
2003289,1,0,49,-66.622,153.261,1,1123.35,-0.178
2003290,1,0,49,-66.622,153.261,1,1138.7,-0.0114
2003291,1,0,49,-66.622,153.261,1,1154.15,-0.1453
2003292,1,6.057,49,-66.602,153.133,1,1169.02,0.1432
2003293,1,4.043,49,-66.604,153.041,2,1184.19,0.0496
2003294,1,14.058,49,-66.611,152.723,2,1199.85,-0.0738
2003295,1,12.595,49,-66.591,152.441,2,1215.59,-0.2176
2003296,1,12.008,49,-66.502,152.286,2,1231.44,-0.0982
2003297,1,0,49,-66.502,152.286,2,1247.45,-0.0352
2003298,1,8.491,17,-66.428,152.33,1,1264.06,0.0529
2003299,1,0,17,-66.428,152.33,1,1280.62,0
2003300,1,0,17,-66.428,152.33,2,1297.62,0
2003301,1,12.18,17,-66.319,152.29,2,1315.09,-0.016
2003302,1,13.744,17,-66.196,152.272,2,1332.6,-0.0062
2003303,1,0,17,-66.196,152.272,2,1348.79,-0.0289
2003304,1,0,17,-66.196,152.272,2,1366.54,0.2162
2003305,1,0,17,-66.196,152.272,2,1381.2,0.137
2003306,1,3.867,19,-66.198,152.186,2,1397.1,0.0979
2003307,1,3.867,17,-66.196,152.272,2,1413.77,0.0486
2003308,1,8.208,17,-66.16,152.112,2,1428.44,-0.0109
2003309,1,0,17,-66.16,152.112,2,1442.9,-0.0804
2003310,1,11.516,17,-66.076,151.96,2,1456.93,-0.11
2003311,1,0,17,-66.076,151.96,2,1467.6,-0.105
2003312,1,7.318,17,-66.014,151.905,2,1481.12,0.108
2003313,1,0,17,-66.014,151.905,2,1491.81,-0.016
2003314,1,9.428,17,-65.954,151.757,2,1505.6,0
2003315,1,7.144,17,-65.899,151.838,2,1513.73,0
2003316,1,0,17,-65.899,151.838,1,1521.92,0
2003317,1,0,17,-65.899,151.838,2,1530.39,0
2003318,1,10.044,17,-65.818,151.738,1,1538.2,0
2003319,1,14.593,17,-65.77,151.44,1,1544.04,0
2003320,1,0,17,-65.77,151.44,1,1549.31,0
2003321,1,15.452,17,-65.743,151.107,2,1555.14,0
2003322,1,0,17,-65.743,151.107,1,1559.55,-0.0094
2003323,1,8.429,17,-65.684,150.989,2,1563.95,0.0063
2003324,1,0,17,-65.684,150.989,2,1567.16,0.0175
2003325,1,14.747,17,-65.642,150.684,2,1570.17,0.0242
2003326,1,14.074,17,-65.598,150.396,2,1571.55,0.0265
2003327,1,28.482,19,-65.618,149.777,2,1573.2,0.0242
2003328,1,19.382,17,-65.628,150.199,2,1573.67,0.0175
2003329,1,9.669,17,-65.654,149.998,2,1573.01,0.0063
2003330,1,0,17,-65.654,149.998,2,1572.56,-0.0094
2003331,1,12.824,17,-65.647,149.718,2,1571.73,0
2003332,1,0,17,-65.647,149.718,2,1567.45,0
2003333,1,8.364,17,-65.654,149.536,2,1563.68,0
2003334,1,0,17,-65.654,149.536,2,1561.01,0
2003335,1,23.399,17,-65.661,149.025,2,1558.55,0
2003336,1,18.981,17,-65.643,148.612,2,1552.08,0
2003337,1,11.849,17,-65.573,148.418,2,1548.78,0
2003338,1,9.881,17,-65.489,148.349,2,1543.91,0
2003339,1,0,17,-65.489,148.349,2,1538.35,0
2003340,1,0,17,-65.489,148.349,2,1530.26,0
2003341,1,0,17,-65.489,148.349,2,1518.56,0
2003342,1,8.804,17,-65.538,148.2,2,1506.5,0
2003343,1,0,17,-65.538,148.2,2,1494.84,0
2003344,1,0,17,-65.538,148.2,2,1484.04,0
2003345,1,16.787,17,-65.64,147.928,2,1473.51,0
2003346,1,0,17,-65.64,147.928,2,1462.83,0
2003347,1,0,17,-65.64,147.928,2,1453.07,0
2003348,1,0,17,-65.64,147.928,2,1441.89,0
2003349,1,0,17,-65.64,147.928,2,1431.51,0
2003350,1,13.394,17,-65.614,147.642,2,1420.48,0
2003351,1,9.022,17,-65.579,147.465,2,1410.62,0
2003352,1,6.778,17,-65.563,147.322,2,1399.28,0
2003353,1,7.655,17,-65.547,147.16,2,1390.65,-0.0087
2003354,1,13.542,17,-65.51,146.879,2,1380.81,0.0183
2003355,1,8.575,17,-65.49,146.699,2,1370.88,-0.0062
2003356,1,0,17,-65.49,146.699,2,1360.9,0.0455
2003357,1,14.424,17,-65.457,146.397,2,1352.84,-0.0059
2003358,1,8.288,17,-65.499,146.247,2,1345.1,-0.0203
2003359,1,7.604,17,-65.567,146.238,2,1334.78,-0.087
2003360,1,0,17,-65.567,146.238,2,1325.08,-0.1295
2003361,1,7.444,17,-65.628,146.168,2,1318.08,-0.1479
2003362,1,5.435,17,-65.668,146.102,2,1308.95,-0.1146
2003363,1,0,17,-65.668,146.102,2,1300.14,-0.101
2003364,1,0,17,-65.668,146.102,2,1291.89,-0.1063
2003365,1,0,17,-65.668,146.102,2,1286.34,0.1191
2004001,1,52.79,17,-65.858,145.04,2,1284.4,0.1956
2004002,1,63.794,17,-65.59,146.277,2,1282.51,0.223
2004003,1,0,17,-65.59,146.277,2,1280.15,-0.1198
2004004,1,8.483,19,-65.543,146.131,2,1278.16,-0.2846
2004005,1,5.019,17,-65.587,146.161,2,1276.35,-0.263
2004006,1,0,17,-65.587,146.161,2,1273.92,-0.2361
2004007,1,2.959,17,-65.561,146.176,2,1267.98,-0.2039
2004008,1,0,17,-65.561,146.176,2,1263.2,0.1414
2004009,1,0,17,-65.561,146.176,2,1263.1,0.2207
2004010,1,0,17,-65.561,146.176,2,1259.47,0.2752
2004011,1,13.111,17,-65.531,145.899,2,1261.71,-0.0523
2004012,1,0,17,-65.531,145.899,2,1263.01,-0.0402
2004013,1,0,17,-65.531,145.899,2,1268.02,0.0487
2004014,1,9.356,17,-65.606,145.802,2,1275.47,0.1129
2004015,1,0,17,-65.606,145.802,2,1286.81,0.0433
2004016,1,10.56,17,-65.6,145.572,2,1300.73,-0.017
2004017,1,8.752,17,-65.561,145.406,2,1319,-0.0682
2004018,1,7.927,17,-65.491,145.38,2,1340.29,-0.1102
2004019,1,5.084,17,-65.476,145.485,2,1366.95,-0.1431
2004020,1,0,17,-65.476,145.485,2,1397.38,-0.0844
2004021,1,0,17,-65.476,145.485,2,1435.39,-0.0303
2004022,1,9.2,17,-65.541,145.608,2,1478.46,0.0455
2004023,1,33.279,17,-65.375,145.008,2,1527.31,0
2004024,1,11.399,17,-65.304,144.83,2,1560.49,0
2004025,1,7.472,17,-65.263,144.958,2,1595.63,0
2004026,1,11.309,17,-65.204,145.156,2,1629.27,0
2004027,1,0,17,-65.204,145.156,2,1666.58,0
2004028,1,18.538,17,-65.35,145.353,2,1730.69,0
2004029,1,0,17,-65.35,145.353,2,1796.28,0
2004030,1,22.67,17,-65.267,145.8,2,1863,0
2004031,1,35.151,17,-65.102,146.444,2,1930.61,0
2004032,1,36.899,19,-65.409,146.137,2,2003.11,0
2004033,1,62.218,17,-65.07,147.202,2,2075.6,0
2004034,1,13.844,17,-65.118,147.475,2,2148.88,0
2004035,1,0,17,-65.118,147.475,2,2225.96,0
2004036,1,32.689,17,-65.067,148.164,2,2297.87,0
2004037,1,11.485,17,-65.057,148.408,2,2370.36,0
2004038,1,9.798,17,-65.139,148.487,2,2438.29,0
2004039,1,0,17,-65.139,148.487,2,2505.29,0
2004079,40,400.566,17,-65.384,139.872,2,2567.87,0
2004080,1,25.993,17,-65.316,139.335,2,2624.42,0
2004081,1,10.944,19,-65.299,139.102,2,2670.92,0
2004082,1,37.229,17,-65.304,139.905,2,2716.24,0
2004083,1,42.483,17,-65.371,139.002,1,2754.45,0
2004084,1,78.427,17,-65.485,137.325,1,2781.76,0
2004085,1,42.073,17,-65.545,136.422,1,2802.85,0
2004086,1,0,17,-65.545,136.422,1,2813.29,0.014
2004087,1,0,17,-65.545,136.422,1,2819.39,-0.0049
2004088,1,9.276,17,-65.462,136.449,1,2825.9,-0.0246
2004089,1,0,17,-65.462,136.449,1,2827.49,-0.0429
2004090,1,0,17,-65.462,136.449,1,2828.26,-0.0577
2004091,1,0,17,-65.462,136.449,1,2834.86,-0.1357
2004092,1,0,17,-65.462,136.449,1,2800.86,-0.0151
2004093,1,0,17,-65.462,136.449,1,2763.19,0.0515
2004094,1,0,17,-65.462,136.449,1,2722.17,0.1243
2004095,1,3.777,19,-65.496,136.439,1,2681.21,0.1486
2004096,1,3.777,17,-65.462,136.449,1,2637.2,0.1512
2004097,1,0,17,-65.462,136.449,1,2592.12,0.1204
2004098,1,0,17,-65.462,136.449,1,2544.3,0.054
2004099,1,0,17,-65.462,136.449,1,2498.73,-0.05
2004100,1,0,17,-65.462,136.449,1,2455.04,0.0228
2004101,1,0,17,-65.462,136.449,1,2407.81,-0.0051
2004102,1,0,17,-65.462,136.449,1,2351.26,-0.0034
2004103,1,0,17,-65.462,136.449,1,2292.54,0
2004104,1,0,17,-65.462,136.449,1,2234.04,-0.0632
2004105,1,0,17,-65.462,136.449,1,2175.67,-0.0448
