date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2005072,0,0,2,-65.85,84.47,1,837.45,0
2005212,140,3.33,2,-65.82,84.47,1,844.7,0
2005213,1,0.195,3,-65.822,84.469,1,851.96,0
2005214,1,0.485,3,-65.826,84.466,1,859.21,0
2005215,1,0.679,3,-65.832,84.462,1,866.47,0
2005216,1,0.736,3,-65.838,84.458,1,873.73,0
2005217,1,0.678,3,-65.844,84.454,1,880.98,0
2005218,1,0.484,3,-65.848,84.451,1,888.24,0
2005219,1,0.195,2,-65.85,84.45,1,895.49,0
2005233,14,2.605,2,-65.83,84.48,2,902.75,0
2005247,14,1.11,2,-65.82,84.48,2,910,0
2005248,1,0.083,3,-65.821,84.481,2,917.26,0
2005249,1,0.204,3,-65.822,84.484,2,924.52,0
2005250,1,0.276,3,-65.824,84.488,2,930.95,0
2005251,1,0.31,3,-65.826,84.492,2,938.97,0
2005252,1,0.276,3,-65.828,84.496,2,952.69,0
2005253,1,0.204,3,-65.829,84.499,2,963.7,0
2005254,1,0.083,2,-65.83,84.5,2,974.77,0
2005255,1,0,3,-65.83,84.5,2,988.13,0
2005256,1,0,3,-65.83,84.5,2,999.64,0
2005257,1,0,3,-65.83,84.5,2,1015.22,0
2005258,1,0,3,-65.83,84.5,2,1027.9,0
2005259,1,0,3,-65.83,84.5,2,1058.22,0
2005260,1,0,3,-65.83,84.5,2,1073.99,0
2005261,1,0,2,-65.83,84.5,2,1108.34,0
2005262,1,0.05,3,-65.83,84.501,2,1143.86,0
2005263,1,0.132,3,-65.83,84.504,2,1180.57,0
2005264,1,0.177,3,-65.83,84.508,2,1218.68,0
2005265,1,0.191,3,-65.83,84.512,2,1257.82,0
2005266,1,0.177,3,-65.83,84.516,2,1296.73,0
2005267,1,0.132,3,-65.83,84.519,2,1336.08,0
2005268,1,0.05,2,-65.83,84.52,2,1374.58,0
2005269,1,0.127,3,-65.83,84.517,2,1415.46,0
2005270,1,0.323,3,-65.83,84.51,2,1452.91,0
2005271,1,0.445,3,-65.83,84.5,2,1490.56,0
2005272,1,0.482,3,-65.83,84.49,2,1527.23,0
2005273,1,0.445,3,-65.83,84.48,2,1563.95,0
2005274,1,0.323,3,-65.83,84.473,2,1605.41,0
2005275,1,0.127,2,-65.83,84.47,2,1649.48,0
2005296,21,0,2,-65.83,84.47,2,1692.12,0
2005317,21,1.818,2,-65.83,84.43,2,1728.9,0
2005338,21,0,2,-65.83,84.43,1,1769.07,0
2005339,1,0,3,-65.83,84.43,1,1808.85,0
2005340,1,0,3,-65.83,84.43,2,1846.96,0
2005341,1,0,3,-65.83,84.43,2,1885.37,0
2005342,1,0,3,-65.83,84.43,2,1913.34,0
2005343,1,0,3,-65.83,84.43,2,1943.36,0
2005344,1,0,3,-65.83,84.43,1,1955.14,0
2005345,1,0,2,-65.83,84.43,1,1977.96,-0.0147
2005346,1,0,3,-65.83,84.43,1,1982.46,-0.0323
2005347,1,0,3,-65.83,84.43,1,1986.62,0.0554
2005348,1,0,3,-65.83,84.43,1,1987.26,0.1161
