date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
1976347,0,0,3,-66.8,81,0,0,0
1976361,14,66.603,3,-66.2,81,0,0,0
1977009,14,0,3,-66.2,81,0,0,0
1977023,14,0,3,-66.2,81,0,0,0
1977024,1,1.843,3,-66.217,81,0,0,0
1977025,1,4.762,3,-66.26,81,0,0,0
1977026,1,6.505,3,-66.318,81,0,0,0
1977027,1,7.082,3,-66.382,81,0,0,0
1977028,1,6.505,3,-66.441,81,0,0,0
1977029,1,4.762,3,-66.483,81,0,0,0
1977030,1,1.843,3,-66.5,81,0,0,0
1977031,1,0,3,-66.5,81,0,0,0
1977032,1,0,3,-66.5,81,0,0,0
1977033,1,0,3,-66.5,81,0,0,0
1977034,1,0,3,-66.5,81,0,0,0
1977035,1,0,3,-66.5,81,0,0,0
1977036,1,0,3,-66.5,81,0,0,0
1977037,1,0,3,-66.5,81,0,0,0
1977051,14,35.41,3,-66.5,81.8,0,0,0
1977072,21,0,3,-66.5,81.8,0,0,0
1978204,497,167.238,257,-65.538,84.655,0,0,0
1978205,1,0,257,-65.538,84.655,0,0,0
1978206,1,0,257,-65.538,84.655,0,0,0
1978207,1,0,257,-65.538,84.655,0,0,0
1978208,1,0,257,-65.538,84.655,0,0,0
1978209,1,0,257,-65.538,84.655,0,0,0
1978210,1,0,257,-65.538,84.655,0,0,0
1978211,1,0,257,-65.538,84.655,0,0,0
1978212,1,0,257,-65.538,84.655,0,0,0
1978213,1,0,257,-65.538,84.655,0,0,0
1978214,1,0,257,-65.538,84.655,0,0,0
1978215,1,0,257,-65.538,84.655,0,0,0
1978216,1,2.4,257,-65.539,84.602,0,0,0
1978217,1,4.804,257,-65.539,84.498,0,0,0
1978218,1,4.804,257,-65.54,84.393,0,0,0
1978219,1,4.799,257,-65.541,84.289,0,0,0
1978220,1,4.804,257,-65.541,84.184,0,0,0
1978221,1,4.804,257,-65.542,84.08,0,0,0
1978222,1,2.399,257,-65.542,84.028,0,0,0
1978223,1,0,257,-65.542,84.028,0,0,0
1978224,1,0,257,-65.542,84.028,0,0,0
1978225,1,0,257,-65.542,84.028,0,0,0
1978226,1,0,257,-65.542,84.028,0,0,0
1978227,1,0,257,-65.542,84.028,0,0,0
1978228,1,0,257,-65.542,84.028,0,0,0
1978229,1,0,257,-65.542,84.028,0,0,0
1978230,1,0,257,-65.542,84.028,0,0,0
1978231,1,0,257,-65.542,84.028,0,0,0
1978232,1,0,257,-65.542,84.028,0,0,0
1978233,1,0,257,-65.542,84.028,0,0,0
1978234,1,0,257,-65.542,84.028,0,0,0
1978235,1,0,257,-65.542,84.028,0,0,0
1978236,1,0,257,-65.542,84.028,0,0,0
1978237,1,0,257,-65.542,84.028,0,0,0
1978238,1,0,257,-65.542,84.028,0,0,0
1978239,1,57.014,257,-65.557,82.787,0,0,0
1978240,1,56.978,257,-65.571,81.547,0,0,0
1978241,1,0,257,-65.571,81.547,0,0,0
1978242,1,0,257,-65.571,81.547,0,0,0
1978243,1,0,257,-65.571,81.547,0,0,0
1978244,1,0,257,-65.571,81.547,0,0,0
1978245,1,0,257,-65.571,81.547,0,0,0
1978246,1,0,257,-65.571,81.547,0,0,0
1978247,1,0,257,-65.571,81.547,0,0,0
1978248,1,0,257,-65.571,81.547,0,0,0
1978249,1,0,257,-65.571,81.547,0,0,0
1978250,1,0,257,-65.571,81.547,0,0,0
1978251,1,0,257,-65.571,81.547,0,0,0
1978252,1,1.547,257,-65.573,81.513,0,0,0
1978253,1,3.091,257,-65.575,81.446,0,0,0
1978254,1,3.095,257,-65.577,81.379,0,0,0
1978255,1,3.091,257,-65.58,81.312,0,0,0
1978256,1,3.094,257,-65.582,81.245,0,0,0
1978257,1,3.091,257,-65.584,81.178,0,0,0
1978258,1,1.547,257,-65.585,81.144,0,0,0
1978259,1,0,257,-65.585,81.144,0,0,0
1978260,1,0,257,-65.585,81.144,0,0,0
1978261,1,0,257,-65.585,81.144,0,0,0
1978262,1,0,257,-65.585,81.144,0,0,0
1978263,1,0,257,-65.585,81.144,0,0,0
1978264,1,0,257,-65.585,81.144,0,0,0
1978265,1,0,257,-65.585,81.144,0,0,0
1978266,1,0,257,-65.585,81.144,0,0,0
1978267,1,0,257,-65.585,81.144,0,0,0
1978268,1,0,257,-65.585,81.144,0,0,0
1978269,1,0,257,-65.585,81.144,0,0,0
1978270,1,1.297,257,-65.576,81.163,0,0,0
1978271,1,2.604,257,-65.559,81.2,0,0,0
1978272,1,2.599,257,-65.541,81.237,0,0,0
1978273,1,2.605,257,-65.523,81.274,0,0,0
1978274,1,1.299,257,-65.515,81.293,0,0,0
1978275,1,0,257,-65.515,81.293,0,0,0
