date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
1993112,0,0,128,-68.53,-170.49,1,66518.01,0
1993113,1,0,128,-68.53,-170.49,0,65068.52,0
1993114,1,0,128,-68.53,-170.49,0,63619.03,0
1993115,1,0,128,-68.53,-170.49,0,62169.53,0
1993116,1,0,128,-68.53,-170.49,0,60720.04,0
1993117,1,0,128,-68.53,-170.49,0,59270.54,0
1993118,1,0,128,-68.53,-170.49,0,57821.05,0
1993119,1,0,128,-68.53,-170.49,0,56371.56,0
1993120,1,0,128,-68.53,-170.49,0,54922.06,0
1993121,1,3.048,128,-68.54,-170.56,0,53472.57,0
1993122,1,6.096,128,-68.559,-170.7,0,52023.08,0
1993123,1,6.088,128,-68.579,-170.841,0,50573.58,0
1993124,1,6.091,128,-68.599,-170.981,0,49124.09,0
1993125,1,6.079,128,-68.618,-171.121,0,47793.96,0
1993126,1,6.078,128,-68.638,-171.261,0,46396.79,0
1993127,1,3.035,128,-68.648,-171.332,0,44887.1,0
1993128,1,0,128,-68.648,-171.332,1,43528.12,0
1993129,1,0,128,-68.648,-171.332,1,42069.01,0
1993130,1,1.541,128,-68.658,-171.359,0,40646.12,0
1993131,1,3.08,128,-68.677,-171.413,1,39321.85,0
1993132,1,3.084,128,-68.697,-171.466,1,37983.3,0
1993133,1,1.539,128,-68.707,-171.493,0,36689.04,0
1993134,1,0,128,-68.707,-171.493,1,35430.34,0
1993135,1,0,128,-68.707,-171.493,1,34170.19,0
1993136,1,0,128,-68.707,-171.493,0,32868.6,0
1993137,1,0,128,-68.707,-171.493,1,32039.69,0
1993138,1,0,128,-68.707,-171.493,1,30874.08,0
1993139,1,1.755,128,-68.693,-171.513,0,29586.82,0
1993140,1,3.517,128,-68.664,-171.552,1,29039.43,0
1993141,1,3.512,128,-68.636,-171.592,1,27940.85,0
1993142,1,1.754,128,-68.622,-171.611,0,26874.12,0
1993143,1,0,128,-68.622,-171.611,0,26318.67,0
1993144,1,0,128,-68.622,-171.611,0,25520.29,0
1993145,1,9.06,128,-68.606,-171.392,0,24645.11,0
1993146,1,18.147,128,-68.574,-170.953,0,24246.7,0
1993147,1,18.164,128,-68.542,-170.514,0,23579.16,0
1993148,1,13.465,128,-68.524,-170.186,0,23007.84,0
1993149,1,8.809,128,-68.52,-169.969,0,22579.93,0
1993150,1,8.811,128,-68.516,-169.753,0,22101.52,0
1993151,1,5.563,128,-68.517,-169.616,0,21600.35,0
1993152,1,2.417,128,-68.523,-169.559,0,21314.46,0
1993153,1,2.423,128,-68.53,-169.502,0,20949.56,0
1993154,1,4.03,128,-68.547,-169.415,0,20648.05,0
1993155,1,5.728,128,-68.577,-169.299,0,20381.49,0
1993156,1,5.723,128,-68.606,-169.182,0,20083.92,0
1993157,1,2.882,128,-68.624,-169.132,0,19801.34,0
1993158,1,1.065,128,-68.632,-169.147,0,19506.3,0
1993159,1,1.065,128,-68.639,-169.163,0,19213,0
1993160,1,5.537,128,-68.683,-169.23,0,18934.33,0
1993161,1,9.984,128,-68.762,-169.347,0,18741.11,0
1993162,1,9.995,128,-68.842,-169.465,0,18446.22,0
1993163,1,7.41,128,-68.895,-169.577,0,18213.03,0
1993164,1,5.237,128,-68.921,-169.685,0,18072.27,0
1993165,1,5.232,128,-68.948,-169.793,0,17791.5,0
1993166,1,2.613,128,-68.962,-169.847,0,17575.18,0
1993167,1,0,128,-68.962,-169.847,0,17440.48,0
1993168,1,0,128,-68.962,-169.847,0,17173.51,0
1993169,1,0,128,-68.962,-169.847,0,16917.13,0
1993170,1,0,128,-68.962,-169.847,0,16763.5,0
1993171,1,0,128,-68.962,-169.847,0,16530.38,0
1993172,1,2.191,128,-68.952,-169.8,0,16307.71,0
1993173,1,4.379,128,-68.932,-169.705,0,16099.7,0
1993174,1,4.384,128,-68.912,-169.61,0,15895.03,0
1993175,1,3.932,128,-68.9,-169.517,0,15717.88,0
1993176,1,3.679,128,-68.898,-169.425,0,15594.35,0
1993177,1,3.676,128,-68.895,-169.333,0,15445.35,0
1993178,1,3.857,128,-68.891,-169.238,0,15297.37,0
1993179,1,4.051,128,-68.884,-169.138,0,15195.17,0
1993180,1,4.052,128,-68.877,-169.039,0,15084.83,0
1993181,1,2.024,128,-68.873,-168.989,0,14951.13,0
1993182,1,0,128,-68.873,-168.989,0,14874.89,0
1993183,1,0,128,-68.873,-168.989,0,14825.59,0
1993184,1,3.571,128,-68.842,-168.974,0,14704.27,0
1993185,1,7.142,128,-68.778,-168.943,0,14672.08,0
1993186,1,7.132,128,-68.715,-168.913,0,14669.65,0
1993187,1,4.068,128,-68.687,-168.98,0,14622,0
1993188,1,6.666,128,-68.696,-169.143,1,14599.3,0
1993189,1,6.67,128,-68.704,-169.307,1,14644.87,0
1993190,1,6.837,128,-68.719,-169.472,0,14699.52,0
1993191,1,7.079,128,-68.74,-169.638,1,14713.9,0
1993192,1,7.065,128,-68.761,-169.803,1,14795.44,0
1993193,1,1.436,128,-68.764,-169.838,0,14889.39,0
1993194,1,4.261,128,-68.747,-169.743,0,14994.94,0
1993195,1,4.261,128,-68.731,-169.647,0,15107.41,0
1993196,1,6.336,128,-68.725,-169.49,0,15228.3,0
1993197,1,8.775,128,-68.731,-169.273,0,15349.19,0
1993198,1,8.769,128,-68.736,-169.056,0,15476.37,0
1993199,1,8.766,128,-68.734,-168.838,0,15611.92,0
1993200,1,8.842,128,-68.725,-168.62,0,15741.83,0
1993201,1,8.842,128,-68.716,-168.402,0,15874.73,0
1993202,1,8.254,128,-68.699,-168.202,0,16052.37,0
1993203,1,7.777,128,-68.675,-168.021,1,16189.48,0
1993204,1,7.784,128,-68.65,-167.841,1,16323.12,0
1993205,1,10.816,128,-68.606,-167.603,0,16491.8,0
1993206,1,13.955,128,-68.54,-167.309,1,16675.4,0
1993207,1,13.988,128,-68.475,-167.015,1,16802.18,0
1993208,1,9.818,128,-68.426,-166.814,0,16954.86,0
1993209,1,5.689,128,-68.393,-166.707,1,17154.38,0
1993210,1,5.694,128,-68.36,-166.601,1,17264.68,0
1993211,1,6.864,128,-68.319,-166.476,0,17390.34,0
1993212,1,8.063,128,-68.269,-166.335,0,17556.17,0
1993213,1,8.072,128,-68.218,-166.193,0,17650.58,0
1993214,1,6.066,128,-68.181,-166.085,0,17736.23,0
1993215,1,4.08,128,-68.157,-166.01,0,17821.89,0
1993216,1,4.087,128,-68.133,-165.935,0,17898.4,0
1993217,1,5.998,128,-68.109,-165.805,0,17967.14,0
1993218,1,8.109,128,-68.085,-165.62,1,18030.44,0
1993219,1,8.109,128,-68.061,-165.436,1,18090.03,0
1993220,1,6.985,128,-68.042,-165.275,0,18093.05,0
1993221,1,5.862,128,-68.028,-165.139,1,18139.08,0
1993222,1,5.861,128,-68.015,-165.002,1,18214.51,0
1993223,1,4.004,128,-67.992,-164.928,0,18218.73,0
1993224,1,3.634,128,-67.959,-164.915,1,18313.54,0
1993225,1,3.622,128,-67.927,-164.903,1,18413.79,0
1993226,1,1.806,128,-67.911,-164.897,0,18553.55,0
1993227,1,0,128,-67.911,-164.897,0,18649.55,0
1993228,1,0,128,-67.911,-164.897,0,18857.73,0
1993229,1,1.866,128,-67.927,-164.89,0,19064.29,0
1993230,1,3.732,128,-67.961,-164.875,1,19327.05,0
1993231,1,3.743,128,-67.994,-164.861,1,19723.23,0
1993232,1,4.528,128,-68.03,-164.812,0,20236.27,0
1993233,1,5.606,128,-68.07,-164.728,1,20842.6,0
1993234,1,5.605,128,-68.109,-164.644,1,21687.56,0
1993235,1,8.158,128,-68.162,-164.507,0,22671.16,0
1993236,1,10.745,128,-68.229,-164.317,1,23699.85,0
1993237,1,10.732,128,-68.295,-164.127,1,25003.37,0
1993238,1,5.619,128,-68.303,-163.991,0,25234.57,0
1993239,1,6.555,128,-68.252,-163.91,0,26843.1,0
1993240,1,6.557,128,-68.201,-163.83,0,28525.28,0
1993241,1,11.147,128,-68.108,-163.727,0,30396.92,0
1993242,1,15.836,128,-67.973,-163.603,1,32313.33,0
1993243,1,15.845,128,-67.838,-163.479,1,34404.99,0
1993244,1,12.333,128,-67.734,-163.378,0,36537.17,0
1993245,1,8.792,128,-67.66,-163.301,1,38769.82,0
1993246,1,8.806,128,-67.586,-163.224,1,40990.1,0
1993247,1,8.52,128,-67.52,-163.124,0,43413.87,0
1993248,1,8.424,128,-67.461,-163,0,45719.88,0
1993249,1,8.432,128,-67.401,-162.876,0,47959.52,0
1993250,1,7.198,128,-67.35,-162.774,0,50202.16,0
1993251,1,5.976,128,-67.306,-162.694,0,52395.98,0
1993252,1,5.989,128,-67.262,-162.613,0,54617.2,0
1993253,1,4.916,128,-67.22,-162.571,0,56764.44,0
1993254,1,4.287,128,-67.182,-162.568,1,58931.04,0
1993255,1,4.277,128,-67.143,-162.564,1,60993.76,0
1993256,1,3.137,128,-67.128,-162.626,0,62958.6,0
1993257,1,5.565,128,-67.137,-162.753,1,64805.25,0
1993258,1,5.563,128,-67.146,-162.88,1,66532.29,0
1993259,1,4.089,128,-67.15,-162.974,0,68047.5,0
1993260,1,2.63,128,-67.151,-163.035,1,69420.97,0
1993261,1,2.634,128,-67.151,-163.096,1,70703.04,0
1993262,1,2.231,128,-67.131,-163.089,0,71746.07,0
1993263,1,5.521,128,-67.091,-163.014,0,73847.71,0
1993264,1,5.524,128,-67.051,-162.938,0,74578.84,0
1993265,1,8.658,128,-67.002,-162.782,0,75227.68,0
1993266,1,12.106,128,-66.945,-162.544,0,75684.88,0
1993267,1,12.111,128,-66.889,-162.306,0,76092.52,0
1993268,1,9.809,128,-66.842,-162.115,0,76323.87,0
1993269,1,7.482,128,-66.806,-161.97,0,76506.48,0
1993270,1,7.495,128,-66.77,-161.825,0,76631.59,0
1993271,1,6.95,128,-66.745,-161.68,0,76722.44,0
1993272,1,6.557,128,-66.729,-161.536,0,76565.39,0
1993273,1,6.563,128,-66.714,-161.391,0,76580.19,0
1993274,1,3.857,128,-66.684,-161.347,0,76550.68,0
1993275,1,5.573,128,-66.639,-161.404,0,76516.69,0
1993276,1,5.575,128,-66.594,-161.461,0,76474.42,0
1993277,1,2.782,128,-66.572,-161.489,0,76318.92,0
1993278,1,0,128,-66.572,-161.489,0,76233.37,0
1993279,1,0,128,-66.572,-161.489,0,76113.15,0
1993280,1,0,128,-66.572,-161.489,0,75989.15,0
1993281,1,0,128,-66.572,-161.489,0,75850.7,0
1993282,1,0,128,-66.572,-161.489,0,75690.89,0
1993283,1,0,128,-66.572,-161.489,0,75484.05,0
1993284,1,0,128,-66.572,-161.489,0,75291.68,0
1993285,1,0,128,-66.572,-161.489,0,75083.56,0
1993286,1,0,128,-66.572,-161.489,0,74871.65,0
1993287,1,0,128,-66.572,-161.489,0,74643.24,0
1993288,1,0,128,-66.572,-161.489,0,74376.84,0
1993289,1,0,128,-66.572,-161.489,0,73875.02,0
1993290,1,0,128,-66.572,-161.489,0,73553.59,0
1993291,1,0,128,-66.572,-161.489,0,73192.49,0
1993292,1,0,128,-66.572,-161.489,0,72815.52,0
1993293,1,0,128,-66.572,-161.489,0,72438.55,0
1993294,1,0,128,-66.572,-161.489,0,72061.58,0
1993295,1,3.658,128,-66.584,-161.412,0,71684.61,0
1993296,1,7.311,128,-66.609,-161.259,0,71307.64,0
1993297,1,7.3,128,-66.634,-161.106,0,70930.68,0
1993298,1,3.65,128,-66.647,-161.029,0,70553.71,0
1993299,1,0,128,-66.647,-161.029,0,70176.74,0
1993300,1,0,128,-66.647,-161.029,0,69799.77,0
1993301,1,0,128,-66.647,-161.029,0,69422.8,0
1993302,1,0,128,-66.647,-161.029,0,69045.83,0
1993303,1,0,128,-66.647,-161.029,0,68668.86,0
