date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
1978252,0,0,256,-75.96,-31.37,0,0,0
1978253,1,0,256,-75.96,-31.37,0,0,0
1978254,1,0,256,-75.96,-31.37,0,0,0
1978255,1,0,256,-75.96,-31.37,0,0,0
1978256,1,0,256,-75.96,-31.37,0,0,0
1978257,1,0,256,-75.96,-31.37,0,0,0
1978258,1,7.372,256,-75.895,-31.316,0,0,0
1978259,1,14.759,256,-75.765,-31.207,0,0,0
1978260,1,14.765,256,-75.634,-31.098,0,0,0
1978261,1,14.77,256,-75.504,-30.989,0,0,0
1978262,1,14.776,256,-75.374,-30.88,0,0,0
1978263,1,14.781,256,-75.243,-30.771,0,0,0
1978264,1,5.649,256,-75.193,-30.773,0,0,0
1978265,1,4.497,256,-75.221,-30.886,0,0,0
1978266,1,4.493,256,-75.249,-31,0,0,0
1978267,1,4.49,256,-75.277,-31.114,0,0,0
1978268,1,4.484,256,-75.306,-31.227,0,0,0
1978269,1,4.48,256,-75.334,-31.341,0,0,0
1978270,1,2.242,256,-75.348,-31.398,0,0,0
1978271,1,0,256,-75.348,-31.398,0,0,0
1978272,1,0,256,-75.348,-31.398,0,0,0
1978273,1,0,256,-75.348,-31.398,0,0,0
1978274,1,0,256,-75.348,-31.398,0,0,0
1978275,1,0,256,-75.348,-31.398,0,0,0
