date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2002185,0,0,17,-61.1,-175.65,2,939.56,0
2002186,1,32.303,17,-60.84,-175.381,2,929.49,0
2002187,1,10.226,17,-60.76,-175.287,2,919.42,0
2002188,1,14.218,17,-60.661,-175.121,2,909.36,0
2002189,1,15.085,17,-60.598,-174.876,2,899.29,0
2002190,1,14.948,17,-60.586,-174.603,2,889.22,0
2002191,1,11.185,17,-60.644,-174.435,2,879.16,0
2002192,1,36.515,17,-60.786,-173.828,2,869.09,0
2002193,1,43.955,17,-61.028,-173.183,2,859.03,0
2002194,1,26.169,17,-61.208,-172.869,2,848.96,0
2002195,1,14.17,17,-61.334,-172.828,2,838.89,0
2002196,1,10.693,17,-61.363,-172.636,2,828.83,0
2002197,1,11.002,17,-61.352,-172.431,2,818.76,0
2002198,1,12.429,17,-61.245,-172.365,2,809.67,0
2002199,1,0,17,-61.245,-172.365,2,799.23,0
2002200,1,23.728,17,-61.137,-171.983,2,790.95,0
2002201,1,48.261,17,-60.919,-171.206,2,781.33,0
2002202,1,38.123,17,-60.753,-170.59,2,773.07,0
2002203,1,16.459,17,-60.687,-170.318,2,763.37,0
2002204,1,27.149,17,-60.665,-169.82,2,753.8,0
2002205,1,0,17,-60.665,-169.82,2,746.25,0
2002206,1,0,17,-60.665,-169.82,2,738.82,0
2002207,1,41.086,17,-60.598,-169.078,2,731.73,0
2002208,1,33.31,17,-60.539,-168.48,1,724.73,0
2002209,1,22.996,17,-60.519,-168.061,1,718,0
2002210,1,0,17,-60.519,-168.061,1,711.47,0
2002211,1,0,17,-60.519,-168.061,1,705.33,0
2002212,1,0,17,-60.519,-168.061,1,699.19,0
2002213,1,27.802,17,-60.471,-167.562,1,693.77,0
2002214,1,50.051,17,-60.247,-166.77,1,688.68,0
2002215,1,0,17,-60.247,-166.77,2,687.32,0
2002216,1,14.408,17,-60.312,-166.997,2,683.2,0
2002217,1,14.126,17,-60.434,-167.069,2,679.61,0
2002218,1,11.282,17,-60.372,-167.232,2,678.73,0
2002219,1,0,17,-60.372,-167.232,2,676.36,0
2002220,1,0,17,-60.372,-167.232,2,675.96,0
2002221,1,11.402,17,-60.338,-167.036,2,674.45,0
2002222,1,7.444,17,-60.323,-166.905,2,673.13,0
2002223,1,87.043,17,-59.978,-165.49,2,672.37,0
2002224,1,25.248,17,-59.942,-165.042,2,672.52,0
2002225,1,13.624,17,-59.894,-164.817,2,672.47,0
2002226,1,0,17,-59.894,-164.817,2,672.58,0
2002227,1,39.967,17,-59.574,-164.492,2,672.64,0
2002228,1,0,17,-59.574,-164.492,1,673.22,0
2002229,1,0,17,-59.574,-164.492,1,673.83,0
2002230,1,0,17,-59.574,-164.492,2,674.54,0
2002231,1,0,17,-59.574,-164.492,2,675.34,0
2002232,1,0,17,-59.574,-164.492,2,676.15,0
2002233,1,31.86,17,-59.299,-164.655,2,677.1,0
2002234,1,24.643,17,-59.098,-164.471,2,678.24,0
2002235,1,0,17,-59.098,-164.471,2,679.45,0
2002236,1,0,17,-59.098,-164.471,2,681.02,0
2002237,1,11.267,17,-59.178,-164.35,2,682.7,0
2002238,1,0,17,-59.178,-164.35,2,684.49,0
2002239,1,0,17,-59.178,-164.35,2,686.3,0
2002240,1,62.017,17,-58.996,-163.322,2,688.32,0
2002241,1,0,17,-58.996,-163.322,1,690.8,0
2002242,1,0,17,-58.996,-163.322,1,693.72,0
2003114,237,5317.419,33,-57.536,-34.326,1,696.28,0
2003115,1,0,33,-57.536,-34.326,0,701.7,0
2003116,1,11.101,33,-57.455,-34.217,0,709.59,0
2003117,1,9.873,33,-57.366,-34.217,0,714.54,0
2003118,1,8.722,33,-57.288,-34.204,0,719.5,0
2003119,1,7.31,33,-57.225,-34.242,0,724.46,0
2003120,1,5.072,33,-57.192,-34.184,0,729.42,0
2003121,1,14.888,33,-57.068,-34.092,0,734.38,0
2003122,1,13.036,33,-56.997,-33.92,0,739.34,0
2003123,1,10.853,33,-56.965,-33.75,0,744.3,0
2003124,1,14.058,33,-56.852,-33.645,0,749.25,0
2003125,1,13.97,33,-56.742,-33.537,0,754.21,0
2003126,1,26.273,33,-56.53,-33.345,0,759.17,0
2003127,1,0,33,-56.53,-33.345,0,764.13,0
2003128,1,30.434,33,-56.295,-33.088,0,769.09,0
2003129,1,14.378,33,-56.18,-32.984,0,0,0
2003130,1,19.603,33,-56.019,-32.853,0,0,0
2003131,1,5.915,33,-55.973,-32.805,0,0,0
2003132,1,5.236,33,-55.957,-32.725,0,0,0
2003133,1,0,33,-55.957,-32.725,0,0,0
2003134,1,12.881,33,-55.857,-32.622,0,0,0
2003135,1,4.716,33,-55.825,-32.571,0,0,0
2003136,1,9.458,33,-55.75,-32.501,0,0,0
2003137,1,18.918,33,-55.6,-32.645,0,0,0
2003138,1,24.286,33,-55.403,-32.81,0,0,0
2003139,1,15.437,33,-55.282,-32.933,0,0,0
2003140,1,28.267,33,-55.09,-33.224,0,0,0
2003141,1,30.343,33,-54.887,-33.544,0,0,0
2003142,1,33.383,33,-54.626,-33.803,0,0,0
2003143,1,46.279,33,-54.403,-34.409,0,0,0
2003144,1,29.842,33,-54.226,-34.756,0,0,0
2003145,1,34.561,33,-53.966,-35.048,0,0,0
2003146,1,28.203,33,-53.737,-35.23,0,0,0
2003147,1,13.691,33,-53.645,-35.369,0,0,0
2003148,1,23.109,33,-53.54,-35.672,0,0,0
2003149,1,17.435,33,-53.411,-35.823,0,0,0
2003150,1,0,33,-53.411,-35.823,0,0,0
2003151,1,33.679,33,-53.216,-36.212,0,0,0
2003152,1,11.617,33,-53.123,-36.292,0,0,0
2003153,1,20.831,33,-52.936,-36.297,0,0,0
2003154,1,20.786,33,-52.749,-36.322,0,0,0
2003155,1,32.673,33,-52.522,-36.63,0,0,0
2003156,1,22,33,-52.366,-36.829,0,0,0
2003157,1,39.769,33,-52.008,-36.868,0,0,0
2003158,1,36.627,33,-52.22,-37.28,0,0,0
2003159,1,44.66,33,-52.466,-37.8,0,0,0
2003160,1,15.323,33,-52.511,-38.014,0,0,0
2003161,1,0,33,-52.511,-38.014,0,0,0
2003162,1,12.936,33,-52.56,-38.188,0,0,0
2003163,1,8.134,33,-52.573,-38.306,0,0,0
2003164,1,3.922,33,-52.605,-38.332,0,0,0
2003165,1,8.679,33,-52.584,-38.456,0,0,0
2003166,1,0,33,-52.584,-38.456,0,0,0
2003167,1,5.72,33,-52.541,-38.408,0,0,0
2003168,1,0,33,-52.541,-38.408,0,0,0
2003169,1,16.794,33,-52.409,-38.529,0,0,0
2003170,1,0,33,-52.409,-38.529,0,0,0
2003171,1,0,33,-52.409,-38.529,0,0,0
2003172,1,13.905,33,-52.314,-38.394,0,0,0
2003173,1,12.425,33,-52.212,-38.32,0,0,0
2003174,1,8.153,33,-52.142,-38.283,0,0,0
2003175,1,3.069,33,-52.13,-38.243,0,0,0
2003176,1,5.936,33,-52.091,-38.183,0,0,0
2003177,1,7.839,33,-52.028,-38.132,0,0,0
2003178,1,5.917,33,-51.982,-38.088,0,0,0
2003179,1,0,33,-51.982,-38.088,0,0,0
